stimulus,order,order2,character,container,target,trialType,targetPos,distPos,foilPos,targetOnset
140121-ey-simpleImp-list1.013,pre,T1,elmo,friend,truck,control,L,R,C,6.161
140121-ey-simpleImp-list1.016,pre,T1,elmo,lunchbox,apple,inference,L,C,R,6.41
140121-ey-simpleImp-list1.018,pre,T2,grover,chair,cat,inference,C,L,R,6.697
140121-ey-simpleImp-list1.021,pre,T2,grover,house,bicycle,control,R,L,C,6.287
140121-ey-simpleImp-list1.024,pre,T3,elmo,plate,banana,inference,R,L,C,6.111
140121-ey-simpleImp-list1.026,pre,T3,elmo,table,teddybear,control,C,L,R,6.242
140121-ey-simpleImp-list1.029,post,T4,grover,friend,truck,inference,R,C,L,6.275
140121-ey-simpleImp-list1.032,post,T4,grover,lunchbox,apple,control,C,R,L,6.624
140121-ey-simpleImp-list1.034,post,T5,elmo,chair,cat,control,R,C,L,6.429
140121-ey-simpleImp-list1.037,post,T5,elmo,house,bicycle,inference,C,R,L,6.18
140121-ey-simpleImp-list1.040,post,T6,grover,plate,banana,control,L,C,R,6.205
140121-ey-simpleImp-list1.042,post,T6,grover,table,teddybear,inference,L,R,C,6.524
list2.013,pre,T1,elmo,chair,dog,control,R,L,C,6.498
list2.016,pre,T1,elmo,house,car,inference,R,C,L,6.104
list2.018,pre,T2,grover,table,flower,inference,L,C,R,6.457
list2.021,pre,T2,grover,plate,carrot,control,R,C,L,6.249
list2.024,pre,T3,elmo,lunchbox,orange,inference,L,R,C,6.509
list2.026,pre,T3,elmo,friend,ball,control,L,C,R,6.147
list2.029,post,T4,grover,chair,dog,inference,C,L,R,6.75
list2.032,post,T4,grover,house,car,control,L,R,C,6.213
list2.034,post,T5,elmo,plate,carrot,inference,C,L,R,6.139
list2.036,post,T5,elmo,table,flower,control,C,R,L,6.201
list2.040,post,T6,grover,lunchbox,orange,control,C,R,L,6.724
list2.042,post,T6,grover,friend,ball,inference,R,L,C,6.252
list3.013,pre,T1,grover,lunchbox,apple,control,R,L,C,6.624
list3.016,pre,T1,grover,friend,truck,inference,C,L,R,6.275
list3.018,pre,T2,elmo,house,bicycle,inference,L,C,R,6.18
list3.021,pre,T2,elmo,chair,cat,control,L,R,C,6.429
list3.024,pre,T3,grover,table,teddybear,inference,R,L,C,6.524
list3.026,pre,T3,grover,plate,banana,control,C,L,R,6.205
list3.029,post,T4,elmo,lunchbox,apple,inference,C,R,L,6.41
list3.032,post,T4,elmo,friend,truck,control,R,C,L,6.161
list3.034,post,T5,grover,house,bicycle,control,C,R,L,6.287
list3.037,post,T5,grover,chair,cat,inference,R,C,L,6.697
list3.040,post,T6,elmo,table,teddybear,control,L,C,R,6.242
list3.042,post,T6,elmo,plate,banana,inference,R,L,C,6.111
list4.013,pre,T1,grover,house,car,control,R,C,L,6.213
list4.016,pre,T1,grover,chair,dog,inference,L,C,R,6.75
list4.018,pre,T2,elmo,plate,carrot,inference,R,C,L,6.139
list4.021,pre,T2,elmo,table,flower,control,R,L,C,6.201
list4.024,pre,T3,grover,friend,ball,inference,L,R,C,6.252
list4.026,pre,T3,grover,lunchbox,orange,control,L,C,R,6.724
list4.029,post,T4,elmo,house,car,inference,C,L,R,6.104
list4.032,post,T4,elmo,chair,dog,control,C,R,L,6.498
list4.034,post,T5,grover,plate,carrot,control,L,R,C,6.249
list4.037,post,T5,grover,table,flower,inference,C,R,L,6.457
list4.040,post,T6,elmo,friend,ball,control,C,L,R,6.147
list4.042,post,T6,elmo,lunchbox,orange,inference,R,L,C,6.509
