stimulus,order,character,container,targetItem,trialType,trialType2,targetPos,distPos,targetOnset
simpkidsL1.012,1,elmo,table,teddybear,control_single,control,R,L,6.242
simpkidsL1.015,1,elmo,lunchbox,apple,inference,inference,L,R,6.41
simpkidsL1.017,1,grover,chair,dog,control_double,control,R,L,6.75
simpkidsL1.020,1,elmo,plate,banana,control_single,control,L,R,6.111
simpkidsL1.022,1,grover,house,car,inference,inference,L,R,6.213
simpkidsL1.024,1,ernie,lunchbox,orange,control_single,control,R,L,6.617
simpkidsL1.027,1,bert,chair,cat,control_single,control,L,R,6.532
simpkidsL1.029,1,bert,friend,ball,control_double,control,L,R,6.146
simpkidsL1.032,2,bert,table,flower,control_double,control,L,R,6.398
simpkidsL1.034,2,elmo,friend,truck,control_single,control,R,L,6.161
simpkidsL1.036,2,bert,house,bicycle,control_single,control,R,L,6.236
simpkidsL1.039,2,bert,plate,carrot,inference,inference,R,L,6.127
simpkidsL1.041,2,ernie,house,car,control_single,control,L,R,6.149
simpkidsL1.043,2,grover,lunchbox,orange,control_double,control,R,L,6.724
simpkidsL1.046,2,ernie,table,teddybear,inference,inference,R,L,6.401
simpkidsL1.048,2,grover,friend,ball,control_single,control,L,R,6.252
simpkidsL2.012,1,grover,lunchbox,orange,control_single,control,R,L,6.724
simpkidsL2.015,1,bert,chair,dog,inference,inference,R,L,6.588
simpkidsL2.017,1,bert,house,car,control_double,control,L,R,6.146
simpkidsL2.020,1,bert,table,teddybear,control_single,control,R,L,6.487
simpkidsL2.022,1,grover,friend,ball,inference,inference,L,R,6.252
simpkidsL2.024,1,elmo,chair,cat,control_single,control,R,L,6.429
simpkidsL2.027,1,grover,house,car,control_single,control,L,R,6.213
simpkidsL2.029,1,grover,plate,carrot,control_double,control,R,L,6.249
simpkidsL2.032,2,ernie,lunchbox,apple,control_double,control,L,R,6.522
simpkidsL2.034,2,bert,plate,banana,control_single,control,L,R,6.087
simpkidsL2.036,2,bert,friend,truck,control_single,control,R,L,6.157
simpkidsL2.039,2,grover,table,flower,inference,inference,R,L,6.457
simpkidsL2.041,2,ernie,table,flower,control_single,control,L,R,6.337
simpkidsL2.043,2,ernie,chair,cat,control_double,control,L,R,6.591
simpkidsL2.046,2,ernie,house,bicycle,inference,inference,R,L,6.219
simpkidsL2.048,2,elmo,lunchbox,apple,control_single,control,L,R,6.41
SIMPIMP_2AFC-L1.014,1,elmo,table,teddybear,control_single,control,R,L,6.242
SIMPIMP_2AFC-L1.017,1,elmo,lunchbox,apple,inference,inference,L,R,6.41
SIMPIMP_2AFC-L1.019,1,grover,chair,dog,control_double,control,R,L,6.75
SIMPIMP_2AFC-L1.021,1,elmo,plate,banana,control_single,control,L,R,6.111
SIMPIMP_2AFC-L1.024,1,grover,house,car,inference,inference,L,R,6.213
SIMPIMP_2AFC-L1.026,1,ernie,lunchbox,orange,control_single,control,R,L,6.617
SIMPIMP_2AFC-L1.028,2,bert,chair,cat,control_single,control,L,R,6.532
SIMPIMP_2AFC-L1.030,2,bert,friend,ball,control_double,control,L,R,6.146
SIMPIMP_2AFC-L1.033,2,bert,table,flower,control_double,control,L,R,6.398
SIMPIMP_2AFC-L1.035,2,elmo,friend,truck,control_single,control,R,L,6.161
SIMPIMP_2AFC-L1.037,2,bert,house,bicycle,control_single,control,R,L,6.236
SIMPIMP_2AFC-L1.040,2,bert,plate,carrot,inference,inference,R,L,6.127
SIMPIMP_2AFC-L1.042,2,ernie,house,car,control_single,control,L,R,6.149
SIMPIMP_2AFC-L1.044,2,grover,lunchbox,orange,control_double,control,R,L,6.724
SIMPIMP_2AFC-L1.047,3,ernie,table,teddybear,inference,inference,R,L,6.401
SIMPIMP_2AFC-L1.049,3,grover,friend,ball,control_single,control,L,R,6.252
SIMPIMP_2AFC-L1.051,3,elmo,chair,cat,inference,inference,L,R,6.429
SIMPIMP_2AFC-L1.054,3,ernie,plate,banana,control_double,control,L,R,6.198
SIMPIMP_2AFC-L1.056,3,grover,plate,carrot,control_single,control,R,L,6.249
SIMPIMP_2AFC-L1.058,3,grover,table,flower,control_single,control,L,R,6.457
SIMPIMP_2AFC-L1.061,3,ernie,chair,dog,control_single,control,R,L,6.647
SIMPIMP_2AFC-L1.063,3,bert,lunchbox,apple,control_single,control,L,R,6.502
SIMPIMP_2AFC-L1.065,3,ernie,friend,truck,inference,inference,R,L,6.208
SIMPIMP_2AFC-L1.067,3,elmo,house,bicycle,control_double,control,R,L,6.219
simpAdultL2.011,1,grover,lunchbox,orange,control_single,control,R,L,6.724
simpAdultL2.014,1,bert,chair,dog,inference,inference,R,L,6.588
simpAdultL2.016,1,bert,house,car,control_double,control,L,R,6.146
simpAdultL2.018,1,bert,table,teddybear,control_single,control,R,L,6.487
simpAdultL2.021,1,grover,friend,ball,inference,inference,L,R,6.252
simpAdultL2.023,1,elmo,chair,cat,control_single,control,R,L,6.429
simpAdultL2.025,1,grover,house,car,control_single,control,L,R,6.213
simpAdultL2.027,1,grover,plate,carrot,control_double,control,R,L,6.249
simpAdultL2.030,2,ernie,lunchbox,apple,control_double,control,L,R,6.522
simpAdultL2.032,2,bert,plate,banana,control_single,control,L,R,6.087
simpAdultL2.034,2,bert,friend,truck,control_single,control,R,L,6.157
simpAdultL2.037,2,grover,table,flower,inference,inference,R,L,6.457
simpAdultL2.039,2,ernie,table,flower,control_single,control,L,R,6.337
simpAdultL2.041,2,ernie,chair,cat,control_double,control,L,R,6.591
simpAdultL2.044,2,ernie,house,bicycle,inference,inference,R,L,6.219
simpAdultL2.046,2,elmo,lunchbox,apple,control_single,control,L,R,6.41
simpAdultL2.048,3,elmo,plate,banana,inference,inference,L,R,6.111
simpAdultL2.051,3,elmo,friend,truck,control_double,control,R,L,6.161
simpAdultL2.053,3,grover,chair,cat,control_single,control,L,R,6.697
simpAdultL2.055,3,grover,house,car,control_single,control,L,R,6.213
simpAdultL2.058,3,ernie,plate,carrot,control_single,control,L,R,6.224
simpAdultL2.060,3,ernie,friend,ball,control_single,control,R,L,6.196
simpAdultL2.062,3,bert,lunchbox,orange,inference,inference,L,R,6.616
simpAdultL2.064,3,elmo,table,teddybear,control_double,control,R,L,6.242
