"t","stimulus","x","y","t.stim","subid"
0,"elmo_duck.avi",0,1050,0,"EY-test.txt"
0.05,"elmo_duck.avi",0,1050,0.05,"EY-test.txt"
0.1,"elmo_duck.avi",0,1050,0.1,"EY-test.txt"
0.15,"elmo_duck.avi",0,1050,0.15,"EY-test.txt"
0.2,"elmo_duck.avi",0,1050,0.2,"EY-test.txt"
0.25,"elmo_duck.avi",0,1050,0.25,"EY-test.txt"
0.3,"elmo_duck.avi",0,1050,0.3,"EY-test.txt"
0.35,"elmo_duck.avi",0,1050,0.35,"EY-test.txt"
0.4,"elmo_duck.avi",0,1050,0.4,"EY-test.txt"
0.45,"elmo_duck.avi",0,1050,0.45,"EY-test.txt"
0.5,"elmo_duck.avi",0,1050,0.5,"EY-test.txt"
0.55,"elmo_duck.avi",0,1050,0.55,"EY-test.txt"
0.6,"elmo_duck.avi",0,1050,0.6,"EY-test.txt"
0.65,"elmo_duck.avi",0,1050,0.65,"EY-test.txt"
0.7,"elmo_duck.avi",0,1050,0.7,"EY-test.txt"
0.75,"elmo_duck.avi",0,1050,0.75,"EY-test.txt"
0.8,"elmo_duck.avi",0,1050,0.8,"EY-test.txt"
0.85,"elmo_duck.avi",0,1050,0.85,"EY-test.txt"
0.9,"elmo_duck.avi",0,1050,0.9,"EY-test.txt"
0.951,"elmo_duck.avi",0,1050,0.95,"EY-test.txt"
1.001,"elmo_duck.avi",0,1050,1,"EY-test.txt"
1.051,"elmo_duck.avi",0,1050,1.05,"EY-test.txt"
1.101,"elmo_duck.avi",0,1050,1.1,"EY-test.txt"
1.151,"elmo_duck.avi",0,1050,1.15,"EY-test.txt"
1.201,"elmo_duck.avi",0,1050,1.2,"EY-test.txt"
1.251,"elmo_duck.avi",0,1050,1.25,"EY-test.txt"
1.301,"elmo_duck.avi",0,1050,1.3,"EY-test.txt"
1.351,"elmo_duck.avi",0,1050,1.35,"EY-test.txt"
1.401,"elmo_duck.avi",0,1050,1.4,"EY-test.txt"
1.451,"elmo_duck.avi",0,1050,1.45,"EY-test.txt"
1.501,"elmo_duck.avi",0,1050,1.5,"EY-test.txt"
1.551,"elmo_duck.avi",0,1050,1.55,"EY-test.txt"
1.601,"elmo_duck.avi",0,1050,1.6,"EY-test.txt"
1.651,"elmo_duck.avi",0,1050,1.65,"EY-test.txt"
1.701,"elmo_duck.avi",0,1050,1.7,"EY-test.txt"
1.751,"elmo_duck.avi",0,1050,1.75,"EY-test.txt"
1.801,"elmo_duck.avi",0,1050,1.8,"EY-test.txt"
1.851,"elmo_duck.avi",0,1050,1.85,"EY-test.txt"
1.901,"elmo_duck.avi",0,1050,1.9,"EY-test.txt"
1.951,"elmo_duck.avi",0,1050,1.95,"EY-test.txt"
2.001,"elmo_duck.avi",0,1050,2,"EY-test.txt"
2.051,"elmo_duck.avi",0,1050,2.05,"EY-test.txt"
2.101,"elmo_duck.avi",0,1050,2.1,"EY-test.txt"
2.151,"elmo_duck.avi",0,1050,2.15,"EY-test.txt"
2.201,"elmo_duck.avi",0,1050,2.2,"EY-test.txt"
2.251,"elmo_duck.avi",0,1050,2.25,"EY-test.txt"
2.301,"elmo_duck.avi",0,1050,2.3,"EY-test.txt"
2.351,"elmo_duck.avi",0,1050,2.35,"EY-test.txt"
2.401,"elmo_duck.avi",0,1050,2.4,"EY-test.txt"
2.451,"elmo_duck.avi",0,1050,2.45,"EY-test.txt"
2.502,"elmo_duck.avi",0,1050,2.5,"EY-test.txt"
2.551,"elmo_duck.avi",0,1050,2.55,"EY-test.txt"
2.601,"elmo_duck.avi",0,1050,2.6,"EY-test.txt"
2.651,"elmo_duck.avi",0,1050,2.65,"EY-test.txt"
2.701,"elmo_duck.avi",0,1050,2.7,"EY-test.txt"
2.752,"elmo_duck.avi",0,1050,2.75,"EY-test.txt"
2.801,"elmo_duck.avi",0,1050,2.8,"EY-test.txt"
2.851,"elmo_duck.avi",0,1050,2.85,"EY-test.txt"
2.901,"elmo_duck.avi",0,1050,2.9,"EY-test.txt"
2.951,"elmo_duck.avi",0,1050,2.95,"EY-test.txt"
3.002,"elmo_duck.avi",0,1050,3,"EY-test.txt"
3.051,"elmo_duck.avi",0,1050,3.05,"EY-test.txt"
3.101,"elmo_duck.avi",0,1050,3.1,"EY-test.txt"
3.152,"elmo_duck.avi",0,1050,3.15,"EY-test.txt"
3.202,"elmo_duck.avi",0,1050,3.2,"EY-test.txt"
3.252,"elmo_duck.avi",0,1050,3.25,"EY-test.txt"
3.302,"elmo_duck.avi",0,1050,3.3,"EY-test.txt"
3.352,"elmo_duck.avi",0,1050,3.35,"EY-test.txt"
3.402,"elmo_duck.avi",0,1050,3.4,"EY-test.txt"
3.452,"elmo_duck.avi",0,1050,3.45,"EY-test.txt"
3.502,"elmo_duck.avi",0,1050,3.5,"EY-test.txt"
3.552,"elmo_duck.avi",0,1050,3.55,"EY-test.txt"
3.602,"elmo_duck.avi",0,1050,3.6,"EY-test.txt"
3.652,"elmo_duck.avi",0,1050,3.65,"EY-test.txt"
3.702,"elmo_duck.avi",0,1050,3.7,"EY-test.txt"
3.752,"elmo_duck.avi",0,1050,3.75,"EY-test.txt"
3.802,"elmo_duck.avi",0,1050,3.8,"EY-test.txt"
3.852,"elmo_duck.avi",0,1050,3.85,"EY-test.txt"
3.902,"elmo_duck.avi",0,1050,3.9,"EY-test.txt"
3.952,"elmo_duck.avi",0,1050,3.95,"EY-test.txt"
4.002,"elmo_duck.avi",0,1050,4,"EY-test.txt"
4.052,"elmo_duck.avi",0,1050,4.05,"EY-test.txt"
