## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L4\140131-05_L4-eye_data.idf
## Date:	31.01.2014 19:01:01
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	34174                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140131-05_L4                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
8909302558	SMP	1	1361.27	934.32	1361.27	934.32	-1	
8909319300	SMP	1	1364.02	936.02	1364.02	936.02	-1	
8909327636	SMP	1	1375.40	939.28	1375.40	939.28	-1	
8909335934	SMP	1	1372.93	938.95	1372.93	938.95	-1	
8909344255	SMP	1	1368.61	938.10	1368.61	938.10	-1	
8909352672	SMP	1	1368.50	939.28	1368.50	939.28	-1	
8909360982	SMP	1	1365.95	938.53	1365.95	938.53	-1	
8909369238	SMP	1	1367.16	938.64	1367.16	938.64	-1	
8909394233	SMP	1	1370.22	938.23	1370.22	938.23	-1	
8909402608	SMP	1	1371.89	939.89	1371.89	939.89	-1	
8909410975	SMP	1	1389.67	940.80	1389.67	940.80	-1	
8909427624	SMP	1	1559.21	951.40	1559.21	951.40	-1	
8909435980	SMP	1	1569.70	977.11	1569.70	977.11	-1	
8909444359	SMP	1	1560.87	958.97	1560.87	958.97	-1	
8909469417	SMP	1	1567.42	985.73	1567.42	985.73	-1	
8909477724	SMP	1	1569.52	969.25	1569.52	969.25	-1	
8909486148	SMP	1	1561.79	974.57	1561.79	974.57	-1	
8909494391	SMP	1	1564.56	991.01	1564.56	991.01	-1	
8909502759	SMP	1	1559.20	968.25	1559.20	968.25	-1	
8909519350	SMP	1	1562.40	976.41	1562.40	976.41	-1	
8909527746	SMP	1	1569.05	985.60	1569.05	985.60	-1	
8909536139	SMP	1	1569.87	989.57	1569.87	989.57	-1	
8909544514	SMP	1	1564.15	986.77	1564.15	986.77	-1	
8909552709	SMP	1	1569.81	992.12	1569.81	992.12	-1	
8909561127	SMP	1	1562.24	976.74	1562.24	976.74	-1	
