## [iView]
## Converted from:	F:\simpleImp\data\140217\140217-05-L2-eye_data.idf
## Date:	17.02.2014 21:49:10
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	32875                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140217-05-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5745006095	SMP	1	0.00	0.00	0.00	0.00	-1	
5745056145	SMP	1	0.00	0.00	0.00	0.00	-1	
5745106203	SMP	1	0.00	0.00	0.00	0.00	-1	
5745156156	SMP	1	0.00	0.00	0.00	0.00	-1	
5745206216	SMP	1	0.00	0.00	0.00	0.00	-1	
5745256234	SMP	1	0.00	0.00	0.00	0.00	-1	
5745306308	SMP	1	0.00	0.00	0.00	0.00	-1	
5745356352	SMP	1	0.00	0.00	0.00	0.00	-1	
5745406351	SMP	1	0.00	0.00	0.00	0.00	-1	
5745456319	SMP	1	0.00	0.00	0.00	0.00	-1	
5745506346	SMP	1	0.00	0.00	0.00	0.00	-1	
5745556359	SMP	1	0.00	0.00	0.00	0.00	-1	
5745606458	SMP	1	0.00	0.00	0.00	0.00	-1	
5745656492	SMP	1	0.00	0.00	0.00	0.00	-1	
5745706452	SMP	1	0.00	0.00	0.00	0.00	-1	
5745756475	SMP	1	0.00	0.00	0.00	0.00	-1	
5745806477	SMP	1	0.00	0.00	0.00	0.00	-1	
5745856753	SMP	1	0.00	0.00	0.00	0.00	-1	
5745906520	SMP	1	0.00	0.00	0.00	0.00	-1	
5745956590	SMP	1	0.00	0.00	0.00	0.00	-1	
5746006569	SMP	1	0.00	0.00	0.00	0.00	-1	
5746056565	SMP	1	0.00	0.00	0.00	0.00	-1	
5746106697	SMP	1	0.00	0.00	0.00	0.00	-1	
5746156862	SMP	1	0.00	0.00	0.00	0.00	-1	
5746556038	MSG	1	# Message: elmo_tapping1.avi
5746557069	SMP	1	0.00	0.00	0.00	0.00	-1	
5746607103	SMP	1	0.00	0.00	0.00	0.00	-1	
5746656916	SMP	1	0.00	0.00	0.00	0.00	-1	
5746706920	SMP	1	0.00	0.00	0.00	0.00	-1	
5746756880	SMP	1	0.00	0.00	0.00	0.00	-1	
5746807038	SMP	1	0.00	0.00	0.00	0.00	-1	
5746857038	SMP	1	0.00	0.00	0.00	0.00	-1	
5746907035	SMP	1	0.00	0.00	0.00	0.00	-1	
5746956984	SMP	1	0.00	0.00	0.00	0.00	-1	
5747007252	SMP	1	0.00	0.00	0.00	0.00	-1	
5747057108	SMP	1	0.00	0.00	0.00	0.00	-1	
5747107176	SMP	1	0.00	0.00	0.00	0.00	-1	
5747157161	SMP	1	0.00	0.00	0.00	0.00	-1	
5747207188	SMP	1	0.00	0.00	0.00	0.00	-1	
5747257108	SMP	1	0.00	0.00	0.00	0.00	-1	
5747307252	SMP	1	0.00	0.00	0.00	0.00	-1	
5747357306	SMP	1	0.00	0.00	0.00	0.00	-1	
5747407399	SMP	1	0.00	0.00	0.00	0.00	-1	
5747457282	SMP	1	0.00	0.00	0.00	0.00	-1	
5747507299	SMP	1	0.00	0.00	0.00	0.00	-1	
5747557418	SMP	1	0.00	0.00	0.00	0.00	-1	
5747607457	SMP	1	0.00	0.00	0.00	0.00	-1	
5747657364	SMP	1	0.00	0.00	0.00	0.00	-1	
5747707416	SMP	1	0.00	0.00	0.00	0.00	-1	
5747757756	SMP	1	0.00	0.00	0.00	0.00	-1	
5747807757	SMP	1	0.00	0.00	0.00	0.00	-1	
5747857630	SMP	1	0.00	0.00	0.00	0.00	-1	
5747907492	SMP	1	0.00	0.00	0.00	0.00	-1	
5747957459	SMP	1	0.00	0.00	0.00	0.00	-1	
5748007590	SMP	1	0.00	0.00	0.00	0.00	-1	
5748057793	SMP	1	0.00	0.00	0.00	0.00	-1	
5748107652	SMP	1	0.00	0.00	0.00	0.00	-1	
5748157642	SMP	1	0.00	0.00	0.00	0.00	-1	
