## [iView]
## Converted from:	F:\simpleImp\data\140220-04-L2-eye_data.idf
## Date:	20.02.2014 23:42:13
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	17419                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140220-04-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
4916923964	SMP	1	0.00	0.00	0.00	0.00	-1	
4916932177	SMP	1	803.31	348.57	803.31	348.57	-1	
4916940584	SMP	1	870.09	362.48	870.09	362.48	-1	
4917106944	SMP	1	0.00	0.00	0.00	0.00	-1	
4917179747	SMP	1	1235.23	319.85	1235.23	319.85	-1	
4917187692	SMP	1	1208.98	303.68	1208.98	303.68	-1	
4917196048	SMP	1	1243.02	313.85	1243.02	313.85	-1	
4917204403	SMP	1	1372.02	327.12	1372.02	327.12	-1	
4917212804	SMP	1	1446.97	303.20	1446.97	303.20	-1	
4917221033	SMP	1	1434.95	344.97	1434.95	344.97	-1	
4917229402	SMP	1	1425.09	307.13	1425.09	307.13	-1	
4917237795	SMP	1	1442.51	311.23	1442.51	311.23	-1	
4917246153	SMP	1	1442.37	304.54	1442.37	304.54	-1	
4917254408	SMP	1	1454.64	313.55	1454.64	313.55	-1	
4917262776	SMP	1	1434.95	320.08	1434.95	320.08	-1	
4917271155	SMP	1	1442.07	327.56	1442.07	327.56	-1	
4917279525	SMP	1	1441.46	356.61	1441.46	356.61	-1	
4917287800	SMP	1	1426.77	367.72	1426.77	367.72	-1	
4917296176	SMP	1	1436.33	394.31	1436.33	394.31	-1	
4917304533	SMP	1	1429.81	398.18	1429.81	398.18	-1	
4917312803	SMP	1	1427.17	369.05	1427.17	369.05	-1	
4917321179	SMP	1	1433.72	381.81	1433.72	381.81	-1	
4917329528	SMP	1	1425.44	385.27	1425.44	385.27	-1	
4917337911	SMP	1	1414.41	391.78	1414.41	391.78	-1	
4917346157	SMP	1	1213.28	372.71	1213.28	372.71	-1	
4917354530	SMP	1	1420.45	391.83	1420.45	391.83	-1	
4917362909	SMP	1	1418.59	401.52	1418.59	401.52	-1	
4917371282	SMP	1	1397.06	390.95	1397.06	390.95	-1	
4917379546	SMP	1	1412.43	424.30	1412.43	424.30	-1	
4917387992	SMP	1	1200.46	424.31	1200.46	424.31	-1	
4917413012	SMP	1	1416.16	402.67	1416.16	402.67	-1	
4917421320	SMP	1	1407.86	411.59	1407.86	411.59	-1	
4917429747	SMP	1	1182.45	452.06	1182.45	452.06	-1	
4917438135	SMP	1	1408.66	412.17	1408.66	412.17	-1	
4917446341	SMP	1	1196.36	418.70	1196.36	418.70	-1	
4917454657	SMP	1	1408.19	414.30	1408.19	414.30	-1	
4917463094	SMP	1	1406.73	470.69	1406.73	470.69	-1	
4917471331	SMP	1	1400.57	456.16	1400.57	456.16	-1	
4917479701	SMP	1	1180.06	417.49	1180.06	417.49	-1	
4917488089	SMP	1	1400.08	468.08	1400.08	468.08	-1	
4917496451	SMP	1	1184.57	392.72	1184.57	392.72	-1	
4917504716	SMP	1	1201.90	469.13	1201.90	469.13	-1	
4917513074	SMP	1	1404.31	465.33	1404.31	465.33	-1	
4917521435	SMP	1	1399.45	478.48	1399.45	478.48	-1	
4917529821	SMP	1	1391.22	486.97	1391.22	486.97	-1	
4917538063	SMP	1	1395.17	497.98	1395.17	497.98	-1	
4917546418	SMP	1	1264.20	362.76	1264.20	362.76	-1	
4917554828	SMP	1	1119.68	505.85	1119.68	505.85	-1	
4917563154	SMP	1	1183.92	504.79	1183.92	504.79	-1	
4917571451	SMP	1	1202.88	487.17	1202.88	487.17	-1	
4917579827	SMP	1	1390.71	482.55	1390.71	482.55	-1	
4917588159	SMP	1	1408.19	485.77	1408.19	485.77	-1	
4917596451	SMP	1	1205.08	487.87	1205.08	487.87	-1	
4917604825	SMP	1	1221.70	499.97	1221.70	499.97	-1	
4917613171	SMP	1	1409.17	499.96	1409.17	499.96	-1	
4917621574	SMP	1	1406.50	473.35	1406.50	473.35	-1	
4917629781	SMP	1	1417.32	455.20	1417.32	455.20	-1	
4917638200	SMP	1	1407.95	485.86	1407.95	485.86	-1	
4917646576	SMP	1	1411.11	481.12	1411.11	481.12	-1	
4917654947	SMP	1	1182.82	514.73	1182.82	514.73	-1	
4917663193	SMP	1	1414.29	488.62	1414.29	488.62	-1	
4917671575	SMP	1	1387.04	504.47	1387.04	504.47	-1	
4917679946	SMP	1	1406.19	483.31	1406.19	483.31	-1	
4917688323	SMP	1	1179.83	521.32	1179.83	521.32	-1	
4917696574	SMP	1	1205.02	451.69	1205.02	451.69	-1	
4917704942	SMP	1	1168.94	518.86	1168.94	518.86	-1	
4917713318	SMP	1	1220.41	538.48	1220.41	538.48	-1	
4917721710	SMP	1	1392.02	540.71	1392.02	540.71	-1	
4917729998	SMP	1	1197.74	530.07	1197.74	530.07	-1	
4917738345	SMP	1	1407.75	445.43	1407.75	445.43	-1	
4917746724	SMP	1	1207.68	500.37	1207.68	500.37	-1	
4917755002	SMP	1	1206.19	523.23	1206.19	523.23	-1	
4917763325	SMP	1	1195.64	536.39	1195.64	536.39	-1	
4917771737	SMP	1	1330.77	467.95	1330.77	467.95	-1	
4917780142	SMP	1	1185.41	554.84	1185.41	554.84	-1	
4917788354	SMP	1	1197.75	465.74	1197.75	465.74	-1	
4917796741	SMP	1	1200.38	510.21	1200.38	510.21	-1	
4917805074	SMP	1	1163.90	522.04	1163.90	522.04	-1	
4917813438	SMP	1	1377.25	541.06	1377.25	541.06	-1	
4917821706	SMP	1	1176.92	448.89	1176.92	448.89	-1	
4917830065	SMP	1	1378.69	514.49	1378.69	514.49	-1	
4917838449	SMP	1	1370.72	503.25	1370.72	503.25	-1	
4917846798	SMP	1	1176.26	514.22	1176.26	514.22	-1	
4917855054	SMP	1	1166.72	525.65	1166.72	525.65	-1	
4917863453	SMP	1	1386.58	501.24	1386.58	501.24	-1	
4917871830	SMP	1	1183.81	510.30	1183.81	510.30	-1	
4917880074	SMP	1	1252.17	502.23	1252.17	502.23	-1	
4917888438	SMP	1	1353.87	353.56	1353.87	353.56	-1	
4917896928	SMP	1	1468.69	474.33	1468.69	474.33	-1	
4917905169	SMP	1	1562.59	322.60	1562.59	322.60	-1	
4917913453	SMP	1	1504.56	394.60	1504.56	394.60	-1	
4917921795	SMP	1	1477.91	499.57	1477.91	499.57	-1	
4917930218	SMP	1	1502.88	459.56	1502.88	459.56	-1	
4917938602	SMP	1	1485.28	329.35	1485.28	329.35	-1	
4917947026	SMP	1	1501.89	489.98	1501.89	489.98	-1	
4918339225	MSG	1	# Message: elmo_tapping1.avi
4918347360	SMP	1	1093.54	448.74	1093.54	448.74	-1	
4918355619	SMP	1	1045.36	466.65	1045.36	466.65	-1	
4918363935	SMP	1	1081.98	412.03	1081.98	412.03	-1	
4918372327	SMP	1	1059.47	458.55	1059.47	458.55	-1	
4918380703	SMP	1	1036.78	517.68	1036.78	517.68	-1	
4918389137	SMP	1	1034.20	450.34	1034.20	450.34	-1	
4918397311	SMP	1	1031.45	489.77	1031.45	489.77	-1	
4918405694	SMP	1	1018.10	492.78	1018.10	492.78	-1	
4918413972	SMP	1	1022.02	461.87	1022.02	461.87	-1	
4918422342	SMP	1	1059.39	485.70	1059.39	485.70	-1	
4918430745	SMP	1	1040.52	465.56	1040.52	465.56	-1	
4918439073	SMP	1	1054.28	484.14	1054.28	484.14	-1	
4918447365	SMP	1	1170.93	470.87	1170.93	470.87	-1	
4918455761	SMP	1	1053.18	432.33	1053.18	432.33	-1	
4918464090	SMP	1	1035.53	534.51	1035.53	534.51	-1	
4918472493	SMP	1	1085.90	503.52	1085.90	503.52	-1	
4918480694	SMP	1	998.62	517.19	998.62	517.19	-1	
4918489055	SMP	1	855.09	529.92	855.09	529.92	-1	
4918497443	SMP	1	1070.19	477.08	1070.19	477.08	-1	
4918505791	SMP	1	1033.67	493.88	1033.67	493.88	-1	
4918514097	SMP	1	1045.82	458.25	1045.82	458.25	-1	
4918522904	SMP	1	1043.09	528.19	1043.09	528.19	-1	
4918530851	SMP	1	1030.36	529.49	1030.36	529.49	-1	
4918539187	SMP	1	1019.54	548.12	1019.54	548.12	-1	
4918547492	SMP	1	1034.73	521.62	1034.73	521.62	-1	
4918556362	SMP	1	1023.26	552.02	1023.26	552.02	-1	
4918564194	SMP	1	1018.24	533.72	1018.24	533.72	-1	
4918572451	SMP	1	1017.82	545.47	1017.82	545.47	-1	
4918580866	SMP	1	1041.27	539.20	1041.27	539.20	-1	
4918589227	SMP	1	1029.64	522.23	1029.64	522.23	-1	
4918597572	SMP	1	1020.45	537.89	1020.45	537.89	-1	
4918605815	SMP	1	1039.02	531.72	1039.02	531.72	-1	
4918614284	SMP	1	1024.14	533.84	1024.14	533.84	-1	
4918622590	SMP	1	1021.32	561.10	1021.32	561.10	-1	
4918630972	SMP	1	1021.21	507.15	1021.21	507.15	-1	
4918639196	SMP	1	1027.74	526.70	1027.74	526.70	-1	
4918647585	SMP	1	1015.37	538.61	1015.37	538.61	-1	
