## [iView]
## Converted from:	D:\Overflow results\simpadultL2\140228-02-L2-eye_data.idf
## Date:	28.02.2014 18:09:12
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	49735                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140228-02-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
3525178101	SMP	1	1023.25	316.78	1023.25	316.78	-1	
3525186486	SMP	1	992.59	262.45	992.59	262.45	-1	
3525211457	SMP	1	954.73	217.03	954.73	217.03	-1	
3525219822	SMP	1	953.61	192.07	953.61	192.07	-1	
3525228030	SMP	1	951.72	209.56	951.72	209.56	-1	
3525236449	SMP	1	944.76	195.92	944.76	195.92	-1	
3525253196	SMP	1	944.96	193.50	944.96	193.50	-1	
3525261421	SMP	1	947.24	199.88	947.24	199.88	-1	
3525269804	SMP	1	944.93	191.15	944.93	191.15	-1	
3525278202	SMP	1	947.14	192.03	947.14	192.03	-1	
3525286417	SMP	1	946.13	190.64	946.13	190.64	-1	
3525294799	SMP	1	944.75	190.47	944.75	190.47	-1	
3525319823	SMP	1	943.29	192.36	943.29	192.36	-1	
3525328216	SMP	1	942.60	187.11	942.60	187.11	-1	
3525336599	SMP	1	943.66	187.62	943.66	187.62	-1	
3525344915	SMP	1	941.94	183.60	941.94	183.60	-1	
3525353207	SMP	1	944.02	184.14	944.02	184.14	-1	
3525369963	SMP	1	943.16	183.63	943.16	183.63	-1	
3525378313	SMP	1	942.46	183.27	942.46	183.27	-1	
3525386537	SMP	1	941.76	183.47	941.76	183.47	-1	
3525394954	SMP	1	941.89	185.79	941.89	185.79	-1	
3525403337	SMP	1	941.88	188.60	941.88	188.60	-1	
3525411701	SMP	1	940.81	186.75	940.81	186.75	-1	
3525419953	SMP	1	939.95	181.40	939.95	181.40	-1	
3525428282	SMP	1	939.88	181.58	939.88	181.58	-1	
3525436706	SMP	1	938.25	182.50	938.25	182.50	-1	
3525444907	SMP	1	939.54	181.80	939.54	181.80	-1	
3525453320	SMP	1	935.76	134.82	935.76	134.82	-1	
3525461671	SMP	1	934.33	113.96	934.33	113.96	-1	
3525470076	SMP	1	931.25	101.53	931.25	101.53	-1	
3525478317	SMP	1	931.59	94.83	931.59	94.83	-1	
3525486675	SMP	1	929.16	92.95	929.16	92.95	-1	
3525495035	SMP	1	926.21	89.37	926.21	89.37	-1	
3525503411	SMP	1	922.93	80.95	922.93	80.95	-1	
3525511658	SMP	1	922.23	76.80	922.23	76.80	-1	
3525520031	SMP	1	918.84	79.34	918.84	79.34	-1	
3525528405	SMP	1	921.71	81.31	921.71	81.31	-1	
3525536785	SMP	1	920.94	85.34	920.94	85.34	-1	
3525545029	SMP	1	921.37	84.36	921.37	84.36	-1	
3525553414	SMP	1	923.16	85.63	923.16	85.63	-1	
3525561787	SMP	1	923.72	82.76	923.72	82.76	-1	
3525570053	SMP	1	922.82	88.94	922.82	88.94	-1	
3525578410	SMP	1	923.43	89.50	923.43	89.50	-1	
3525586793	SMP	1	924.65	93.36	924.65	93.36	-1	
3525595170	SMP	1	925.96	86.80	925.96	86.80	-1	
3525603440	SMP	1	924.73	93.25	924.73	93.25	-1	
3525611790	SMP	1	926.77	96.63	926.77	96.63	-1	
3525620160	SMP	1	924.32	94.90	924.32	94.90	-1	
3525628529	SMP	1	924.33	95.33	924.33	95.33	-1	
3525636802	SMP	1	922.89	97.10	922.89	97.10	-1	
3525653534	SMP	1	921.30	93.44	921.30	93.44	-1	
3525661985	SMP	1	921.61	95.76	921.61	95.76	-1	
3525670215	SMP	1	920.99	93.25	920.99	93.25	-1	
3525678600	SMP	1	920.67	94.02	920.67	94.02	-1	
3525687025	SMP	1	923.77	97.02	923.77	97.02	-1	
3525695344	SMP	1	918.46	93.76	918.46	93.76	-1	
3525703575	SMP	1	918.39	98.13	918.39	98.13	-1	
3525711954	SMP	1	924.20	99.09	924.20	99.09	-1	
3525720354	SMP	1	938.14	129.73	938.14	129.73	-1	
3525728576	SMP	1	1006.56	239.77	1006.56	239.77	-1	
3525745285	SMP	1	1102.69	406.36	1102.69	406.36	-1	
3525753654	SMP	1	1096.06	416.87	1096.06	416.87	-1	
3525761936	SMP	1	1091.72	415.58	1091.72	415.58	-1	
3525770269	SMP	1	1098.35	424.18	1098.35	424.18	-1	
3525778691	SMP	1	1100.77	419.92	1100.77	419.92	-1	
3525787092	SMP	1	1100.13	425.01	1100.13	425.01	-1	
3525795324	SMP	1	1100.61	423.10	1100.61	423.10	-1	
3525803712	SMP	1	1100.62	425.54	1100.62	425.54	-1	
3525812070	SMP	1	1101.13	425.57	1101.13	425.57	-1	
3525820440	SMP	1	1102.30	424.92	1102.30	424.92	-1	
3525828662	SMP	1	1103.14	425.05	1103.14	425.05	-1	
3525845424	SMP	1	1103.99	420.39	1103.99	420.39	-1	
3525853667	SMP	1	1105.07	416.96	1105.07	416.96	-1	
3525862061	SMP	1	1107.50	415.67	1107.50	415.67	-1	
3525870402	SMP	1	1107.58	411.10	1107.58	411.10	-1	
3525878829	SMP	1	1108.39	408.84	1108.39	408.84	-1	
3525887109	SMP	1	1109.56	406.01	1109.56	406.01	-1	
3525895466	SMP	1	1110.67	407.10	1110.67	407.10	-1	
3525903820	SMP	1	1110.61	406.75	1110.61	406.75	-1	
3525912196	SMP	1	1111.03	410.21	1111.03	410.21	-1	
3525920446	SMP	1	1111.10	411.27	1111.10	411.27	-1	
3525928821	SMP	1	1110.80	413.77	1110.80	413.77	-1	
3525937194	SMP	1	1109.96	417.35	1109.96	417.35	-1	
3525945554	SMP	1	1110.45	415.98	1110.45	415.98	-1	
3525953819	SMP	1	1109.41	418.04	1109.41	418.04	-1	
3525962225	SMP	1	1102.95	419.64	1102.95	419.64	-1	
3525970566	SMP	1	1015.66	400.91	1015.66	400.91	-1	
3525978822	SMP	1	924.71	316.59	924.71	316.59	-1	
3526003950	SMP	1	731.06	119.69	731.06	119.69	-1	
3526012202	SMP	1	726.95	118.62	726.95	118.62	-1	
3526020566	SMP	1	721.14	113.93	721.14	113.93	-1	
3526028941	SMP	1	722.95	111.39	722.95	111.39	-1	
3526037264	SMP	1	721.81	114.59	721.81	114.59	-1	
3526045659	SMP	1	723.49	114.23	723.49	114.23	-1	
3526053920	SMP	1	722.40	115.29	722.40	115.29	-1	
3526062361	SMP	1	723.67	116.47	723.67	116.47	-1	
3526078997	SMP	1	723.47	114.82	723.47	114.82	-1	
3526087373	SMP	1	723.80	114.80	723.80	114.80	-1	
3526095735	SMP	1	724.36	116.18	724.36	116.18	-1	
3526104122	SMP	1	723.99	114.70	723.99	114.70	-1	
3526112339	SMP	1	724.40	113.95	724.40	113.95	-1	
3526120683	SMP	1	727.41	108.58	727.41	108.58	-1	
3526129034	SMP	1	726.02	111.43	726.02	111.43	-1	
3526137315	SMP	1	728.27	109.78	728.27	109.78	-1	
3526145662	SMP	1	728.58	111.57	728.58	111.57	-1	
3526154063	SMP	1	730.46	108.91	730.46	108.91	-1	
3526162472	SMP	1	729.55	109.17	729.55	109.17	-1	
3526170721	SMP	1	728.84	109.58	728.84	109.58	-1	
3526179069	SMP	1	730.54	111.13	730.54	111.13	-1	
3526187441	SMP	1	733.47	110.71	733.47	110.71	-1	
3526195770	SMP	1	734.76	108.75	734.76	108.75	-1	
3526204067	SMP	1	733.43	110.44	733.43	110.44	-1	
3526220820	SMP	1	732.13	112.52	732.13	112.52	-1	
3526229192	SMP	1	734.28	113.17	734.28	113.17	-1	
3526237431	SMP	1	732.90	111.90	732.90	111.90	-1	
3526245812	SMP	1	637.28	99.60	637.28	99.60	-1	
3526254203	SMP	1	531.62	54.42	531.62	54.42	-1	
3526262532	SMP	1	425.82	0.62	425.82	0.62	-1	
3526270842	SMP	1	348.55	-29.23	348.55	-29.23	-1	
3526842563	MSG	1	# Message: elmo_tapping1.avi
3526846450	SMP	1	706.92	171.26	706.92	171.26	-1	
3526854790	SMP	1	711.22	170.99	711.22	170.99	-1	
3526863089	SMP	1	712.33	170.83	712.33	170.83	-1	
3526879863	SMP	1	712.72	171.50	712.72	171.50	-1	
3526888180	SMP	1	710.41	172.57	710.41	172.57	-1	
3526896468	SMP	1	743.33	168.52	743.33	168.52	-1	
3526904850	SMP	1	720.20	463.79	720.20	463.79	-1	
3526921553	SMP	1	0.00	0.00	0.00	0.00	-1	
3526929829	SMP	1	0.00	0.00	0.00	0.00	-1	
3526938464	SMP	1	0.00	0.00	0.00	0.00	-1	
3526946597	SMP	1	0.00	0.00	0.00	0.00	-1	
3526971575	SMP	1	0.00	0.00	0.00	0.00	-1	
3526979969	SMP	1	0.00	0.00	0.00	0.00	-1	
3526996712	SMP	1	0.00	0.00	0.00	0.00	-1	
3527004976	SMP	1	925.66	446.51	925.66	446.51	-1	
3527013353	SMP	1	917.34	280.49	917.34	280.49	-1	
3527029978	SMP	1	876.62	180.62	876.62	180.62	-1	
3527038334	SMP	1	760.68	184.37	760.68	184.37	-1	
3527046689	SMP	1	770.61	117.45	770.61	117.45	-1	
3527063357	SMP	1	671.69	-0.47	671.69	-0.47	-1	
3527072155	SMP	1	576.54	-0.51	576.54	-0.51	-1	
3527079947	SMP	1	665.30	31.15	665.30	31.15	-1	
3527088342	SMP	1	665.67	35.09	665.67	35.09	-1	
3527096704	SMP	1	670.05	52.27	670.05	52.27	-1	
3527105111	SMP	1	674.32	60.34	674.32	60.34	-1	
3527121711	SMP	1	673.08	64.14	673.08	64.14	-1	
3527130082	SMP	1	671.42	65.47	671.42	65.47	-1	
3527138458	SMP	1	672.87	60.67	672.87	60.67	-1	
3527146707	SMP	1	668.17	61.62	668.17	61.62	-1	
3527171874	SMP	1	670.35	60.25	670.35	60.25	-1	
3527180102	SMP	1	672.02	59.54	672.02	59.54	-1	
3527188469	SMP	1	670.37	63.16	670.37	63.16	-1	
3527196835	SMP	1	673.06	66.96	673.06	66.96	-1	
3527205216	SMP	1	672.02	65.58	672.02	65.58	-1	
3527213440	SMP	1	667.73	66.19	667.73	66.19	-1	
3527221792	SMP	1	663.89	64.56	663.89	64.56	-1	
3527230286	SMP	1	542.26	59.13	542.26	59.13	-1	
3527255230	SMP	1	252.87	-60.01	252.87	-60.01	-1	
3527263598	SMP	1	259.90	-51.18	259.90	-51.18	-1	
3527271841	SMP	1	266.33	-4.36	266.33	-4.36	-1	
3527280187	SMP	1	267.22	1.75	267.22	1.75	-1	
3527288551	SMP	1	269.51	21.96	269.51	21.96	-1	
3527296973	SMP	1	270.75	8.55	270.75	8.55	-1	
3527305216	SMP	1	281.59	-43.04	281.59	-43.04	-1	
3527313582	SMP	1	280.17	-16.59	280.17	-16.59	-1	
