## [iView]
## Converted from:	F:\simpleImp\data\140217\140217-01-L2-eye_data.idf
## Date:	17.02.2014 20:34:41
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	29115                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140217-01-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1275590538	SMP	1	0.00	0.00	0.00	0.00	-1	
1275640408	SMP	1	0.00	0.00	0.00	0.00	-1	
1275690429	SMP	1	0.00	0.00	0.00	0.00	-1	
1275740398	SMP	1	0.00	0.00	0.00	0.00	-1	
1275790493	SMP	1	0.00	0.00	0.00	0.00	-1	
1275840595	SMP	1	0.00	0.00	0.00	0.00	-1	
1275890605	SMP	1	0.00	0.00	0.00	0.00	-1	
1275940569	SMP	1	0.00	0.00	0.00	0.00	-1	
1275990614	SMP	1	0.00	0.00	0.00	0.00	-1	
1276040588	SMP	1	0.00	0.00	0.00	0.00	-1	
1276090744	SMP	1	0.00	0.00	0.00	0.00	-1	
1276140713	SMP	1	0.00	0.00	0.00	0.00	-1	
1276190702	SMP	1	0.00	0.00	0.00	0.00	-1	
1276240639	SMP	1	0.00	0.00	0.00	0.00	-1	
1276290733	SMP	1	0.00	0.00	0.00	0.00	-1	
1276340750	SMP	1	0.00	0.00	0.00	0.00	-1	
1276390827	SMP	1	0.00	0.00	0.00	0.00	-1	
1276440794	SMP	1	0.00	0.00	0.00	0.00	-1	
1276490881	SMP	1	0.00	0.00	0.00	0.00	-1	
1276541093	SMP	1	0.00	0.00	0.00	0.00	-1	
1276590997	SMP	1	0.00	0.00	0.00	0.00	-1	
1276640914	SMP	1	0.00	0.00	0.00	0.00	-1	
1276690943	SMP	1	0.00	0.00	0.00	0.00	-1	
1276740913	SMP	1	0.00	0.00	0.00	0.00	-1	
1276790944	SMP	1	0.00	0.00	0.00	0.00	-1	
1276841050	SMP	1	0.00	0.00	0.00	0.00	-1	
1276891098	SMP	1	0.00	0.00	0.00	0.00	-1	
1276941167	SMP	1	0.00	0.00	0.00	0.00	-1	
1276991020	SMP	1	0.00	0.00	0.00	0.00	-1	
1277041073	SMP	1	0.00	0.00	0.00	0.00	-1	
1277091186	SMP	1	0.00	0.00	0.00	0.00	-1	
1277141189	SMP	1	0.00	0.00	0.00	0.00	-1	
1277191193	SMP	1	0.00	0.00	0.00	0.00	-1	
1277667268	MSG	1	# Message: elmo_tapping1.avi
1277691426	SMP	1	0.00	0.00	0.00	0.00	-1	
1277741427	SMP	1	0.00	0.00	0.00	0.00	-1	
1277791566	SMP	1	0.00	0.00	0.00	0.00	-1	
1277841553	SMP	1	0.00	0.00	0.00	0.00	-1	
1277891528	SMP	1	0.00	0.00	0.00	0.00	-1	
1277941543	SMP	1	0.00	0.00	0.00	0.00	-1	
1277991574	SMP	1	0.00	0.00	0.00	0.00	-1	
1278042279	SMP	1	0.00	0.00	0.00	0.00	-1	
1278091688	SMP	1	0.00	0.00	0.00	0.00	-1	
1278141665	SMP	1	0.00	0.00	0.00	0.00	-1	
1278191689	SMP	1	0.00	0.00	0.00	0.00	-1	
1278242115	SMP	1	0.00	0.00	0.00	0.00	-1	
1278291777	SMP	1	0.00	0.00	0.00	0.00	-1	
1278341742	SMP	1	0.00	0.00	0.00	0.00	-1	
1278391756	SMP	1	0.00	0.00	0.00	0.00	-1	
1278442604	SMP	1	0.00	0.00	0.00	0.00	-1	
1278491815	SMP	1	0.00	0.00	0.00	0.00	-1	
1278542076	SMP	1	0.00	0.00	0.00	0.00	-1	
1278591989	SMP	1	0.00	0.00	0.00	0.00	-1	
1278641916	SMP	1	0.00	0.00	0.00	0.00	-1	
1278692368	SMP	1	0.00	0.00	0.00	0.00	-1	
1278742665	SMP	1	0.00	0.00	0.00	0.00	-1	
1278792019	SMP	1	0.00	0.00	0.00	0.00	-1	
1278842062	SMP	1	0.00	0.00	0.00	0.00	-1	
1278892050	SMP	1	0.00	0.00	0.00	0.00	-1	
1278942116	SMP	1	0.00	0.00	0.00	0.00	-1	
1278992091	SMP	1	0.00	0.00	0.00	0.00	-1	
1279042028	SMP	1	0.00	0.00	0.00	0.00	-1	
1279092176	SMP	1	0.00	0.00	0.00	0.00	-1	
1279142165	SMP	1	0.00	0.00	0.00	0.00	-1	
1279192154	SMP	1	0.00	0.00	0.00	0.00	-1	
1279242201	SMP	1	0.00	0.00	0.00	0.00	-1	
1279292286	SMP	1	0.00	0.00	0.00	0.00	-1	
1279342288	SMP	1	0.00	0.00	0.00	0.00	-1	
1279392265	SMP	1	0.00	0.00	0.00	0.00	-1	
1279442332	SMP	1	0.00	0.00	0.00	0.00	-1	
1279492292	SMP	1	0.00	0.00	0.00	0.00	-1	
1279542457	SMP	1	0.00	0.00	0.00	0.00	-1	
1279592401	SMP	1	0.00	0.00	0.00	0.00	-1	
1279642443	SMP	1	0.00	0.00	0.00	0.00	-1	
1279692750	SMP	1	0.00	0.00	0.00	0.00	-1	
1279742419	SMP	1	0.00	0.00	0.00	0.00	-1	
1279792519	SMP	1	0.00	0.00	0.00	0.00	-1	
1279842638	SMP	1	0.00	0.00	0.00	0.00	-1	
1279892587	SMP	1	0.00	0.00	0.00	0.00	-1	
1279942473	SMP	1	0.00	0.00	0.00	0.00	-1	
1279992526	SMP	1	0.00	0.00	0.00	0.00	-1	
1280042628	SMP	1	0.00	0.00	0.00	0.00	-1	
1280092621	SMP	1	0.00	0.00	0.00	0.00	-1	
1280142636	SMP	1	0.00	0.00	0.00	0.00	-1	
1280192626	SMP	1	0.00	0.00	0.00	0.00	-1	
1280242676	SMP	1	0.00	0.00	0.00	0.00	-1	
1280292761	SMP	1	0.00	0.00	0.00	0.00	-1	
1280342775	SMP	1	0.00	0.00	0.00	0.00	-1	
1280392737	SMP	1	0.00	0.00	0.00	0.00	-1	
1280442783	SMP	1	0.00	0.00	0.00	0.00	-1	
1280492773	SMP	1	0.00	0.00	0.00	0.00	-1	
1280542881	SMP	1	0.00	0.00	0.00	0.00	-1	
1280592885	SMP	1	0.00	0.00	0.00	0.00	-1	
1280642896	SMP	1	0.00	0.00	0.00	0.00	-1	
1280692925	SMP	1	0.00	0.00	0.00	0.00	-1	
1280742951	SMP	1	0.00	0.00	0.00	0.00	-1	
1280792944	SMP	1	0.00	0.00	0.00	0.00	-1	
1280842986	SMP	1	0.00	0.00	0.00	0.00	-1	
1280893035	SMP	1	0.00	0.00	0.00	0.00	-1	
1280943018	SMP	1	0.00	0.00	0.00	0.00	-1	
1280993031	SMP	1	0.00	0.00	0.00	0.00	-1	
1281043099	SMP	1	0.00	0.00	0.00	0.00	-1	
1281093147	SMP	1	0.00	0.00	0.00	0.00	-1	
1281143120	SMP	1	0.00	0.00	0.00	0.00	-1	
1281193127	SMP	1	0.00	0.00	0.00	0.00	-1	
1281243174	SMP	1	0.00	0.00	0.00	0.00	-1	
1281293240	SMP	1	0.00	0.00	0.00	0.00	-1	
1281343256	SMP	1	0.00	0.00	0.00	0.00	-1	
1281393205	SMP	1	0.00	0.00	0.00	0.00	-1	
1281443269	SMP	1	0.00	0.00	0.00	0.00	-1	
1281493383	SMP	1	0.00	0.00	0.00	0.00	-1	
1281543357	SMP	1	0.00	0.00	0.00	0.00	-1	
1281593376	SMP	1	0.00	0.00	0.00	0.00	-1	
1281643391	SMP	1	0.00	0.00	0.00	0.00	-1	
1281693320	SMP	1	0.00	0.00	0.00	0.00	-1	
1281743521	SMP	1	0.00	0.00	0.00	0.00	-1	
1281793496	SMP	1	0.00	0.00	0.00	0.00	-1	
1281843495	SMP	1	0.00	0.00	0.00	0.00	-1	
1281893499	SMP	1	0.00	0.00	0.00	0.00	-1	
1281943491	SMP	1	0.00	0.00	0.00	0.00	-1	
1281993662	SMP	1	0.00	0.00	0.00	0.00	-1	
1282043617	SMP	1	0.00	0.00	0.00	0.00	-1	
1282093600	SMP	1	0.00	0.00	0.00	0.00	-1	
1282143823	SMP	1	0.00	0.00	0.00	0.00	-1	
1282193606	SMP	1	0.00	0.00	0.00	0.00	-1	
1282243641	SMP	1	0.00	0.00	0.00	0.00	-1	
1282293755	SMP	1	0.00	0.00	0.00	0.00	-1	
1282343724	SMP	1	0.00	0.00	0.00	0.00	-1	
1282393730	SMP	1	0.00	0.00	0.00	0.00	-1	
1282443759	SMP	1	0.00	0.00	0.00	0.00	-1	
1282493758	SMP	1	0.00	0.00	0.00	0.00	-1	
1282544114	SMP	1	0.00	0.00	0.00	0.00	-1	
1282593796	SMP	1	0.00	0.00	0.00	0.00	-1	
1282643850	SMP	1	0.00	0.00	0.00	0.00	-1	
1282693873	SMP	1	0.00	0.00	0.00	0.00	-1	
1282743818	SMP	1	0.00	0.00	0.00	0.00	-1	
1282793896	SMP	1	0.00	0.00	0.00	0.00	-1	
1282843967	SMP	1	0.00	0.00	0.00	0.00	-1	
1282893938	SMP	1	0.00	0.00	0.00	0.00	-1	
1282944313	SMP	1	0.00	0.00	0.00	0.00	-1	
1282994099	SMP	1	0.00	0.00	0.00	0.00	-1	
1283044067	SMP	1	0.00	0.00	0.00	0.00	-1	
1283094155	SMP	1	0.00	0.00	0.00	0.00	-1	
1283144096	SMP	1	0.00	0.00	0.00	0.00	-1	
1283194087	SMP	1	0.00	0.00	0.00	0.00	-1	
1283244182	SMP	1	0.00	0.00	0.00	0.00	-1	
1283294214	SMP	1	0.00	0.00	0.00	0.00	-1	
1283344279	SMP	1	0.00	0.00	0.00	0.00	-1	
1283394631	SMP	1	0.00	0.00	0.00	0.00	-1	
1283444216	SMP	1	0.00	0.00	0.00	0.00	-1	
1283494352	SMP	1	0.00	0.00	0.00	0.00	-1	
1283544334	SMP	1	0.00	0.00	0.00	0.00	-1	
1283594354	SMP	1	0.00	0.00	0.00	0.00	-1	
1283644329	SMP	1	0.00	0.00	0.00	0.00	-1	
1283694250	SMP	1	0.00	0.00	0.00	0.00	-1	
