## [iView]
## Converted from:	F:\simpleImp\data\140217\140217-03-L1-eye_data.idf
## Date:	17.02.2014 21:03:27
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	31276                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140217-03-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
3001794793	SMP	1	499.68	600.84	499.68	600.84	-1	
3001803233	SMP	1	510.67	623.93	510.67	623.93	-1	
3001811592	SMP	1	491.73	594.00	491.73	594.00	-1	
3001819851	SMP	1	490.81	622.40	490.81	622.40	-1	
3001828177	SMP	1	486.50	647.25	486.50	647.25	-1	
3001836555	SMP	1	384.84	549.03	384.84	549.03	-1	
3001844774	SMP	1	288.85	538.97	288.85	538.97	-1	
3001853156	SMP	1	196.47	491.63	196.47	491.63	-1	
3001861539	SMP	1	102.88	421.25	102.88	421.25	-1	
3001869915	SMP	1	-11.74	300.81	-11.74	300.81	-1	
3001878163	SMP	1	-38.45	309.70	-38.45	309.70	-1	
3001886540	SMP	1	-110.59	198.36	-110.59	198.36	-1	
3001894921	SMP	1	-55.80	554.65	-55.80	554.65	-1	
3001903294	SMP	1	-73.98	304.29	-73.98	304.29	-1	
3001911547	SMP	1	-14.02	0.00	-14.02	0.00	-1	
3001919927	SMP	1	-9.64	0.00	-9.64	0.00	-1	
3001928323	SMP	1	-7.27	0.00	-7.27	0.00	-1	
3001936661	SMP	1	-5.78	0.00	-5.78	0.00	-1	
3001944964	SMP	1	-4.75	0.00	-4.75	0.00	-1	
3001953297	SMP	1	-4.02	0.00	-4.02	0.00	-1	
3001961706	SMP	1	-2.60	0.00	-2.60	0.00	-1	
3001969954	SMP	1	-1.06	0.00	-1.06	0.00	-1	
3001978330	SMP	1	-0.91	0.00	-0.91	0.00	-1	
3001986701	SMP	1	-0.18	0.00	-0.18	0.00	-1	
3001995075	SMP	1	0.00	0.00	0.00	0.00	-1	
3002003293	SMP	1	0.00	0.00	0.00	0.00	-1	
3002011666	SMP	1	0.00	0.00	0.00	0.00	-1	
3002020056	SMP	1	0.00	0.00	0.00	0.00	-1	
3002028447	SMP	1	0.00	0.00	0.00	0.00	-1	
3002036701	SMP	1	0.00	0.00	0.00	0.00	-1	
3002045028	SMP	1	0.00	0.00	0.00	0.00	-1	
3002053442	SMP	1	0.00	0.00	0.00	0.00	-1	
3002061822	SMP	1	0.00	0.00	0.00	0.00	-1	
3002070034	SMP	1	0.00	0.00	0.00	0.00	-1	
3002078439	SMP	1	0.00	0.00	0.00	0.00	-1	
