## [iView]
## Converted from:	F:\simpleImp\data\140220-06-L1-eye_data.idf
## Date:	21.02.2014 00:07:51
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	22393                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140220-06-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
6454096981	SMP	1	146.79	743.35	146.79	743.35	-1	
6454105474	SMP	1	144.84	741.70	144.84	741.70	-1	
6454113599	SMP	1	148.78	746.59	148.78	746.59	-1	
6454121961	SMP	1	150.46	749.56	150.46	749.56	-1	
6454130340	SMP	1	153.13	748.20	153.13	748.20	-1	
6454138584	SMP	1	153.54	752.67	153.54	752.67	-1	
6454146952	SMP	1	155.11	755.09	155.11	755.09	-1	
6454155318	SMP	1	152.78	755.23	152.78	755.23	-1	
6454163694	SMP	1	153.76	756.11	153.76	756.11	-1	
6454171935	SMP	1	152.72	757.93	152.72	757.93	-1	
6454180311	SMP	1	151.53	760.35	151.53	760.35	-1	
6454188684	SMP	1	152.03	759.65	152.03	759.65	-1	
6454197083	SMP	1	153.37	763.91	153.37	763.91	-1	
6454205310	SMP	1	155.15	761.88	155.15	761.88	-1	
6454213692	SMP	1	156.45	762.32	156.45	762.32	-1	
6454222056	SMP	1	155.00	763.13	155.00	763.13	-1	
6454230439	SMP	1	153.60	763.99	153.60	763.99	-1	
6454238680	SMP	1	158.54	760.63	158.54	760.63	-1	
6454247109	SMP	1	157.09	761.79	157.09	761.79	-1	
6454255473	SMP	1	180.23	756.54	180.23	756.54	-1	
6454263743	SMP	1	228.70	759.92	228.70	759.92	-1	
6454272096	SMP	1	253.55	761.81	253.55	761.81	-1	
6454280466	SMP	1	261.01	759.56	261.01	759.56	-1	
6454288842	SMP	1	257.16	759.06	257.16	759.06	-1	
6454297088	SMP	1	260.76	758.94	260.76	758.94	-1	
6454305465	SMP	1	262.01	755.46	262.01	755.46	-1	
6454313797	SMP	1	266.20	754.04	266.20	754.04	-1	
6454322216	SMP	1	268.03	753.36	268.03	753.36	-1	
6454330466	SMP	1	266.97	754.86	266.97	754.86	-1	
6454338804	SMP	1	270.23	756.55	270.23	756.55	-1	
6454347213	SMP	1	269.67	756.06	269.67	756.06	-1	
6454355557	SMP	1	270.35	757.75	270.35	757.75	-1	
6454363814	SMP	1	273.00	754.37	273.00	754.37	-1	
6454372168	SMP	1	271.32	751.48	271.32	751.48	-1	
6454380550	SMP	1	273.13	751.31	273.13	751.31	-1	
6454388786	SMP	1	273.50	753.67	273.50	753.67	-1	
6454397176	SMP	1	270.57	750.99	270.57	750.99	-1	
6454405549	SMP	1	270.67	750.29	270.67	750.29	-1	
6454413925	SMP	1	269.36	750.68	269.36	750.68	-1	
6454422165	SMP	1	271.00	752.05	271.00	752.05	-1	
6454430538	SMP	1	269.13	747.26	269.13	747.26	-1	
6454438942	SMP	1	270.98	749.45	270.98	749.45	-1	
6454447296	SMP	1	271.15	745.97	271.15	745.97	-1	
6454455537	SMP	1	270.92	748.71	270.92	748.71	-1	
6454463917	SMP	1	271.72	748.85	271.72	748.85	-1	
6454472286	SMP	1	272.18	749.02	272.18	749.02	-1	
6454480667	SMP	1	273.75	750.29	273.75	750.29	-1	
6454488914	SMP	1	274.92	748.90	274.92	748.90	-1	
6454497296	SMP	1	275.96	749.96	275.96	749.96	-1	
6454505664	SMP	1	275.00	750.30	275.00	750.30	-1	
6454513946	SMP	1	274.82	751.52	274.82	751.52	-1	
6454522286	SMP	1	275.16	749.37	275.16	749.37	-1	
6454530683	SMP	1	273.33	750.72	273.33	750.72	-1	
6454539043	SMP	1	280.99	749.62	280.99	749.62	-1	
6454547291	SMP	1	313.43	726.93	313.43	726.93	-1	
6454555677	SMP	1	366.08	670.99	366.08	670.99	-1	
6454564053	SMP	1	373.41	637.88	373.41	637.88	-1	
6454572418	SMP	1	364.84	656.64	364.84	656.64	-1	
6454580765	SMP	1	379.76	649.31	379.76	649.31	-1	
6454589094	SMP	1	378.45	653.71	378.45	653.71	-1	
6454597470	SMP	1	382.37	655.21	382.37	655.21	-1	
6454605874	SMP	1	379.60	659.67	379.60	659.67	-1	
6454614137	SMP	1	380.84	651.43	380.84	651.43	-1	
6454622467	SMP	1	381.92	645.89	381.92	645.89	-1	
6454630835	SMP	1	382.12	657.77	382.12	657.77	-1	
6454639219	SMP	1	386.73	646.91	386.73	646.91	-1	
6454647467	SMP	1	384.10	643.74	384.10	643.74	-1	
6454655850	SMP	1	390.83	649.52	390.83	649.52	-1	
6454664190	SMP	1	390.23	642.81	390.23	642.81	-1	
6454672460	SMP	1	388.20	641.46	388.20	641.46	-1	
6454680823	SMP	1	391.39	651.82	391.39	651.82	-1	
6454689161	SMP	1	387.58	644.74	387.58	644.74	-1	
6454697596	SMP	1	391.22	640.78	391.22	640.78	-1	
6454705835	SMP	1	389.38	649.17	389.38	649.17	-1	
6454714219	SMP	1	392.26	641.44	392.26	641.44	-1	
6454739212	SMP	1	395.67	646.06	395.67	646.06	-1	
6454747585	SMP	1	389.58	640.81	389.58	640.81	-1	
6454755938	SMP	1	395.57	634.80	395.57	634.80	-1	
6454764334	SMP	1	391.46	627.97	391.46	627.97	-1	
6454772538	SMP	1	390.74	630.08	390.74	630.08	-1	
6454780958	SMP	1	391.23	620.95	391.23	620.95	-1	
6454789330	SMP	1	393.80	616.69	393.80	616.69	-1	
6454797585	SMP	1	391.91	617.54	391.91	617.54	-1	
6454805957	SMP	1	398.23	614.18	398.23	614.18	-1	
6454814285	SMP	1	395.33	614.92	395.33	614.92	-1	
6454822708	SMP	1	392.07	623.85	392.07	623.85	-1	
6454830957	SMP	1	398.41	611.28	398.41	611.28	-1	
6454839333	SMP	1	394.24	610.45	394.24	610.45	-1	
6454847702	SMP	1	394.32	621.73	394.32	621.73	-1	
6454856085	SMP	1	395.17	613.35	395.17	613.35	-1	
6454864316	SMP	1	392.98	619.49	392.98	619.49	-1	
6454872705	SMP	1	393.70	633.88	393.70	633.88	-1	
6454881088	SMP	1	398.29	618.05	398.29	618.05	-1	
6454889459	SMP	1	391.20	629.22	391.20	629.22	-1	
6454897709	SMP	1	390.16	621.55	390.16	621.55	-1	
6454906081	SMP	1	393.37	627.40	393.37	627.40	-1	
6454914458	SMP	1	394.16	618.22	394.16	618.22	-1	
6454922720	SMP	1	394.62	628.01	394.62	628.01	-1	
