## [iView]
## Converted from:	D:\Overflow results\simpadultL2\140226-04-L2-eye_data.idf
## Date:	27.02.2014 01:10:03
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	4450                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	140226-04-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
203636727	SMP	1	0.00	0.00	0.00	0.00	-1	
203738286	SMP	1	0.00	0.00	0.00	0.00	-1	
203839848	SMP	1	0.00	0.00	0.00	0.00	-1	
203941408	SMP	1	0.00	0.00	0.00	0.00	-1	
204042966	SMP	1	0.00	0.00	0.00	0.00	-1	
204145504	SMP	1	0.00	0.00	0.00	0.00	-1	
204248039	SMP	1	0.00	0.00	0.00	0.00	-1	
204350581	SMP	1	0.00	0.00	0.00	0.00	-1	
204453117	SMP	1	0.00	0.00	0.00	0.00	-1	
204554675	SMP	1	0.00	0.00	0.00	0.00	-1	
204656240	SMP	1	0.00	0.00	0.00	0.00	-1	
204757796	SMP	1	0.00	0.00	0.00	0.00	-1	
204860335	SMP	1	0.00	0.00	0.00	0.00	-1	
204961897	SMP	1	0.00	0.00	0.00	0.00	-1	
205064431	SMP	1	0.00	0.00	0.00	0.00	-1	
205165994	SMP	1	0.00	0.00	0.00	0.00	-1	
206305973	MSG	1	# Message: elmo_tapping1.avi
206316356	SMP	1	0.00	0.00	0.00	0.00	-1	
206418903	SMP	1	0.00	0.00	0.00	0.00	-1	
206521437	SMP	1	0.00	0.00	0.00	0.00	-1	
206623974	SMP	1	0.00	0.00	0.00	0.00	-1	
206726506	SMP	1	0.00	0.00	0.00	0.00	-1	
206828067	SMP	1	0.00	0.00	0.00	0.00	-1	
206929631	SMP	1	0.00	0.00	0.00	0.00	-1	
207031189	SMP	1	0.00	0.00	0.00	0.00	-1	
207132749	SMP	1	0.00	0.00	0.00	0.00	-1	
207235289	SMP	1	0.00	0.00	0.00	0.00	-1	
207337820	SMP	1	0.00	0.00	0.00	0.00	-1	
207440361	SMP	1	0.00	0.00	0.00	0.00	-1	
207542893	SMP	1	0.00	0.00	0.00	0.00	-1	
207644453	SMP	1	0.00	0.00	0.00	0.00	-1	
207746993	SMP	1	0.00	0.00	0.00	0.00	-1	
207848554	SMP	1	0.00	0.00	0.00	0.00	-1	
207951088	SMP	1	0.00	0.00	0.00	0.00	-1	
208052649	SMP	1	0.00	0.00	0.00	0.00	-1	
208154207	SMP	1	0.00	0.00	0.00	0.00	-1	
208256744	SMP	1	0.00	0.00	0.00	0.00	-1	
