## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L1\140130-L1_01-1-eye_data.idf
## Date:	30.01.2014 17:39:00
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	32488                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140130-L1_01-1                                                                                                                                                                                                                                                  
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1558843292	SMP	1	0.00	0.00	0.00	0.00	-1	
1558859896	SMP	1	0.00	0.00	0.00	0.00	-1	
1558868262	SMP	1	0.00	0.00	0.00	0.00	-1	
1558876669	SMP	1	0.00	0.00	0.00	0.00	-1	
1558893230	SMP	1	0.00	0.00	0.00	0.00	-1	
1558901609	SMP	1	0.00	0.00	0.00	0.00	-1	
1558909985	SMP	1	0.00	0.00	0.00	0.00	-1	
1558926596	SMP	1	0.00	0.00	0.00	0.00	-1	
1558934979	SMP	1	0.00	0.00	0.00	0.00	-1	
1558943370	SMP	1	0.00	0.00	0.00	0.00	-1	
1558951608	SMP	1	0.00	0.00	0.00	0.00	-1	
1558959991	SMP	1	0.00	0.00	0.00	0.00	-1	
1558976739	SMP	1	0.00	0.00	0.00	0.00	-1	
1558985016	SMP	1	0.00	0.00	0.00	0.00	-1	
1558993375	SMP	1	0.00	0.00	0.00	0.00	-1	
1559001749	SMP	1	0.00	0.00	0.00	0.00	-1	
1559010161	SMP	1	0.00	0.00	0.00	0.00	-1	
1559018365	SMP	1	0.00	0.00	0.00	0.00	-1	
1559026726	SMP	1	0.00	0.00	0.00	0.00	-1	
1559035134	SMP	1	0.00	0.00	0.00	0.00	-1	
1559043510	SMP	1	0.00	0.00	0.00	0.00	-1	
1559051758	SMP	1	0.00	0.00	0.00	0.00	-1	
1559068469	SMP	1	0.00	0.00	0.00	0.00	-1	
1559076754	SMP	1	0.00	0.00	0.00	0.00	-1	
1559085132	SMP	1	0.00	0.00	0.00	0.00	-1	
1559101896	SMP	1	0.00	0.00	0.00	0.00	-1	
