## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L2\140130-02_L2-eye_data.idf
## Date:	30.01.2014 18:01:59
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	35947                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140130-02_L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2938543474	SMP	1	0.00	0.00	0.00	0.00	-1	
2938593479	SMP	1	0.00	0.00	0.00	0.00	-1	
2938643529	SMP	1	0.00	0.00	0.00	0.00	-1	
2938693471	SMP	1	0.00	0.00	0.00	0.00	-1	
2938743500	SMP	1	0.00	0.00	0.00	0.00	-1	
2938793574	SMP	1	0.00	0.00	0.00	0.00	-1	
2938843568	SMP	1	0.00	0.00	0.00	0.00	-1	
2938893605	SMP	1	0.00	0.00	0.00	0.00	-1	
2938943729	SMP	1	0.00	0.00	0.00	0.00	-1	
2938993574	SMP	1	0.00	0.00	0.00	0.00	-1	
2939043768	SMP	1	0.00	0.00	0.00	0.00	-1	
2939093786	SMP	1	0.00	0.00	0.00	0.00	-1	
2939143787	SMP	1	0.00	0.00	0.00	0.00	-1	
2939193730	SMP	1	0.00	0.00	0.00	0.00	-1	
2939243769	SMP	1	0.00	0.00	0.00	0.00	-1	
2939293918	SMP	1	0.00	0.00	0.00	0.00	-1	
2939343875	SMP	1	0.00	0.00	0.00	0.00	-1	
2939393928	SMP	1	0.00	0.00	0.00	0.00	-1	
2939443913	SMP	1	0.00	0.00	0.00	0.00	-1	
2939493882	SMP	1	0.00	0.00	0.00	0.00	-1	
2939544011	SMP	1	0.00	0.00	0.00	0.00	-1	
2939594045	SMP	1	0.00	0.00	0.00	0.00	-1	
2939643965	SMP	1	0.00	0.00	0.00	0.00	-1	
2939694046	SMP	1	0.00	0.00	0.00	0.00	-1	
2939744014	SMP	1	0.00	0.00	0.00	0.00	-1	
2939794133	SMP	1	0.00	0.00	0.00	0.00	-1	
2939844088	SMP	1	0.00	0.00	0.00	0.00	-1	
2939894153	SMP	1	0.00	0.00	0.00	0.00	-1	
2939944152	SMP	1	0.00	0.00	0.00	0.00	-1	
2939994141	SMP	1	0.00	0.00	0.00	0.00	-1	
2940044322	SMP	1	0.00	0.00	0.00	0.00	-1	
2940094277	SMP	1	0.00	0.00	0.00	0.00	-1	
2940144340	SMP	1	0.00	0.00	0.00	0.00	-1	
2940194275	SMP	1	0.00	0.00	0.00	0.00	-1	
2940244264	SMP	1	0.00	0.00	0.00	0.00	-1	
2940294320	SMP	1	0.00	0.00	0.00	0.00	-1	
2940344363	SMP	1	0.00	0.00	0.00	0.00	-1	
