## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_list1pilot\P01-eye_data.idf
## Date:	22.01.2014 18:55:00
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	31390                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	P01                                                                                                                                                                                                                                                             
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
675787176	SMP	1	0.00	0.00	0.00	0.00	-1	
675837226	SMP	1	0.00	0.00	0.00	0.00	-1	
675887214	SMP	1	0.00	0.00	0.00	0.00	-1	
675937374	SMP	1	0.00	0.00	0.00	0.00	-1	
675987334	SMP	1	0.00	0.00	0.00	0.00	-1	
676037372	SMP	1	0.00	0.00	0.00	0.00	-1	
676087328	SMP	1	0.00	0.00	0.00	0.00	-1	
676137356	SMP	1	0.00	0.00	0.00	0.00	-1	
676187507	SMP	1	0.00	0.00	0.00	0.00	-1	
676237506	SMP	1	0.00	0.00	0.00	0.00	-1	
676287494	SMP	1	0.00	0.00	0.00	0.00	-1	
676337642	SMP	1	0.00	0.00	0.00	0.00	-1	
676387566	SMP	1	0.00	0.00	0.00	0.00	-1	
676437610	SMP	1	0.00	0.00	0.00	0.00	-1	
676487622	SMP	1	0.00	0.00	0.00	0.00	-1	
676537703	SMP	1	0.00	0.00	0.00	0.00	-1	
676587650	SMP	1	0.00	0.00	0.00	0.00	-1	
676637626	SMP	1	0.00	0.00	0.00	0.00	-1	
676687887	SMP	1	0.00	0.00	0.00	0.00	-1	
