## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L1\pilot_erica3-eye_data.idf
## Date:	29.01.2014 19:01:23
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	33266                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pilot_erica3                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2390778756	SMP	1	0.00	0.00	0.00	0.00	-1	
2390828665	SMP	1	0.00	0.00	0.00	0.00	-1	
2390878700	SMP	1	0.00	0.00	0.00	0.00	-1	
2390928902	SMP	1	0.00	0.00	0.00	0.00	-1	
2390978813	SMP	1	0.00	0.00	0.00	0.00	-1	
2391028901	SMP	1	0.00	0.00	0.00	0.00	-1	
2391078826	SMP	1	0.00	0.00	0.00	0.00	-1	
2391128814	SMP	1	0.00	0.00	0.00	0.00	-1	
2391178969	SMP	1	0.00	0.00	0.00	0.00	-1	
2391228966	SMP	1	0.00	0.00	0.00	0.00	-1	
2391278959	SMP	1	0.00	0.00	0.00	0.00	-1	
2391328989	SMP	1	0.00	0.00	0.00	0.00	-1	
2391378961	SMP	1	0.00	0.00	0.00	0.00	-1	
2391429068	SMP	1	0.00	0.00	0.00	0.00	-1	
2391479097	SMP	1	0.00	0.00	0.00	0.00	-1	
2391529068	SMP	1	0.00	0.00	0.00	0.00	-1	
2391579108	SMP	1	0.00	0.00	0.00	0.00	-1	
2391629292	SMP	1	0.00	0.00	0.00	0.00	-1	
2391679126	SMP	1	0.00	0.00	0.00	0.00	-1	
2391729214	SMP	1	0.00	0.00	0.00	0.00	-1	
2391779252	SMP	1	0.00	0.00	0.00	0.00	-1	
2391829250	SMP	1	0.00	0.00	0.00	0.00	-1	
2391879368	SMP	1	0.00	0.00	0.00	0.00	-1	
2391929375	SMP	1	0.00	0.00	0.00	0.00	-1	
2391979321	SMP	1	0.00	0.00	0.00	0.00	-1	
2392029520	SMP	1	0.00	0.00	0.00	0.00	-1	
2392079421	SMP	1	0.00	0.00	0.00	0.00	-1	
2392129452	SMP	1	0.00	0.00	0.00	0.00	-1	
2392179415	SMP	1	0.00	0.00	0.00	0.00	-1	
2392229470	SMP	1	0.00	0.00	0.00	0.00	-1	
2392926905	MSG	1	# Message: elmo_duck.avi
2392929807	SMP	1	0.00	0.00	0.00	0.00	-1	
2392979748	SMP	1	0.00	0.00	0.00	0.00	-1	
2393029831	SMP	1	0.00	0.00	0.00	0.00	-1	
2393079760	SMP	1	0.00	0.00	0.00	0.00	-1	
2393129985	SMP	1	0.00	0.00	0.00	0.00	-1	
2393180537	SMP	1	0.00	0.00	0.00	0.00	-1	
2393229960	SMP	1	0.00	0.00	0.00	0.00	-1	
2393279877	SMP	1	0.00	0.00	0.00	0.00	-1	
2393329936	SMP	1	0.00	0.00	0.00	0.00	-1	
2393380022	SMP	1	0.00	0.00	0.00	0.00	-1	
2393430132	SMP	1	0.00	0.00	0.00	0.00	-1	
2393480697	SMP	1	0.00	0.00	0.00	0.00	-1	
2393530098	SMP	1	0.00	0.00	0.00	0.00	-1	
