## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L2\Pilot-erica1-eye_data.idf
## Date:	29.01.2014 00:21:06
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	33933                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	Pilot-erica1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
3557897712	SMP	1	0.00	0.00	0.00	0.00	-1	
3557947665	SMP	1	0.00	0.00	0.00	0.00	-1	
3557997930	SMP	1	0.00	0.00	0.00	0.00	-1	
3558047952	SMP	1	0.00	0.00	0.00	0.00	-1	
3558097829	SMP	1	0.00	0.00	0.00	0.00	-1	
3558147912	SMP	1	0.00	0.00	0.00	0.00	-1	
3558197942	SMP	1	0.00	0.00	0.00	0.00	-1	
3558248041	SMP	1	0.00	0.00	0.00	0.00	-1	
3558297981	SMP	1	0.00	0.00	0.00	0.00	-1	
3558348016	SMP	1	0.00	0.00	0.00	0.00	-1	
3558397957	SMP	1	0.00	0.00	0.00	0.00	-1	
3558448170	SMP	1	0.00	0.00	0.00	0.00	-1	
3558498091	SMP	1	0.00	0.00	0.00	0.00	-1	
3558548142	SMP	1	0.00	0.00	0.00	0.00	-1	
3558598099	SMP	1	0.00	0.00	0.00	0.00	-1	
3558648116	SMP	1	0.00	0.00	0.00	0.00	-1	
3558698194	SMP	1	0.00	0.00	0.00	0.00	-1	
3558748523	SMP	1	0.00	0.00	0.00	0.00	-1	
3558798264	SMP	1	0.00	0.00	0.00	0.00	-1	
3558848161	SMP	1	0.00	0.00	0.00	0.00	-1	
3558898247	SMP	1	0.00	0.00	0.00	0.00	-1	
3558948373	SMP	1	0.00	0.00	0.00	0.00	-1	
3558998345	SMP	1	0.00	0.00	0.00	0.00	-1	
3559048391	SMP	1	0.00	0.00	0.00	0.00	-1	
3559098348	SMP	1	0.00	0.00	0.00	0.00	-1	
3559148534	SMP	1	0.00	0.00	0.00	0.00	-1	
3559198528	SMP	1	0.00	0.00	0.00	0.00	-1	
3559248490	SMP	1	0.00	0.00	0.00	0.00	-1	
3559298451	SMP	1	0.00	0.00	0.00	0.00	-1	
3559348502	SMP	1	0.00	0.00	0.00	0.00	-1	
3559398503	SMP	1	0.00	0.00	0.00	0.00	-1	
3559448644	SMP	1	0.00	0.00	0.00	0.00	-1	
3559498590	SMP	1	0.00	0.00	0.00	0.00	-1	
3560673635	MSG	1	# Message: elmo_rap.avi
3560699204	SMP	1	0.00	0.00	0.00	0.00	-1	
3560749177	SMP	1	0.00	0.00	0.00	0.00	-1	
3560799170	SMP	1	0.00	0.00	0.00	0.00	-1	
3560849212	SMP	1	0.00	0.00	0.00	0.00	-1	
3560899166	SMP	1	0.00	0.00	0.00	0.00	-1	
3560949649	SMP	1	0.00	0.00	0.00	0.00	-1	
3560999336	SMP	1	0.00	0.00	0.00	0.00	-1	
3561049338	SMP	1	0.00	0.00	0.00	0.00	-1	
3561099316	SMP	1	0.00	0.00	0.00	0.00	-1	
3561149260	SMP	1	0.00	0.00	0.00	0.00	-1	
3561199467	SMP	1	0.00	0.00	0.00	0.00	-1	
3561249465	SMP	1	0.00	0.00	0.00	0.00	-1	
3561299454	SMP	1	0.00	0.00	0.00	0.00	-1	
3561349458	SMP	1	0.00	0.00	0.00	0.00	-1	
3561399430	SMP	1	0.00	0.00	0.00	0.00	-1	
3561449583	SMP	1	0.00	0.00	0.00	0.00	-1	
3561499553	SMP	1	0.00	0.00	0.00	0.00	-1	
3561549519	SMP	1	0.00	0.00	0.00	0.00	-1	
3561599557	SMP	1	0.00	0.00	0.00	0.00	-1	
3561649503	SMP	1	0.00	0.00	0.00	0.00	-1	
3561699702	SMP	1	0.00	0.00	0.00	0.00	-1	
3561749693	SMP	1	0.00	0.00	0.00	0.00	-1	
3561799689	SMP	1	0.00	0.00	0.00	0.00	-1	
3561849720	SMP	1	0.00	0.00	0.00	0.00	-1	
3561899788	SMP	1	0.00	0.00	0.00	0.00	-1	
3561949775	SMP	1	0.00	0.00	0.00	0.00	-1	
3561999839	SMP	1	0.00	0.00	0.00	0.00	-1	
3562049829	SMP	1	0.00	0.00	0.00	0.00	-1	
3562099966	SMP	1	0.00	0.00	0.00	0.00	-1	
3562149891	SMP	1	0.00	0.00	0.00	0.00	-1	
3562200011	SMP	1	0.00	0.00	0.00	0.00	-1	
3562249958	SMP	1	0.00	0.00	0.00	0.00	-1	
3562300086	SMP	1	0.00	0.00	0.00	0.00	-1	
3562349955	SMP	1	0.00	0.00	0.00	0.00	-1	
3562400009	SMP	1	0.00	0.00	0.00	0.00	-1	
3562450193	SMP	1	0.00	0.00	0.00	0.00	-1	
3562500072	SMP	1	0.00	0.00	0.00	0.00	-1	
3562550053	SMP	1	0.00	0.00	0.00	0.00	-1	
3562600044	SMP	1	0.00	0.00	0.00	0.00	-1	
3562650213	SMP	1	0.00	0.00	0.00	0.00	-1	
3562701033	SMP	1	0.00	0.00	0.00	0.00	-1	
3562750186	SMP	1	0.00	0.00	0.00	0.00	-1	
3562800214	SMP	1	0.00	0.00	0.00	0.00	-1	
3562850163	SMP	1	0.00	0.00	0.00	0.00	-1	
3562900324	SMP	1	0.00	0.00	0.00	0.00	-1	
3562950246	SMP	1	0.00	0.00	0.00	0.00	-1	
