## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L2\pilot_kara-eye_data.idf
## Date:	29.01.2014 23:27:30
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	35770                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	pilot_kara                                                                                                                                                                                                                                                      
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2195443810	SMP	1	0.00	0.00	0.00	0.00	-1	
2195452151	SMP	1	0.00	0.00	0.00	0.00	-1	
2195460385	SMP	1	0.00	0.00	0.00	0.00	-1	
2195468809	SMP	1	0.00	0.00	0.00	0.00	-1	
2195477150	SMP	1	0.00	0.00	0.00	0.00	-1	
2195485512	SMP	1	0.00	0.00	0.00	0.00	-1	
2195493736	SMP	1	0.00	0.00	0.00	0.00	-1	
2195502138	SMP	1	0.00	0.00	0.00	0.00	-1	
2195510473	SMP	1	0.00	0.00	0.00	0.00	-1	
2195518841	SMP	1	0.00	0.00	0.00	0.00	-1	
2195527116	SMP	1	0.00	0.00	0.00	0.00	-1	
2195535494	SMP	1	0.00	0.00	0.00	0.00	-1	
2195543843	SMP	1	0.00	0.00	0.00	0.00	-1	
2195552238	SMP	1	0.00	0.00	0.00	0.00	-1	
2195560479	SMP	1	0.00	0.00	0.00	0.00	-1	
2195568845	SMP	1	0.00	0.00	0.00	0.00	-1	
2195577220	SMP	1	0.00	0.00	0.00	0.00	-1	
2195585490	SMP	1	0.00	0.00	0.00	0.00	-1	
2195593845	SMP	1	0.00	0.00	0.00	0.00	-1	
2195602221	SMP	1	0.00	0.00	0.00	0.00	-1	
2195760305	SMP	1	0.00	0.00	0.00	0.00	-1	
2195832173	SMP	1	0.00	0.00	0.00	0.00	-1	
2195840367	SMP	1	0.00	0.00	0.00	0.00	-1	
2195848629	SMP	1	0.00	0.00	0.00	0.00	-1	
2195856982	SMP	1	0.00	0.00	0.00	0.00	-1	
2195865381	SMP	1	0.00	0.00	0.00	0.00	-1	
2195873702	SMP	1	0.00	0.00	0.00	0.00	-1	
2195882000	SMP	1	0.00	0.00	0.00	0.00	-1	
2195890371	SMP	1	0.00	0.00	0.00	0.00	-1	
2195898752	SMP	1	0.00	0.00	0.00	0.00	-1	
2195907090	SMP	1	0.00	0.00	0.00	0.00	-1	
2195915332	SMP	1	0.00	0.00	0.00	0.00	-1	
2195926178	SMP	1	0.00	0.00	0.00	0.00	-1	
2195932078	SMP	1	0.00	0.00	0.00	0.00	-1	
2195940457	SMP	1	0.00	0.00	0.00	0.00	-1	
2195948720	SMP	1	0.00	0.00	0.00	0.00	-1	
2195957078	SMP	1	0.00	0.00	0.00	0.00	-1	
2195965461	SMP	1	0.00	0.00	0.00	0.00	-1	
2195973703	SMP	1	0.00	0.00	0.00	0.00	-1	
2195982073	SMP	1	0.00	0.00	0.00	0.00	-1	
2195990457	SMP	1	0.00	0.00	0.00	0.00	-1	
2195998824	SMP	1	0.00	0.00	0.00	0.00	-1	
2196007073	SMP	1	0.00	0.00	0.00	0.00	-1	
2196015444	SMP	1	0.00	0.00	0.00	0.00	-1	
2196023832	SMP	1	0.00	0.00	0.00	0.00	-1	
2196032203	SMP	1	0.00	0.00	0.00	0.00	-1	
2196040522	SMP	1	0.00	0.00	0.00	0.00	-1	
2196048832	SMP	1	0.00	0.00	0.00	0.00	-1	
2196057211	SMP	1	0.00	0.00	0.00	0.00	-1	
2196065574	SMP	1	0.00	0.00	0.00	0.00	-1	
2196073824	SMP	1	0.00	0.00	0.00	0.00	-1	
2196082196	SMP	1	0.00	0.00	0.00	0.00	-1	
2196090606	SMP	1	0.00	0.00	0.00	0.00	-1	
2196098989	SMP	1	0.00	0.00	0.00	0.00	-1	
2196107253	SMP	1	0.00	0.00	0.00	0.00	-1	
2196115642	SMP	1	0.00	0.00	0.00	0.00	-1	
2196123997	SMP	1	0.00	0.00	0.00	0.00	-1	
2196132252	SMP	1	0.00	0.00	0.00	0.00	-1	
2196140638	SMP	1	0.00	0.00	0.00	0.00	-1	
2196148993	SMP	1	0.00	0.00	0.00	0.00	-1	
2196157387	SMP	1	0.00	0.00	0.00	0.00	-1	
2196165591	SMP	1	0.00	0.00	0.00	0.00	-1	
2196323669	SMP	1	0.00	0.00	0.00	0.00	-1	
2196395628	SMP	1	0.00	0.00	0.00	0.00	-1	
2196403721	SMP	1	0.00	0.00	0.00	0.00	-1	
2196412089	SMP	1	0.00	0.00	0.00	0.00	-1	
2196420450	SMP	1	0.00	0.00	0.00	0.00	-1	
2196428701	SMP	1	0.00	0.00	0.00	0.00	-1	
2196437073	SMP	1	0.00	0.00	0.00	0.00	-1	
2196445496	SMP	1	0.00	0.00	0.00	0.00	-1	
2196453848	SMP	1	0.00	0.00	0.00	0.00	-1	
2196462114	SMP	1	0.00	0.00	0.00	0.00	-1	
2196470488	SMP	1	0.00	0.00	0.00	0.00	-1	
2196478866	SMP	1	0.00	0.00	0.00	0.00	-1	
2196487239	SMP	1	0.00	0.00	0.00	0.00	-1	
2196495464	SMP	1	0.00	0.00	0.00	0.00	-1	
2196503863	SMP	1	0.00	0.00	0.00	0.00	-1	
2196512244	SMP	1	0.00	0.00	0.00	0.00	-1	
2196520488	SMP	1	0.00	0.00	0.00	0.00	-1	
2196528851	SMP	1	0.00	0.00	0.00	0.00	-1	
2196537237	SMP	1	0.00	0.00	0.00	0.00	-1	
2196545626	SMP	1	0.00	0.00	0.00	0.00	-1	
2196553865	SMP	1	0.00	0.00	0.00	0.00	-1	
2196562236	SMP	1	0.00	0.00	0.00	0.00	-1	
2196570611	SMP	1	0.00	0.00	0.00	0.00	-1	
2196578953	SMP	1	0.00	0.00	0.00	0.00	-1	
2196587317	SMP	1	0.00	0.00	0.00	0.00	-1	
2196595646	SMP	1	0.00	0.00	0.00	0.00	-1	
2196604041	SMP	1	0.00	0.00	0.00	0.00	-1	
2196612394	SMP	1	0.00	0.00	0.00	0.00	-1	
2196620669	SMP	1	0.00	0.00	0.00	0.00	-1	
2196629021	SMP	1	0.00	0.00	0.00	0.00	-1	
2196637428	SMP	1	0.00	0.00	0.00	0.00	-1	
2196645735	SMP	1	0.00	0.00	0.00	0.00	-1	
2196653995	SMP	1	0.00	0.00	0.00	0.00	-1	
2196662333	SMP	1	0.00	0.00	0.00	0.00	-1	
2196670708	SMP	1	0.00	0.00	0.00	0.00	-1	
2196678950	SMP	1	0.00	0.00	0.00	0.00	-1	
2196687371	SMP	1	0.00	0.00	0.00	0.00	-1	
2196695695	SMP	1	0.00	0.00	0.00	0.00	-1	
2196704101	SMP	1	0.00	0.00	0.00	0.00	-1	
2196712345	SMP	1	0.00	0.00	0.00	0.00	-1	
2196720697	SMP	1	0.00	0.00	0.00	0.00	-1	
2197386242	MSG	1	# Message: elmo_rap.avi
2197391816	SMP	1	0.00	0.00	0.00	0.00	-1	
2197400153	SMP	1	0.00	0.00	0.00	0.00	-1	
2197408354	SMP	1	0.00	0.00	0.00	0.00	-1	
2197416758	SMP	1	0.00	0.00	0.00	0.00	-1	
2197425137	SMP	1	0.00	0.00	0.00	0.00	-1	
2197433316	SMP	1	0.00	0.00	0.00	0.00	-1	
2197441778	SMP	1	0.00	0.00	0.00	0.00	-1	
2197450153	SMP	1	0.00	0.00	0.00	0.00	-1	
2197458594	SMP	1	0.00	0.00	0.00	0.00	-1	
2197466728	SMP	1	0.00	0.00	0.00	0.00	-1	
2197475138	SMP	1	0.00	0.00	0.00	0.00	-1	
2197483461	SMP	1	0.00	0.00	0.00	0.00	-1	
2197491895	SMP	1	0.00	0.00	0.00	0.00	-1	
2197500122	SMP	1	0.00	0.00	0.00	0.00	-1	
2197508533	SMP	1	0.00	0.00	0.00	0.00	-1	
2197517337	SMP	1	0.00	0.00	0.00	0.00	-1	
2197525288	SMP	1	0.00	0.00	0.00	0.00	-1	
2197533476	SMP	1	0.00	0.00	0.00	0.00	-1	
2197541904	SMP	1	0.00	0.00	0.00	0.00	-1	
2197550220	SMP	1	0.00	0.00	0.00	0.00	-1	
2197558537	SMP	1	0.00	0.00	0.00	0.00	-1	
2197566889	SMP	1	0.00	0.00	0.00	0.00	-1	
2197575222	SMP	1	0.00	0.00	0.00	0.00	-1	
2197583575	SMP	1	0.00	0.00	0.00	0.00	-1	
2197591983	SMP	1	0.00	0.00	0.00	0.00	-1	
2197758344	SMP	1	0.00	0.00	0.00	0.00	-1	
2197808326	SMP	1	0.00	0.00	0.00	0.00	-1	
2197858158	SMP	1	0.00	0.00	0.00	0.00	-1	
2197930981	SMP	1	0.00	0.00	0.00	0.00	-1	
2197939125	SMP	1	0.00	0.00	0.00	0.00	-1	
2197947435	SMP	1	0.00	0.00	0.00	0.00	-1	
2197955911	SMP	1	0.00	0.00	0.00	0.00	-1	
2197964101	SMP	1	0.00	0.00	0.00	0.00	-1	
2197972526	SMP	1	0.00	0.00	0.00	0.00	-1	
2197980861	SMP	1	0.00	0.00	0.00	0.00	-1	
2197989235	SMP	1	0.00	0.00	0.00	0.00	-1	
2197997475	SMP	1	0.00	0.00	0.00	0.00	-1	
2198005908	SMP	1	0.00	0.00	0.00	0.00	-1	
2198014200	SMP	1	0.00	0.00	0.00	0.00	-1	
2198022655	SMP	1	0.00	0.00	0.00	0.00	-1	
2198030873	SMP	1	0.00	0.00	0.00	0.00	-1	
2198039268	SMP	1	0.00	0.00	0.00	0.00	-1	
2198047820	SMP	1	0.00	0.00	0.00	0.00	-1	
2198055877	SMP	1	0.00	0.00	0.00	0.00	-1	
2198064254	SMP	1	0.00	0.00	0.00	0.00	-1	
2198072588	SMP	1	0.00	0.00	0.00	0.00	-1	
2198081000	SMP	1	0.00	0.00	0.00	0.00	-1	
2198089274	SMP	1	0.00	0.00	0.00	0.00	-1	
2198097651	SMP	1	0.00	0.00	0.00	0.00	-1	
2198106000	SMP	1	0.00	0.00	0.00	0.00	-1	
2198114378	SMP	1	0.00	0.00	0.00	0.00	-1	
2198122616	SMP	1	0.00	0.00	0.00	0.00	-1	
2198130969	SMP	1	0.00	0.00	0.00	0.00	-1	
2198139360	SMP	1	0.00	0.00	0.00	0.00	-1	
2198147785	SMP	1	0.00	0.00	0.00	0.00	-1	
2198156152	SMP	1	0.00	0.00	0.00	0.00	-1	
2198164394	SMP	1	0.00	0.00	0.00	0.00	-1	
2198172758	SMP	1	0.00	0.00	0.00	0.00	-1	
2198180969	SMP	1	0.00	0.00	0.00	0.00	-1	
2198189397	SMP	1	0.00	0.00	0.00	0.00	-1	
2198197852	SMP	1	0.00	0.00	0.00	0.00	-1	
2198206133	SMP	1	0.00	0.00	0.00	0.00	-1	
2198214349	SMP	1	0.00	0.00	0.00	0.00	-1	
2198222870	SMP	1	0.00	0.00	0.00	0.00	-1	
2198231116	SMP	1	0.00	0.00	0.00	0.00	-1	
2198239715	SMP	1	0.00	0.00	0.00	0.00	-1	
2198247860	SMP	1	0.00	0.00	0.00	0.00	-1	
2198256154	SMP	1	0.00	0.00	0.00	0.00	-1	
2198264465	SMP	1	0.00	0.00	0.00	0.00	-1	
2198430760	SMP	1	0.00	0.00	0.00	0.00	-1	
2198503478	SMP	1	0.00	0.00	0.00	0.00	-1	
2198511616	SMP	1	0.00	0.00	0.00	0.00	-1	
2198520517	SMP	1	0.00	0.00	0.00	0.00	-1	
2198528363	SMP	1	0.00	0.00	0.00	0.00	-1	
2198536638	SMP	1	0.00	0.00	0.00	0.00	-1	
2198544959	SMP	1	0.00	0.00	0.00	0.00	-1	
2198553365	SMP	1	0.00	0.00	0.00	0.00	-1	
2198561778	SMP	1	0.00	0.00	0.00	0.00	-1	
2198569969	SMP	1	0.00	0.00	0.00	0.00	-1	
2198578329	SMP	1	0.00	0.00	0.00	0.00	-1	
2198586753	SMP	1	0.00	0.00	0.00	0.00	-1	
2198595105	SMP	1	0.00	0.00	0.00	0.00	-1	
2198603397	SMP	1	0.00	0.00	0.00	0.00	-1	
2198611735	SMP	1	0.00	0.00	0.00	0.00	-1	
2198620175	SMP	1	0.00	0.00	0.00	0.00	-1	
2198628492	SMP	1	0.00	0.00	0.00	0.00	-1	
2198636729	SMP	1	0.00	0.00	0.00	0.00	-1	
2198645107	SMP	1	0.00	0.00	0.00	0.00	-1	
2198653484	SMP	1	0.00	0.00	0.00	0.00	-1	
2198661739	SMP	1	0.00	0.00	0.00	0.00	-1	
2198670097	SMP	1	0.00	0.00	0.00	0.00	-1	
2198678512	SMP	1	0.00	0.00	0.00	0.00	-1	
2198686881	SMP	1	0.00	0.00	0.00	0.00	-1	
2198695135	SMP	1	0.00	0.00	0.00	0.00	-1	
2198703429	SMP	1	0.00	0.00	0.00	0.00	-1	
2198711854	SMP	1	0.00	0.00	0.00	0.00	-1	
2198721213	SMP	1	0.00	0.00	0.00	0.00	-1	
2198728508	SMP	1	0.00	0.00	0.00	0.00	-1	
2198736834	SMP	1	0.00	0.00	0.00	0.00	-1	
2198745219	SMP	1	0.00	0.00	0.00	0.00	-1	
2198754501	SMP	1	0.00	0.00	0.00	0.00	-1	
2198761880	SMP	1	0.00	0.00	0.00	0.00	-1	
2198770191	SMP	1	0.00	0.00	0.00	0.00	-1	
2198778649	SMP	1	0.00	0.00	0.00	0.00	-1	
2198786859	SMP	1	0.00	0.00	0.00	0.00	-1	
2198795264	SMP	1	0.00	0.00	0.00	0.00	-1	
2198803651	SMP	1	0.00	0.00	0.00	0.00	-1	
2198811956	SMP	1	0.00	0.00	0.00	0.00	-1	
2198820499	SMP	1	0.00	0.00	0.00	0.00	-1	
2198828636	SMP	1	0.00	0.00	0.00	0.00	-1	
2198837010	SMP	1	0.00	0.00	0.00	0.00	-1	
2199003331	SMP	1	0.00	0.00	0.00	0.00	-1	
2199053701	SMP	1	0.00	0.00	0.00	0.00	-1	
2199103187	SMP	1	0.00	0.00	0.00	0.00	-1	
2199154460	SMP	1	0.00	0.00	0.00	0.00	-1	
2199203224	SMP	1	0.00	0.00	0.00	0.00	-1	
2199253920	SMP	1	0.00	0.00	0.00	0.00	-1	
2199303343	SMP	1	0.00	0.00	0.00	0.00	-1	
2199353310	SMP	1	0.00	0.00	0.00	0.00	-1	
2199403368	SMP	1	0.00	0.00	0.00	0.00	-1	
2199453377	SMP	1	0.00	0.00	0.00	0.00	-1	
2199503287	SMP	1	0.00	0.00	0.00	0.00	-1	
2199553984	SMP	1	0.00	0.00	0.00	0.00	-1	
2199603503	SMP	1	0.00	0.00	0.00	0.00	-1	
2199676422	SMP	1	0.00	0.00	0.00	0.00	-1	
2199684484	SMP	1	0.00	0.00	0.00	0.00	-1	
2199692747	SMP	1	0.00	0.00	0.00	0.00	-1	
2199701061	SMP	1	0.00	0.00	0.00	0.00	-1	
2199709448	SMP	1	0.00	0.00	0.00	0.00	-1	
2199717869	SMP	1	0.00	0.00	0.00	0.00	-1	
2199726124	SMP	1	0.00	0.00	0.00	0.00	-1	
2199734505	SMP	1	0.00	0.00	0.00	0.00	-1	
2199742832	SMP	1	0.00	0.00	0.00	0.00	-1	
2199751201	SMP	1	0.00	0.00	0.00	0.00	-1	
2199759460	SMP	1	0.00	0.00	0.00	0.00	-1	
2199767827	SMP	1	0.00	0.00	0.00	0.00	-1	
2199776228	SMP	1	0.00	0.00	0.00	0.00	-1	
2199784607	SMP	1	0.00	0.00	0.00	0.00	-1	
2199792856	SMP	1	0.00	0.00	0.00	0.00	-1	
2199801224	SMP	1	0.00	0.00	0.00	0.00	-1	
2199809588	SMP	1	0.00	0.00	0.00	0.00	-1	
2199817790	SMP	1	0.00	0.00	0.00	0.00	-1	
2199826242	SMP	1	0.00	0.00	0.00	0.00	-1	
2199834540	SMP	1	0.00	0.00	0.00	0.00	-1	
2199842955	SMP	1	0.00	0.00	0.00	0.00	-1	
2199851166	SMP	1	0.00	0.00	0.00	0.00	-1	
2199859704	SMP	1	0.00	0.00	0.00	0.00	-1	
2199867989	SMP	1	0.00	0.00	0.00	0.00	-1	
2199876374	SMP	1	0.00	0.00	0.00	0.00	-1	
2199884581	SMP	1	0.00	0.00	0.00	0.00	-1	
2199892959	SMP	1	0.00	0.00	0.00	0.00	-1	
2199901332	SMP	1	0.00	0.00	0.00	0.00	-1	
2199909700	SMP	1	0.00	0.00	0.00	0.00	-1	
