## [iView]
## Converted from:	D:\Overflow results\EJY-simpleImp_L1\Pilot-erica1-eye_data.idf
## Date:	24.01.2014 20:37:15
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	32963                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	Pilot-erica1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1045291926	SMP	1	0.00	0.00	0.00	0.00	-1	
1045341794	SMP	1	0.00	0.00	0.00	0.00	-1	
1045391761	SMP	1	0.00	0.00	0.00	0.00	-1	
1045441843	SMP	1	0.00	0.00	0.00	0.00	-1	
1045491852	SMP	1	0.00	0.00	0.00	0.00	-1	
1045541827	SMP	1	0.00	0.00	0.00	0.00	-1	
1045591874	SMP	1	0.00	0.00	0.00	0.00	-1	
1045641823	SMP	1	0.00	0.00	0.00	0.00	-1	
1045691922	SMP	1	0.00	0.00	0.00	0.00	-1	
1045741979	SMP	1	0.00	0.00	0.00	0.00	-1	
1045791952	SMP	1	0.00	0.00	0.00	0.00	-1	
1045841949	SMP	1	0.00	0.00	0.00	0.00	-1	
1045891956	SMP	1	0.00	0.00	0.00	0.00	-1	
1045942063	SMP	1	0.00	0.00	0.00	0.00	-1	
1045992115	SMP	1	0.00	0.00	0.00	0.00	-1	
1046042090	SMP	1	0.00	0.00	0.00	0.00	-1	
1046092087	SMP	1	0.00	0.00	0.00	0.00	-1	
1046142239	SMP	1	0.00	0.00	0.00	0.00	-1	
1046192213	SMP	1	0.00	0.00	0.00	0.00	-1	
