subid,keep_drop,expt,age,age_group,sex,English
140217-01-L2.txt,drop,0,4.7,4,F,5
140217-03-L1.txt,drop,0,5.1,5,F,5
140217-05-L2.txt,drop,0,-0.7,NA,F,5
140217-07-L2.txt,drop,0,NA,NA,M,5
140220-06-L1.txt,drop,0,3.3,3,F,4
140227-05-L1.txt,drop,0,4.4,4,F,6
140227-06-L2.txt,drop,0,4.4,4,F,6
140418-04-L2.txt,drop,0,4.8,4,M,6
140509-09.txt,drop,0,NA,NA,NA,NA
140707-09-L1.txt,drop,0,NA,NA,NA,NA
140709-06-L2.txt,drop,0,5.6,5,F,6
140721-06-L2.txt,drop,0,5.2,NA,NA,NA
140306-04-L2.txt,drop ,0,5,5,M,3
140217-02-L1.txt,keep,0,3.1,3,F,5
140217-04-L2.txt,keep,0,4.4,4,F,5
140217-06-L1.txt,keep,0,2.8,2,F,6
140217-08-L1.txt,keep,0,3.2,3,M,5
140220-01-L2.txt,keep,0,4.6,4,M,4
140220-02-L1.txt,keep,0,2.1,2,M,6
140220-03-L2.txt,keep,0,5.6,5,F,6
140220-04-L2.txt,keep,0,2.6,2,M,6
140220-05-L1.txt,keep,0,3.3,3,F,4
140226-01-L1.txt,keep,0,adult,adult,F,NA
140226-01-L2.txt,keep,0,adult,adult,F,NA
140226-01-L2.txt,keep,0,adult,adult,M,NA
140226-02-L1.txt,keep,0,adult,adult,M,NA
140227-01-L1.txt,keep,0,3.7,3,F,6
140227-02-L1.txt,keep,0,2.4,2,F,6
140227-03-L2.txt,keep,0,2.5,2,F,4
140227-04-L2.txt,keep,0,2.4,2,M,6
140227-07-L2.txt,keep,0,2.2,2,M,5
140228-01-L1.txt,keep,0,adult,adult,M,NA
140228-02-L2.txt,keep,0,adult,adult,F,NA
140228-03-L2.txt,keep,0,adult,adult,F,NA
140228-04-L1.txt,keep,0,adult,adult,F,NA
140306-01-L1.txt,keep,0,2.7,2,F,6
140306-02-L1.txt,keep,0,3,3,F,6
140306-03-L2.txt,keep,0,4.8,4,M,6
140307-01-L2.txt,keep,0,adult,adult,M,NA
140307-02-L1.txt,keep,0,adult,adult,M,NA
140307-03-L1.txt,keep,0,adult,adult,F,NA
140307-04-L2.txt,keep,0,adult,adult,F,NA
140307-09-L1.txt,keep,0,adult,adult,M,NA
140312-02-L1.txt,keep,0,adult,adult,M,NA
140312-04-L2.txt,keep,0,adult,adult,M,NA
140404-01-L1.txt,keep,0,3.8,3,F,6
140404-02-L2.txt,keep,0,3.4,3,F,6
140404-03-L2.txt,keep,0,3.3,3,M,6
140404-04-L2.txt,keep,0,2.5,2,M,4
140404-05-L1.txt,keep,0,4.7,4,F,6
140404-06-L1.txt,keep,0,4.9,4,F,6
140404-07-L2.txt,keep,0,3.5,3,M,3
140404-08-L2.txt,keep,0,2.8,2,M,6
140404-09-L2.txt,keep,0,1.6,1,F,6
140404-10-L1.txt,keep,0,3.9,3,F,5
140404-11-L2.txt,keep,0,4.5,4,F,6
140404-12-L2.txt,keep,0,1.7,1,M,6
140411-03-L1.txt,keep,0,3.8,3,M,6
140411-04-L1.txt,keep,0,2.9,2,M,6
140411-05-L2.txt,keep,0,4.4,4,F,3
140411-06-L2.txt,keep,0,4.4,4,F,5
140411-07-L1.txt,keep,0,3.1,3,F,6
