subid,keep_drop,expt,age_group,English
140217-01-L2.txt,drop,0,4,5
140217-02-L1.txt,keep,0,3,5
140217-03-L1.txt,drop,0,5,5
140217-04-L2.txt,keep,0,4,5
140217-05-L2.txt,drop,0,NA,5
140217-06-L1.txt,keep,0,2,6
140217-07-L2.txt,drop,0,NA,5
140217-08-L1.txt,keep,0,3,5
140220-01-L2.txt,keep,0,4,4
140220-02-L1.txt,keep,0,2,6
140220-03-L2.txt,keep,0,5,6
140220-04-L2.txt,keep,0,2,6
140220-05-L1.txt,keep,0,3,4
140220-06-L1.txt,drop,0,3,4
140226-01-L2.txt,keep,0,adult,NA
140226-02-L1.txt,keep,0,adult,NA
140226-01-L2.txt,keep,0,adult,NA
140226-01-L1.txt,keep,0,adult,NA
140227-01-L1.txt,keep,0,3,6
140227-02-L1.txt,keep,0,2,6
140227-03-L2.txt,keep,0,2,4
140227-04-L2.txt,keep,0,2,6
140227-05-L1.txt,drop,0,4,6
140227-06-L2.txt,drop,0,4,6
140227-07-L2.txt,keep,0,2,5
140228-01-L1.txt,keep,0,adult,NA
140228-02-L2.txt,keep,0,adult,NA
140228-03-L2.txt,keep,0,adult,NA
140228-04-L1.txt,keep,0,adult,NA
140306-01-L1.txt,keep,0,2,6
140306-02-L1.txt,keep,0,3,6
140306-03-L2.txt,keep,0,4,6
140306-04-L2.txt,drop ,0,5,3
140307-01-L2.txt,keep,0,adult,NA
140307-02-L1.txt,keep,0,adult,NA
140307-03-L1.txt,keep,0,adult,NA
140307-04-L2.txt,keep,0,adult,NA
140307-05-NF-L1.txt,keep,1-NF,adult,NA
140307-06-NF-L2.txt,keep,1-NF,adult,NA
140307-07-NF-L2.txt,keep,1-NF,adult,NA
140307-08-NF-L1.txt,keep,1-NF,adult,NA
140307-09-L1.txt,keep,0,adult,NA
140312-01-NF-L2.txt,keep,1-NF,adult,NA
140312-02-L1.txt,keep,0,adult,NA
140312-03-NF-L1.txt,keep,1-NF,adult,NA
140312-04-L2.txt,keep,0,adult,NA
140312-05-NF-L1.txt,keep,1-NF,adult,NA
140312-06-NF-L2.txt,keep,1-NF,adult,NA
140404-01-L1.txt,keep,0,3,6
140404-02-L2.txt,keep,0,3,6
140404-03-L2.txt,keep,0,3,6
140404-04-L2.txt,keep,0,2,4
140404-05-L1.txt,keep,0,4,6
140404-06-L1.txt,keep,0,4,6
140404-07-L2.txt,keep,0,3,3
140404-08-L2.txt,keep,0,2,6
140404-09-L2.txt,keep,0,1,6
140404-10-L1.txt,keep,0,3,5
140404-11-L2.txt,keep,0,4,6
140404-12-L2.txt,keep,0,1,6
140411-01-L2.txt,drop,NA,NA,NA
140411-02-L2.txt,drop,NA,NA,NA
140411-03-L1.txt,keep,0,3,6
140411-04-L1.txt,keep,0,2,6
140411-05-L2.txt,keep,0,4,3
140411-06-L2.txt,keep,0,4,5
140411-07-L1.txt,keep,0,3,6
140411-08-L2.txt,keep,0,4,6
140411-09-L1.txt,keep,0,4,6
140411-10-L2.txt,keep,0,3,5
140411-11-L1.txt,keep,0,4,5
140411-12-L1.txt,keep,0,3,6
140411-13-L2.txt,keep,0,5,6
140411-14-L1.txt,keep,0,5,6
140411-15-L2.txt,keep,0,2,6
140417-01-HIDE-L1.txt,keep,0,adult,NA
