## [iView]
## Converted from:	F:\simpleImp\data\140217\140217-04-L2-eye_data.idf
## Date:	17.02.2014 21:21:55
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	37743                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140217-04-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
4109922281	SMP	1	0.00	0.00	0.00	0.00	-1	
4109972357	SMP	1	0.00	0.00	0.00	0.00	-1	
4110022304	SMP	1	0.00	0.00	0.00	0.00	-1	
4110072450	SMP	1	0.00	0.00	0.00	0.00	-1	
4110122402	SMP	1	0.00	0.00	0.00	0.00	-1	
4110172440	SMP	1	0.00	0.00	0.00	0.00	-1	
4110222419	SMP	1	0.00	0.00	0.00	0.00	-1	
4110272437	SMP	1	0.00	0.00	0.00	0.00	-1	
4110322585	SMP	1	0.00	0.00	0.00	0.00	-1	
4110372537	SMP	1	0.00	0.00	0.00	0.00	-1	
4110422559	SMP	1	0.00	0.00	0.00	0.00	-1	
4110472522	SMP	1	0.00	0.00	0.00	0.00	-1	
4110522576	SMP	1	0.00	0.00	0.00	0.00	-1	
4110572594	SMP	1	0.00	0.00	0.00	0.00	-1	
4110622712	SMP	1	0.00	0.00	0.00	0.00	-1	
4110672692	SMP	1	0.00	0.00	0.00	0.00	-1	
4110722690	SMP	1	0.00	0.00	0.00	0.00	-1	
4110772844	SMP	1	0.00	0.00	0.00	0.00	-1	
4110822665	SMP	1	0.00	0.00	0.00	0.00	-1	
4110872776	SMP	1	0.00	0.00	0.00	0.00	-1	
4110922792	SMP	1	0.00	0.00	0.00	0.00	-1	
4111339441	MSG	1	# Message: elmo_tapping1.avi
4111372997	SMP	1	0.00	0.00	0.00	0.00	-1	
4111423178	SMP	1	0.00	0.00	0.00	0.00	-1	
4111473187	SMP	1	0.00	0.00	0.00	0.00	-1	
4111523060	SMP	1	0.00	0.00	0.00	0.00	-1	
4111572994	SMP	1	0.00	0.00	0.00	0.00	-1	
