## [iView]
## Converted from:	D:\Overflow results\simpadultL1\140226-03-L1-eye_data.idf
## Date:	27.02.2014 00:35:12
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	48933                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140226-03-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5014430232	SMP	1	0.00	0.00	0.00	0.00	-1	
5014480225	SMP	1	0.00	0.00	0.00	0.00	-1	
5014530295	SMP	1	0.00	0.00	0.00	0.00	-1	
5014580240	SMP	1	0.00	0.00	0.00	0.00	-1	
5014630356	SMP	1	0.00	0.00	0.00	0.00	-1	
5014680373	SMP	1	0.00	0.00	0.00	0.00	-1	
5014730284	SMP	1	0.00	0.00	0.00	0.00	-1	
5014780288	SMP	1	0.00	0.00	0.00	0.00	-1	
5014830357	SMP	1	0.00	0.00	0.00	0.00	-1	
5014880481	SMP	1	0.00	0.00	0.00	0.00	-1	
5014930624	SMP	1	0.00	0.00	0.00	0.00	-1	
5014980458	SMP	1	0.00	0.00	0.00	0.00	-1	
5015030481	SMP	1	0.00	0.00	0.00	0.00	-1	
5015080483	SMP	1	0.00	0.00	0.00	0.00	-1	
5015130594	SMP	1	0.00	0.00	0.00	0.00	-1	
5015180558	SMP	1	0.00	0.00	0.00	0.00	-1	
5015230624	SMP	1	0.00	0.00	0.00	0.00	-1	
5015280619	SMP	1	0.00	0.00	0.00	0.00	-1	
5015330693	SMP	1	0.00	0.00	0.00	0.00	-1	
5015380721	SMP	1	0.00	0.00	0.00	0.00	-1	
5015430714	SMP	1	0.00	0.00	0.00	0.00	-1	
5015480716	SMP	1	0.00	0.00	0.00	0.00	-1	
5016128023	MSG	1	# Message: elmo_duck.avi
5016131151	SMP	1	0.00	0.00	0.00	0.00	-1	
5016181065	SMP	1	0.00	0.00	0.00	0.00	-1	
5016231066	SMP	1	0.00	0.00	0.00	0.00	-1	
5016281057	SMP	1	0.00	0.00	0.00	0.00	-1	
5016331367	SMP	1	0.00	0.00	0.00	0.00	-1	
5016381215	SMP	1	0.00	0.00	0.00	0.00	-1	
5016431164	SMP	1	0.00	0.00	0.00	0.00	-1	
5016481483	SMP	1	0.00	0.00	0.00	0.00	-1	
5016531367	SMP	1	0.00	0.00	0.00	0.00	-1	
5016581328	SMP	1	0.00	0.00	0.00	0.00	-1	
5016631570	SMP	1	0.00	0.00	0.00	0.00	-1	
