## [iView]
## Converted from:	F:\simpleImp\data\raw\140404\140404-10-L1-eye_data.idf
## Date:	04.04.2014 22:34:21
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39274                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140404-10-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
13543325877	SMP	1	0.00	0.00	0.00	0.00	-1	
13543334105	SMP	1	0.00	0.00	0.00	0.00	-1	
13543342487	SMP	1	0.00	0.00	0.00	0.00	-1	
13543350862	SMP	1	0.00	0.00	0.00	0.00	-1	
13543359249	SMP	1	0.00	0.00	0.00	0.00	-1	
13543367477	SMP	1	0.00	0.00	0.00	0.00	-1	
13543375838	SMP	1	0.00	0.00	0.00	0.00	-1	
13543384202	SMP	1	0.00	0.00	0.00	0.00	-1	
13543392582	SMP	1	0.00	0.00	0.00	0.00	-1	
13543400835	SMP	1	0.00	0.00	0.00	0.00	-1	
13543409213	SMP	1	0.00	0.00	0.00	0.00	-1	
13543417570	SMP	1	0.00	0.00	0.00	0.00	-1	
13543425838	SMP	1	0.00	0.00	0.00	0.00	-1	
13543434189	SMP	1	0.00	0.00	0.00	0.00	-1	
13543442592	SMP	1	0.00	0.00	0.00	0.00	-1	
13543451000	SMP	1	0.00	0.00	0.00	0.00	-1	
13543459192	SMP	1	0.00	0.00	0.00	0.00	-1	
13543467613	SMP	1	0.00	0.00	0.00	0.00	-1	
13543475996	SMP	1	0.00	0.00	0.00	0.00	-1	
13543484387	SMP	1	0.00	0.00	0.00	0.00	-1	
13543492639	SMP	1	0.00	0.00	0.00	0.00	-1	
13543501013	SMP	1	0.00	0.00	0.00	0.00	-1	
13543509338	SMP	1	0.00	0.00	0.00	0.00	-1	
13543517738	SMP	1	0.00	0.00	0.00	0.00	-1	
13543525997	SMP	1	0.00	0.00	0.00	0.00	-1	
13543534360	SMP	1	0.00	0.00	0.00	0.00	-1	
13543542736	SMP	1	0.00	0.00	0.00	0.00	-1	
13543550992	SMP	1	0.00	0.00	0.00	0.00	-1	
13543559358	SMP	1	0.00	0.00	0.00	0.00	-1	
13543567680	SMP	1	0.00	0.00	0.00	0.00	-1	
