## [iView]
## Converted from:	F:\simpleImp\data\raw\140404\140404-12-L2-eye_data.idf
## Date:	04.04.2014 23:16:57
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8128                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	140404-12-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
16099454942	SMP	1	1037.12	714.65	1037.12	714.65	-1	
16099463352	SMP	1	1034.05	715.82	1034.05	715.82	-1	
16099471727	SMP	1	1036.83	712.07	1036.83	712.07	-1	
16099480122	SMP	1	1038.26	713.74	1038.26	713.74	-1	
16099488328	SMP	1	1039.30	713.08	1039.30	713.08	-1	
16099496694	SMP	1	1031.16	716.43	1031.16	716.43	-1	
16099505055	SMP	1	1034.57	716.35	1034.57	716.35	-1	
16099513302	SMP	1	1035.27	717.14	1035.27	717.14	-1	
16099521681	SMP	1	1031.07	717.55	1031.07	717.55	-1	
16099530049	SMP	1	1033.24	721.42	1033.24	721.42	-1	
16099555061	SMP	1	1032.58	721.22	1032.58	721.22	-1	
16099563438	SMP	1	1035.94	724.52	1035.94	724.52	-1	
16099571795	SMP	1	1033.96	720.65	1033.96	720.65	-1	
16099580043	SMP	1	1037.64	722.26	1037.64	722.26	-1	
16099588441	SMP	1	1034.43	724.31	1034.43	724.31	-1	
16099596851	SMP	1	1034.17	726.24	1034.17	726.24	-1	
16099605212	SMP	1	1034.83	732.38	1034.83	732.38	-1	
16099613479	SMP	1	1035.06	735.82	1035.06	735.82	-1	
16099621842	SMP	1	1032.89	740.65	1032.89	740.65	-1	
16099630208	SMP	1	1032.78	741.13	1032.78	741.13	-1	
16099638459	SMP	1	1031.42	742.54	1031.42	742.54	-1	
16099646833	SMP	1	1031.92	742.28	1031.92	742.28	-1	
