## [iView]
## Converted from:	F:\simpleImp\data\140411-07-L1-eye_data.idf
## Date:	11.04.2014 18:57:26
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1393                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	140411-07-L1-eye_data                                                                                                                                                                                                                                           
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5800057775	SMP	1	506.06	-81.90	506.06	-81.90	-1	
5800066184	SMP	1	512.82	-74.65	512.82	-74.65	-1	
5800074573	SMP	1	507.31	-86.73	507.31	-86.73	-1	
5800082910	SMP	1	502.87	-82.96	502.87	-82.96	-1	
5800091133	SMP	1	505.86	14.75	505.86	14.75	-1	
5800099509	SMP	1	495.49	-0.68	495.49	-0.68	-1	
5800107871	SMP	1	497.01	19.52	497.01	19.52	-1	
5800116256	SMP	1	473.45	145.55	473.45	145.55	-1	
5800124504	SMP	1	362.74	46.55	362.74	46.55	-1	
5800132876	SMP	1	328.16	126.22	328.16	126.22	-1	
5800141253	SMP	1	331.72	154.12	331.72	154.12	-1	
5800149623	SMP	1	323.59	135.39	323.59	135.39	-1	
5800157875	SMP	1	322.08	138.73	322.08	138.73	-1	
5800166254	SMP	1	334.67	147.26	334.67	147.26	-1	
5800174667	SMP	1	324.23	140.52	324.23	140.52	-1	
5800182932	SMP	1	323.12	153.32	323.12	153.32	-1	
5800191315	SMP	1	323.98	135.32	323.98	135.32	-1	
5800199677	SMP	1	327.16	145.39	327.16	145.39	-1	
5800208056	SMP	1	322.63	130.40	322.63	130.40	-1	
5800216310	SMP	1	320.80	115.70	320.80	115.70	-1	
5800241420	SMP	1	324.00	131.59	324.00	131.59	-1	
5800249647	SMP	1	327.77	127.04	327.77	127.04	-1	
5800258031	SMP	1	332.01	122.89	332.01	122.89	-1	
5800266413	SMP	1	329.34	120.44	329.34	120.44	-1	
5800274778	SMP	1	329.45	249.86	329.45	249.86	-1	
5800283073	SMP	1	328.60	141.42	328.60	141.42	-1	
5800291406	SMP	1	332.46	182.63	332.46	182.63	-1	
5800299785	SMP	1	330.70	179.60	330.70	179.60	-1	
5800308005	SMP	1	336.41	111.39	336.41	111.39	-1	
5800316390	SMP	1	333.88	101.33	333.88	101.33	-1	
5800324747	SMP	1	336.15	118.59	336.15	118.59	-1	
5800333120	SMP	1	337.74	122.67	337.74	122.67	-1	
5800341364	SMP	1	340.96	156.99	340.96	156.99	-1	
5800349742	SMP	1	337.28	169.57	337.28	169.57	-1	
5800358109	SMP	1	579.39	167.70	579.39	167.70	-1	
5800366487	SMP	1	348.37	178.20	348.37	178.20	-1	
5800374736	SMP	1	337.04	131.37	337.04	131.37	-1	
5800383113	SMP	1	341.61	132.90	341.61	132.90	-1	
5800391481	SMP	1	348.61	197.27	348.61	197.27	-1	
5800399867	SMP	1	332.40	125.16	332.40	125.16	-1	
5800408107	SMP	1	337.97	142.73	337.97	142.73	-1	
5800416520	SMP	1	329.27	137.67	329.27	137.67	-1	
5800424877	SMP	1	338.12	206.42	338.12	206.42	-1	
5800433121	SMP	1	358.03	220.16	358.03	220.16	-1	
5800441481	SMP	1	334.48	139.69	334.48	139.69	-1	
5800449860	SMP	1	326.36	133.83	326.36	133.83	-1	
5800458228	SMP	1	323.83	128.10	323.83	128.10	-1	
5800466483	SMP	1	333.03	153.11	333.03	153.11	-1	
5800474857	SMP	1	328.33	126.14	328.33	126.14	-1	
5800483266	SMP	1	333.25	130.54	333.25	130.54	-1	
5800491624	SMP	1	325.00	15.17	325.00	15.17	-1	
5800499868	SMP	1	335.88	188.33	335.88	188.33	-1	
5800508228	SMP	1	334.78	183.81	334.78	183.81	-1	
5800516608	SMP	1	336.14	147.45	336.14	147.45	-1	
5800525070	SMP	1	328.82	132.68	328.82	132.68	-1	
5800533341	SMP	1	322.84	141.12	322.84	141.12	-1	
5800541656	SMP	1	328.03	135.44	328.03	135.44	-1	
5800550099	SMP	1	314.61	177.96	314.61	177.96	-1	
5800558286	SMP	1	211.35	146.61	211.35	146.61	-1	
5800566658	SMP	1	156.37	274.65	156.37	274.65	-1	
5800575036	SMP	1	147.62	218.21	147.62	218.21	-1	
5800583420	SMP	1	42.00	350.31	42.00	350.31	-1	
5800591660	SMP	1	44.94	466.90	44.94	466.90	-1	
5800600037	SMP	1	140.61	316.34	140.61	316.34	-1	
5800608372	SMP	1	93.00	513.79	93.00	513.79	-1	
5800616784	SMP	1	87.19	358.09	87.19	358.09	-1	
5800625039	SMP	1	-70.69	350.54	-70.69	350.54	-1	
5800633412	SMP	1	-1.89	352.42	-1.89	352.42	-1	
5800641729	SMP	1	31.22	349.76	31.22	349.76	-1	
5800650153	SMP	1	69.08	275.67	69.08	275.67	-1	
5800658406	SMP	1	76.37	353.15	76.37	353.15	-1	
5800666780	SMP	1	93.91	352.73	93.91	352.73	-1	
5800675167	SMP	1	92.22	447.99	92.22	447.99	-1	
5800683487	SMP	1	95.67	402.12	95.67	402.12	-1	
5800691789	SMP	1	104.21	320.33	104.21	320.33	-1	
5800700160	SMP	1	60.55	471.96	60.55	471.96	-1	
5800708522	SMP	1	48.11	465.33	48.11	465.33	-1	
5800716776	SMP	1	601.15	275.25	601.15	275.25	-1	
5800725147	SMP	1	-3.83	290.77	-3.83	290.77	-1	
5800733524	SMP	1	-20.99	315.82	-20.99	315.82	-1	
5800741902	SMP	1	-17.73	353.78	-17.73	353.78	-1	
5800750157	SMP	1	53.28	436.86	53.28	436.86	-1	
5800758524	SMP	1	80.81	416.97	80.81	416.97	-1	
5800766901	SMP	1	-22.31	317.10	-22.31	317.10	-1	
5800775280	SMP	1	-10.60	326.38	-10.60	326.38	-1	
5800783527	SMP	1	330.82	427.01	330.82	427.01	-1	
5800791899	SMP	1	61.52	285.77	61.52	285.77	-1	
5800800277	SMP	1	56.52	410.78	56.52	410.78	-1	
5800808655	SMP	1	31.82	544.52	31.82	544.52	-1	
5800816899	SMP	1	69.71	391.11	69.71	391.11	-1	
5800825254	SMP	1	25.53	411.99	25.53	411.99	-1	
5800833605	SMP	1	-44.71	388.71	-44.71	388.71	-1	
5800842024	SMP	1	56.07	409.89	56.07	409.89	-1	
5800850316	SMP	1	59.31	321.72	59.31	321.72	-1	
5800858641	SMP	1	304.64	417.82	304.64	417.82	-1	
5800867078	SMP	1	368.08	382.64	368.08	382.64	-1	
5800875299	SMP	1	525.64	351.56	525.64	351.56	-1	
5800883662	SMP	1	640.33	335.97	640.33	335.97	-1	
5800892055	SMP	1	747.56	347.12	747.56	347.12	-1	
5800900439	SMP	1	856.02	343.15	856.02	343.15	-1	
5800908677	SMP	1	935.31	356.46	935.31	356.46	-1	
5800917147	SMP	1	1031.24	359.52	1031.24	359.52	-1	
5800925396	SMP	1	1099.61	347.17	1099.61	347.17	-1	
5800933738	SMP	1	1099.81	345.81	1099.81	345.81	-1	
5800941969	SMP	1	1101.48	344.89	1101.48	344.89	-1	
5800950410	SMP	1	1106.00	340.58	1106.00	340.58	-1	
5800958775	SMP	1	1104.21	343.67	1104.21	343.67	-1	
5800967035	SMP	1	1107.32	351.87	1107.32	351.87	-1	
5800975407	SMP	1	1104.44	349.92	1104.44	349.92	-1	
5800983759	SMP	1	1104.75	354.27	1104.75	354.27	-1	
5800992152	SMP	1	1104.17	348.04	1104.17	348.04	-1	
5801000410	SMP	1	1100.28	350.87	1100.28	350.87	-1	
5801008784	SMP	1	1102.81	359.71	1102.81	359.71	-1	
5801017117	SMP	1	1103.46	373.36	1103.46	373.36	-1	
5801025537	SMP	1	1105.39	371.35	1105.39	371.35	-1	
5801033729	SMP	1	1105.28	353.09	1105.28	353.09	-1	
5801042152	SMP	1	1105.60	345.86	1105.60	345.86	-1	
5801050535	SMP	1	1107.60	332.44	1107.60	332.44	-1	
5801058866	SMP	1	1106.11	346.64	1106.11	346.64	-1	
5801067094	SMP	1	1103.09	337.46	1103.09	337.46	-1	
5801075522	SMP	1	1103.62	339.26	1103.62	339.26	-1	
5801083904	SMP	1	1100.27	356.22	1100.27	356.22	-1	
5801092285	SMP	1	1104.04	386.37	1104.04	386.37	-1	
5801100500	SMP	1	1104.29	359.88	1104.29	359.88	-1	
5801108898	SMP	1	1104.45	366.43	1104.45	366.43	-1	
5801117278	SMP	1	1100.10	347.22	1100.10	347.22	-1	
5801125525	SMP	1	1099.18	344.90	1099.18	344.90	-1	
5801133923	SMP	1	1096.61	360.06	1096.61	360.06	-1	
5801142254	SMP	1	1096.51	351.39	1096.51	351.39	-1	
5801150649	SMP	1	1096.89	345.17	1096.89	345.17	-1	
5801158894	SMP	1	1096.83	370.83	1096.83	370.83	-1	
5801167273	SMP	1	1096.99	359.34	1096.99	359.34	-1	
5801175647	SMP	1	1093.51	382.48	1093.51	382.48	-1	
5801184052	SMP	1	1070.64	484.34	1070.64	484.34	-1	
5801192299	SMP	1	1053.44	477.43	1053.44	477.43	-1	
5801200686	SMP	1	1037.22	485.53	1037.22	485.53	-1	
5801209034	SMP	1	1042.78	477.98	1042.78	477.98	-1	
5801604871	MSG	1	# Message: elmo_duck.avi
5801609400	SMP	1	1018.99	522.51	1018.99	522.51	-1	
5801617754	SMP	1	1018.78	513.62	1018.78	513.62	-1	
5801626158	SMP	1	1018.60	509.40	1018.60	509.40	-1	
5801634452	SMP	1	1018.12	516.90	1018.12	516.90	-1	
5801642805	SMP	1	1018.34	522.91	1018.34	522.91	-1	
5801651178	SMP	1	1018.42	510.67	1018.42	510.67	-1	
5801659610	SMP	1	1019.32	522.62	1019.32	522.62	-1	
5801667790	SMP	1	1016.81	519.15	1016.81	519.15	-1	
5801676208	SMP	1	1016.50	522.49	1016.50	522.49	-1	
5801684540	SMP	1	1017.32	518.63	1017.32	518.63	-1	
5801692920	SMP	1	1016.10	517.09	1016.10	517.09	-1	
5801701230	SMP	1	1017.90	491.99	1017.90	491.99	-1	
5801709527	SMP	1	1016.90	506.30	1016.90	506.30	-1	
5801717946	SMP	1	1016.87	510.97	1016.87	510.97	-1	
5801726190	SMP	1	1017.66	508.18	1017.66	508.18	-1	
5801734520	SMP	1	1016.44	495.36	1016.44	495.36	-1	
5801742929	SMP	1	1015.00	503.60	1015.00	503.60	-1	
5801751292	SMP	1	1014.51	505.26	1014.51	505.26	-1	
5801759507	SMP	1	1016.95	499.02	1016.95	499.02	-1	
5801768014	SMP	1	1017.27	491.41	1017.27	491.41	-1	
5801776303	SMP	1	1016.23	488.47	1016.23	488.47	-1	
5801784548	SMP	1	1016.75	493.31	1016.75	493.31	-1	
5801792901	SMP	1	1016.45	497.87	1016.45	497.87	-1	
5801801287	SMP	1	1015.46	496.73	1015.46	496.73	-1	
5801809689	SMP	1	1013.80	501.50	1013.80	501.50	-1	
5801817949	SMP	1	1014.14	503.33	1014.14	503.33	-1	
5801826238	SMP	1	1014.89	504.84	1014.89	504.84	-1	
5801834630	SMP	1	1015.98	506.50	1015.98	506.50	-1	
5801843112	SMP	1	1016.26	493.78	1016.26	493.78	-1	
5801851286	SMP	1	1016.05	503.24	1016.05	503.24	-1	
5801859685	SMP	1	1015.73	504.64	1015.73	504.64	-1	
5801868049	SMP	1	1015.64	501.27	1015.64	501.27	-1	
5801876452	SMP	1	1015.11	505.63	1015.11	505.63	-1	
5801884598	SMP	1	1013.83	496.86	1013.83	496.86	-1	
5801893053	SMP	1	1015.41	505.65	1015.41	505.65	-1	
5801901370	SMP	1	1018.82	490.20	1018.82	490.20	-1	
5801909799	SMP	1	1020.34	501.33	1020.34	501.33	-1	
5801918026	SMP	1	1020.59	537.08	1020.59	537.08	-1	
5801926404	SMP	1	1136.79	703.90	1136.79	703.90	-1	
5801934800	SMP	1	1141.13	969.05	1141.13	969.05	-1	
5801943035	SMP	1	0.00	0.00	0.00	0.00	-1	
5801951403	SMP	1	0.00	0.00	0.00	0.00	-1	
5801959755	SMP	1	0.00	0.00	0.00	0.00	-1	
5801968104	SMP	1	0.00	0.00	0.00	0.00	-1	
5801976410	SMP	1	0.00	0.00	0.00	0.00	-1	
5801984794	SMP	1	0.00	0.00	0.00	0.00	-1	
5801993154	SMP	1	0.00	0.00	0.00	0.00	-1	
5802001555	SMP	1	0.00	0.00	0.00	0.00	-1	
5802009784	SMP	1	0.00	0.00	0.00	0.00	-1	
