## [iView]
## Converted from:	F:\simpleImp\data\140425-07-L2-eye_data.idf
## Date:	25.04.2014 19:27:48
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	40506                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140425-07-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
6843434014	SMP	1	0.00	0.00	0.00	0.00	-1	
6843484010	SMP	1	0.00	0.00	0.00	0.00	-1	
6843534103	SMP	1	0.00	0.00	0.00	0.00	-1	
6843584063	SMP	1	0.00	0.00	0.00	0.00	-1	
6843656861	SMP	1	605.36	448.48	605.36	448.48	-1	
6843665056	SMP	1	730.75	416.87	730.75	416.87	-1	
6843673392	SMP	1	528.92	140.94	528.92	140.94	-1	
6843681814	SMP	1	588.25	329.96	588.25	329.96	-1	
6843690055	SMP	1	593.55	343.08	593.55	343.08	-1	
6843698429	SMP	1	578.83	348.47	578.83	348.47	-1	
6843706782	SMP	1	752.24	278.88	752.24	278.88	-1	
6843715154	SMP	1	753.85	285.24	753.85	285.24	-1	
6843723389	SMP	1	722.20	286.32	722.20	286.32	-1	
6843731760	SMP	1	758.74	215.43	758.74	215.43	-1	
6843740142	SMP	1	611.01	291.89	611.01	291.89	-1	
6843748520	SMP	1	647.97	288.74	647.97	288.74	-1	
6843756752	SMP	1	603.94	283.96	603.94	283.96	-1	
6843765134	SMP	1	587.57	276.05	587.57	276.05	-1	
6843773501	SMP	1	651.55	330.33	651.55	330.33	-1	
6843781774	SMP	1	661.26	313.08	661.26	313.08	-1	
6843790136	SMP	1	630.36	274.60	630.36	274.60	-1	
6843798508	SMP	1	659.36	250.99	659.36	250.99	-1	
6843806882	SMP	1	638.47	284.43	638.47	284.43	-1	
6843815133	SMP	1	609.00	290.31	609.00	290.31	-1	
6843823507	SMP	1	663.26	315.37	663.26	315.37	-1	
6843831890	SMP	1	659.49	319.71	659.49	319.71	-1	
6843840253	SMP	1	667.20	329.42	667.20	329.42	-1	
6843848521	SMP	1	664.36	318.68	664.36	318.68	-1	
6843856875	SMP	1	709.96	338.74	709.96	338.74	-1	
6843865258	SMP	1	0.00	0.00	0.00	0.00	-1	
6843873640	SMP	1	661.03	334.48	661.03	334.48	-1	
6843881900	SMP	1	366.35	552.02	366.35	552.02	-1	
6843890251	SMP	1	53.31	668.81	53.31	668.81	-1	
6843898623	SMP	1	3.81	0.00	3.81	0.00	-1	
6843907001	SMP	1	2.58	0.00	2.58	0.00	-1	
6843915326	SMP	1	1.94	0.00	1.94	0.00	-1	
6843923735	SMP	1	91.43	987.86	91.43	987.86	-1	
6843932061	SMP	1	14.04	929.93	14.04	929.93	-1	
6843940330	SMP	1	39.93	954.21	39.93	954.21	-1	
6843948691	SMP	1	45.97	956.43	45.97	956.43	-1	
6843957023	SMP	1	9.34	0.00	9.34	0.00	-1	
6843965440	SMP	1	206.58	898.86	206.58	898.86	-1	
