## [iView]
## Converted from:	H:\simpleImp\data\140502-04-L1-eye_data.idf
## Date:	02.05.2014 18:54:42
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42992                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140502-04-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5268302868	SMP	1	0.00	0.00	0.00	0.00	-1	
5268469321	SMP	1	0.00	0.00	0.00	0.00	-1	
5268519171	SMP	1	0.00	0.00	0.00	0.00	-1	
5268569140	SMP	1	0.00	0.00	0.00	0.00	-1	
5268619131	SMP	1	0.00	0.00	0.00	0.00	-1	
5268669159	SMP	1	0.00	0.00	0.00	0.00	-1	
5268719271	SMP	1	0.00	0.00	0.00	0.00	-1	
5268769180	SMP	1	0.00	0.00	0.00	0.00	-1	
5268819238	SMP	1	0.00	0.00	0.00	0.00	-1	
5268869287	SMP	1	0.00	0.00	0.00	0.00	-1	
5268919388	SMP	1	0.00	0.00	0.00	0.00	-1	
5268969480	SMP	1	0.00	0.00	0.00	0.00	-1	
5269019391	SMP	1	0.00	0.00	0.00	0.00	-1	
5269069400	SMP	1	0.00	0.00	0.00	0.00	-1	
5269119400	SMP	1	0.00	0.00	0.00	0.00	-1	
5269169371	SMP	1	0.00	0.00	0.00	0.00	-1	
5269219507	SMP	1	0.00	0.00	0.00	0.00	-1	
5269269528	SMP	1	0.00	0.00	0.00	0.00	-1	
5269319622	SMP	1	0.00	0.00	0.00	0.00	-1	
5269369464	SMP	1	0.00	0.00	0.00	0.00	-1	
5269419528	SMP	1	0.00	0.00	0.00	0.00	-1	
5269469598	SMP	1	0.00	0.00	0.00	0.00	-1	
5269905857	MSG	1	# Message: elmo_duck.avi
5269919882	SMP	1	0.00	0.00	0.00	0.00	-1	
5269970015	SMP	1	0.00	0.00	0.00	0.00	-1	
5270019872	SMP	1	0.00	0.00	0.00	0.00	-1	
5270069975	SMP	1	0.00	0.00	0.00	0.00	-1	
5270119819	SMP	1	0.00	0.00	0.00	0.00	-1	
5270169953	SMP	1	0.00	0.00	0.00	0.00	-1	
5270219957	SMP	1	0.00	0.00	0.00	0.00	-1	
5270270013	SMP	1	0.00	0.00	0.00	0.00	-1	
5270319972	SMP	1	0.00	0.00	0.00	0.00	-1	
5270371995	SMP	1	0.00	0.00	0.00	0.00	-1	
5270420104	SMP	1	0.00	0.00	0.00	0.00	-1	
5270470208	SMP	1	0.00	0.00	0.00	0.00	-1	
5270520098	SMP	1	0.00	0.00	0.00	0.00	-1	
5270570204	SMP	1	0.00	0.00	0.00	0.00	-1	
5270620160	SMP	1	0.00	0.00	0.00	0.00	-1	
5270670357	SMP	1	0.00	0.00	0.00	0.00	-1	
5270720189	SMP	1	0.00	0.00	0.00	0.00	-1	
5270770314	SMP	1	0.00	0.00	0.00	0.00	-1	
5270820242	SMP	1	0.00	0.00	0.00	0.00	-1	
5270870348	SMP	1	0.00	0.00	0.00	0.00	-1	
5270920206	SMP	1	0.00	0.00	0.00	0.00	-1	
5270970368	SMP	1	0.00	0.00	0.00	0.00	-1	
5271020357	SMP	1	0.00	0.00	0.00	0.00	-1	
5271070520	SMP	1	0.00	0.00	0.00	0.00	-1	
5271120310	SMP	1	0.00	0.00	0.00	0.00	-1	
5271170660	SMP	1	0.00	0.00	0.00	0.00	-1	
5271220489	SMP	1	0.00	0.00	0.00	0.00	-1	
5271270765	SMP	1	0.00	0.00	0.00	0.00	-1	
5271320434	SMP	1	0.00	0.00	0.00	0.00	-1	
5271370686	SMP	1	0.00	0.00	0.00	0.00	-1	
5271420499	SMP	1	0.00	0.00	0.00	0.00	-1	
5271470794	SMP	1	0.00	0.00	0.00	0.00	-1	
5271520689	SMP	1	0.00	0.00	0.00	0.00	-1	
5271570734	SMP	1	0.00	0.00	0.00	0.00	-1	
5271620625	SMP	1	0.00	0.00	0.00	0.00	-1	
5271670854	SMP	1	0.00	0.00	0.00	0.00	-1	
5271720697	SMP	1	0.00	0.00	0.00	0.00	-1	
5271770793	SMP	1	0.00	0.00	0.00	0.00	-1	
5271820750	SMP	1	0.00	0.00	0.00	0.00	-1	
5271870795	SMP	1	0.00	0.00	0.00	0.00	-1	
5271920788	SMP	1	0.00	0.00	0.00	0.00	-1	
5271970947	SMP	1	0.00	0.00	0.00	0.00	-1	
5272020783	SMP	1	0.00	0.00	0.00	0.00	-1	
5272070784	SMP	1	0.00	0.00	0.00	0.00	-1	
5272120786	SMP	1	0.00	0.00	0.00	0.00	-1	
5272171086	SMP	1	0.00	0.00	0.00	0.00	-1	
