## [iView]
## Converted from:	D:\Recorded Data\simpkidL1\140628-01-L1-eye_data.idf
## Date:	28.06.2014 18:37:54
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	38837                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140628-01-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
1172531026	SMP	1	698.53	-28.59	698.53	-28.59	
1172539373	SMP	1	691.54	-37.42	691.54	-37.42	
1172547762	SMP	1	0.00	-3.95	0.00	-3.95	
1172556134	SMP	1	707.90	-105.29	707.90	-105.29	
1172564341	SMP	1	0.00	-4.64	0.00	-4.64	
1172572711	SMP	1	0.00	-3.59	0.00	-3.59	
1172581070	SMP	1	717.73	-102.70	717.73	-102.70	
1172589353	SMP	1	706.07	-75.58	706.07	-75.58	
1172597715	SMP	1	0.00	-5.07	0.00	-5.07	
1172606089	SMP	1	0.00	-4.80	0.00	-4.80	
1172614455	SMP	1	705.79	-100.68	705.79	-100.68	
1172622709	SMP	1	718.26	-106.20	718.26	-106.20	
1172631079	SMP	1	714.27	-107.80	714.27	-107.80	
1172639452	SMP	1	715.60	-102.52	715.60	-102.52	
1172647860	SMP	1	0.00	-0.92	0.00	-0.92	
1172656073	SMP	1	0.00	-0.87	0.00	-0.87	
1172664458	SMP	1	0.00	-0.82	0.00	-0.82	
1172672843	SMP	1	0.00	-0.64	0.00	-0.64	
1172681258	SMP	1	0.00	-0.15	0.00	-0.15	
1172689492	SMP	1	0.00	-0.15	0.00	-0.15	
1172697907	SMP	1	0.00	-0.14	0.00	-0.14	
1172706250	SMP	1	0.00	-0.10	0.00	-0.10	
1172714625	SMP	1	0.00	-0.08	0.00	-0.08	
1172722831	SMP	1	0.00	-0.06	0.00	-0.06	
1172731267	SMP	1	0.00	0.00	0.00	0.00	
1172739606	SMP	1	0.00	0.00	0.00	0.00	
1172747871	SMP	1	0.00	0.00	0.00	0.00	
1172756244	SMP	1	0.00	0.00	0.00	0.00	
1172764617	SMP	1	0.00	0.00	0.00	0.00	
1172772947	SMP	1	0.00	0.00	0.00	0.00	
1172781197	SMP	1	0.00	0.00	0.00	0.00	
1172789596	SMP	1	0.00	0.00	0.00	0.00	
1172797987	SMP	1	0.00	0.00	0.00	0.00	
1172806342	SMP	1	0.00	0.00	0.00	0.00	
1172814579	SMP	1	0.00	0.00	0.00	0.00	
1172822942	SMP	1	0.00	0.00	0.00	0.00	
1172831315	SMP	1	0.00	0.00	0.00	0.00	
1172839714	SMP	1	0.00	0.00	0.00	0.00	
1172847961	SMP	1	0.00	0.00	0.00	0.00	
1172856331	SMP	1	0.00	0.00	0.00	0.00	
1172864691	SMP	1	0.00	0.00	0.00	0.00	
1172872943	SMP	1	0.00	0.00	0.00	0.00	
1172881313	SMP	1	0.00	0.00	0.00	0.00	
1172889688	SMP	1	0.00	0.00	0.00	0.00	
1172898107	SMP	1	0.00	0.00	0.00	0.00	
1172906321	SMP	1	0.00	0.00	0.00	0.00	
1172914692	SMP	1	0.00	0.00	0.00	0.00	
1172923061	SMP	1	0.00	0.00	0.00	0.00	
1172931441	SMP	1	0.00	0.00	0.00	0.00	
1172939687	SMP	1	0.00	0.00	0.00	0.00	
1172948071	SMP	1	0.00	0.00	0.00	0.00	
1172956436	SMP	1	0.00	0.00	0.00	0.00	
1172964823	SMP	1	0.00	0.00	0.00	0.00	
1172973066	SMP	1	0.00	0.00	0.00	0.00	
1172981438	SMP	1	0.00	0.00	0.00	0.00	
1172989818	SMP	1	0.00	0.00	0.00	0.00	
1172998068	SMP	1	0.00	0.00	0.00	0.00	
1173006444	SMP	1	0.00	0.00	0.00	0.00	
1173014908	SMP	1	0.00	0.00	0.00	0.00	
1173023250	SMP	1	0.00	0.00	0.00	0.00	
1173031503	SMP	1	0.00	0.00	0.00	0.00	
1173039899	SMP	1	0.00	0.00	0.00	0.00	
1173048243	SMP	1	0.00	0.00	0.00	0.00	
1173056684	SMP	1	0.00	0.00	0.00	0.00	
1173064930	SMP	1	0.00	0.00	0.00	0.00	
1173073250	SMP	1	0.00	0.00	0.00	0.00	
1173081648	SMP	1	0.00	0.00	0.00	0.00	
1173089998	SMP	1	0.00	0.00	0.00	0.00	
1173098251	SMP	1	0.00	0.00	0.00	0.00	
1173106615	SMP	1	0.00	0.00	0.00	0.00	
1173115037	SMP	1	0.00	0.00	0.00	0.00	
1173123372	SMP	1	0.00	0.00	0.00	0.00	
1173131628	SMP	1	0.00	0.00	0.00	0.00	
1173139989	SMP	1	0.00	0.00	0.00	0.00	
1173148369	SMP	1	0.00	0.00	0.00	0.00	
1173156613	SMP	1	0.00	0.00	0.00	0.00	
1173164992	SMP	1	0.00	0.00	0.00	0.00	
1173173313	SMP	1	0.00	0.00	0.00	0.00	
1173181738	SMP	1	0.00	0.00	0.00	0.00	
1173189961	SMP	1	0.00	0.00	0.00	0.00	
1173198368	SMP	1	0.00	0.00	0.00	0.00	
1173206737	SMP	1	0.00	0.00	0.00	0.00	
1173215079	SMP	1	0.00	0.00	0.00	0.00	
1173223380	SMP	1	0.00	0.00	0.00	0.00	
1173231738	SMP	1	0.00	0.00	0.00	0.00	
1173240110	SMP	1	0.00	0.00	0.00	0.00	
1173248472	SMP	1	0.00	0.00	0.00	0.00	
1173256734	SMP	1	0.00	0.00	0.00	0.00	
1173265091	SMP	1	0.00	0.00	0.00	0.00	
1173273449	SMP	1	0.00	0.00	0.00	0.00	
1173281857	SMP	1	0.00	0.00	0.00	0.00	
1173290106	SMP	1	0.00	0.00	0.00	0.00	
1173298534	SMP	1	0.00	0.00	0.00	0.00	
1173306858	SMP	1	0.00	0.00	0.00	0.00	
1173315112	SMP	1	0.00	0.00	0.00	0.00	
1173323483	SMP	1	0.00	0.00	0.00	0.00	
1173331860	SMP	1	0.00	0.00	0.00	0.00	
1173340231	SMP	1	0.00	0.00	0.00	0.00	
1173348484	SMP	1	0.00	0.00	0.00	0.00	
1173356860	SMP	1	0.00	0.00	0.00	0.00	
1173365236	SMP	1	0.00	0.00	0.00	0.00	
1173373613	SMP	1	0.00	0.00	0.00	0.00	
1173381856	SMP	1	0.00	0.00	0.00	0.00	
1173390308	SMP	1	0.00	0.00	0.00	0.00	
1173398637	SMP	1	0.00	0.00	0.00	0.00	
1173407026	SMP	1	0.00	0.00	0.00	0.00	
1173415290	SMP	1	0.00	0.00	0.00	0.00	
1173423625	SMP	1	0.00	0.00	0.00	0.00	
1173432046	SMP	1	0.00	0.00	0.00	0.00	
1173440330	SMP	1	0.00	0.00	0.00	0.00	
1173448632	SMP	1	0.00	0.00	0.00	0.00	
1173456989	SMP	1	0.00	0.00	0.00	0.00	
1173465348	SMP	1	0.00	0.00	0.00	0.00	
1173473618	SMP	1	0.00	0.00	0.00	0.00	
1173481972	SMP	1	0.00	0.00	0.00	0.00	
1173490342	SMP	1	0.00	0.00	0.00	0.00	
1173498786	SMP	1	0.00	0.00	0.00	0.00	
1173506968	SMP	1	0.00	0.00	0.00	0.00	
1173515362	SMP	1	0.00	0.00	0.00	0.00	
1173523700	SMP	1	0.00	0.00	0.00	0.00	
1173532113	SMP	1	0.00	0.00	0.00	0.00	
1173540360	SMP	1	0.00	0.00	0.00	0.00	
1173548740	SMP	1	0.00	0.00	0.00	0.00	
