## [iView]
## Converted from:	F:\untitled folder\140811-02-L1-SC-eye_data.idf
## Date:	11.08.2014 18:22:54
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	41286                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140811-02-L1-SCI                                                                                                                                                                                                                                                
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
2883619889	SMP	1	1564.94	347.51	1564.94	347.51	
2883628136	SMP	1	1577.29	348.61	1577.29	348.61	
2883636496	SMP	1	1573.92	346.46	1573.92	346.46	
2883644911	SMP	1	1569.01	343.08	1569.01	343.08	
2883653248	SMP	1	1566.43	340.85	1566.43	340.85	
2883661483	SMP	1	1568.67	343.18	1568.67	343.18	
2883669835	SMP	1	1575.20	340.69	1575.20	340.69	
2883678204	SMP	1	1578.19	340.76	1578.19	340.76	
2883686607	SMP	1	1577.12	340.25	1577.12	340.25	
2883694827	SMP	1	1571.72	339.21	1571.72	339.21	
2883703217	SMP	1	1584.56	339.98	1584.56	339.98	
2883711587	SMP	1	1576.11	339.81	1576.11	339.81	
2883719857	SMP	1	1594.18	337.92	1594.18	337.92	
2883728200	SMP	1	1570.99	340.81	1570.99	340.81	
2883736598	SMP	1	1578.99	340.03	1578.99	340.03	
2883744957	SMP	1	1582.71	342.14	1582.71	342.14	
2883753226	SMP	1	1429.61	349.80	1429.61	349.80	
2883761623	SMP	1	1204.35	425.81	1204.35	425.81	
2883769983	SMP	1	1025.19	442.80	1025.19	442.80	
2883778355	SMP	1	808.46	463.75	808.46	463.75	
2883786585	SMP	1	660.45	471.55	660.45	471.55	
2883794997	SMP	1	504.61	488.78	504.61	488.78	
2883803370	SMP	1	428.28	499.72	428.28	499.72	
2883811769	SMP	1	429.91	516.20	429.91	516.20	
2883819995	SMP	1	418.00	486.95	418.00	486.95	
2883828367	SMP	1	415.14	488.63	415.14	488.63	
2883836745	SMP	1	410.05	495.41	410.05	495.41	
2883844946	SMP	1	407.33	508.86	407.33	508.86	
2883853384	SMP	1	421.54	500.22	421.54	500.22	
2883861730	SMP	1	415.55	504.14	415.55	504.14	
2883870119	SMP	1	421.82	508.80	421.82	508.80	
2883878342	SMP	1	414.24	504.62	414.24	504.62	
2883886742	SMP	1	416.77	519.37	416.77	519.37	
2883895105	SMP	1	421.19	524.88	421.19	524.88	
2883903487	SMP	1	424.59	525.86	424.59	525.86	
2883911691	SMP	1	423.12	519.76	423.12	519.76	
2883920079	SMP	1	418.38	520.31	418.38	520.31	
2883928442	SMP	1	415.31	515.28	415.31	515.28	
2883936843	SMP	1	423.00	524.52	423.00	524.52	
2883945075	SMP	1	423.99	524.19	423.99	524.19	
2883953449	SMP	1	418.97	522.19	418.97	522.19	
2883961827	SMP	1	415.42	519.44	415.42	519.44	
2883970071	SMP	1	423.16	522.14	423.16	522.14	
2883978440	SMP	1	414.79	527.22	414.79	527.22	
2883986820	SMP	1	415.20	522.68	415.20	522.68	
2883995189	SMP	1	415.86	518.74	415.86	518.74	
2884003455	SMP	1	418.70	523.10	418.70	523.10	
2884011823	SMP	1	415.77	522.08	415.77	522.08	
2884020220	SMP	1	421.52	522.51	421.52	522.51	
2884028569	SMP	1	423.36	521.04	423.36	521.04	
2884036821	SMP	1	416.34	523.73	416.34	523.73	
2884045190	SMP	1	412.71	517.82	412.71	517.82	
2884053564	SMP	1	416.36	523.45	416.36	523.45	
2884061957	SMP	1	410.03	522.34	410.03	522.34	
2884070198	SMP	1	412.94	526.86	412.94	526.86	
2884078562	SMP	1	415.28	521.74	415.28	521.74	
2884086941	SMP	1	405.31	521.70	405.31	521.70	
2884095316	SMP	1	409.12	520.33	409.12	520.33	
2884103686	SMP	1	361.41	523.52	361.41	523.52	
2884112029	SMP	1	385.24	522.90	385.24	522.90	
2884120382	SMP	1	371.12	526.59	371.12	526.59	
2884128613	SMP	1	340.41	522.14	340.41	522.14	
2884137051	SMP	1	383.92	522.20	383.92	522.20	
2884145400	SMP	1	328.67	525.27	328.67	525.27	
2884153762	SMP	1	355.83	526.53	355.83	526.53	
2884161999	SMP	1	372.15	522.04	372.15	522.04	
2884170336	SMP	1	346.83	523.43	346.83	523.43	
2884178758	SMP	1	351.35	523.92	351.35	523.92	
2884187074	SMP	1	344.69	526.34	344.69	526.34	
2884195361	SMP	1	363.00	523.42	363.00	523.42	
2884203742	SMP	1	337.68	525.30	337.68	525.30	
2884212114	SMP	1	359.27	523.00	359.27	523.00	
2884220528	SMP	1	356.42	523.73	356.42	523.73	
2884228740	SMP	1	361.56	524.18	361.56	524.18	
2884237112	SMP	1	353.47	520.96	353.47	520.96	
2884245486	SMP	1	354.24	522.45	354.24	522.45	
2884253741	SMP	1	351.18	525.00	351.18	525.00	
2884262094	SMP	1	349.58	524.95	349.58	524.95	
2884270484	SMP	1	357.70	528.61	357.70	528.61	
