## [iView]
## Converted from:	F:\untitled folder\140811-09-L1-SC-eye_data.idf
## Date:	11.08.2014 19:40:15
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	17544                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140811-09-L1-SC                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7524780213	SMP	1	0.00	0.00	0.00	0.00	
7524830201	SMP	1	0.00	0.00	0.00	0.00	
7524880376	SMP	1	0.00	0.00	0.00	0.00	
7524930334	SMP	1	0.00	0.00	0.00	0.00	
7524980363	SMP	1	0.00	0.00	0.00	0.00	
7525030409	SMP	1	0.00	0.00	0.00	0.00	
7525080291	SMP	1	0.00	0.00	0.00	0.00	
7525130543	SMP	1	0.00	0.00	0.00	0.00	
7525180533	SMP	1	0.00	0.00	0.00	0.00	
7525230522	SMP	1	0.00	0.00	0.00	0.00	
7525280486	SMP	1	0.00	0.00	0.00	0.00	
7525330489	SMP	1	0.00	0.00	0.00	0.00	
7525380447	SMP	1	0.00	0.00	0.00	0.00	
7525430622	SMP	1	0.00	0.00	0.00	0.00	
7525480649	SMP	1	0.00	0.00	0.00	0.00	
7525530649	SMP	1	0.00	0.00	0.00	0.00	
7525580667	SMP	1	0.00	0.00	0.00	0.00	
7525630735	SMP	1	0.00	0.00	0.00	0.00	
7525680714	SMP	1	0.00	0.00	0.00	0.00	
7525730784	SMP	1	0.00	0.00	0.00	0.00	
7525780729	SMP	1	0.00	0.00	0.00	0.00	
7526180003	MSG	1	# Message: elmo_duck.avi
7526180995	SMP	1	0.00	0.00	0.00	0.00	
7526230981	SMP	1	0.00	0.00	0.00	0.00	
7526281483	SMP	1	0.00	0.00	0.00	0.00	
7526330967	SMP	1	0.00	0.00	0.00	0.00	
7526381379	SMP	1	0.00	0.00	0.00	0.00	
7526431125	SMP	1	0.00	0.00	0.00	0.00	
7526481127	SMP	1	0.00	0.00	0.00	0.00	
7526531098	SMP	1	0.00	0.00	0.00	0.00	
7526581083	SMP	1	0.00	0.00	0.00	0.00	
7526631062	SMP	1	0.00	0.00	0.00	0.00	
7526681149	SMP	1	0.00	0.00	0.00	0.00	
7526731398	SMP	1	0.00	0.00	0.00	0.00	
7526781680	SMP	1	0.00	0.00	0.00	0.00	
7526831206	SMP	1	0.00	0.00	0.00	0.00	
7526881410	SMP	1	0.00	0.00	0.00	0.00	
7526931446	SMP	1	0.00	0.00	0.00	0.00	
