## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\141010-07-SC-L1-eye_data.idf
## Date:	10.10.2014 19:12:36
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39426                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	141010-07-SC-L1                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
6195692993	SMP	1	-0.26	0.00	-0.26	0.00	
6195701342	SMP	1	0.00	0.00	0.00	0.00	
6195709704	SMP	1	0.00	0.00	0.00	0.00	
6195717967	SMP	1	0.00	0.00	0.00	0.00	
6195726336	SMP	1	0.00	0.00	0.00	0.00	
6195734675	SMP	1	0.00	0.00	0.00	0.00	
6195743039	SMP	1	0.00	0.00	0.00	0.00	
6195751313	SMP	1	0.00	0.00	0.00	0.00	
6195759682	SMP	1	214.57	538.62	214.57	538.62	
6195768047	SMP	1	249.16	421.88	249.16	421.88	
6195776290	SMP	1	265.01	639.17	265.01	639.17	
6195784679	SMP	1	388.34	606.11	388.34	606.11	
6195793050	SMP	1	687.69	417.50	687.69	417.50	
6195801412	SMP	1	574.85	593.07	574.85	593.07	
6195809664	SMP	1	597.53	576.96	597.53	576.96	
6195818049	SMP	1	603.59	570.74	603.59	570.74	
6195826419	SMP	1	404.42	623.25	404.42	623.25	
6195834827	SMP	1	552.85	575.21	552.85	575.21	
6195843045	SMP	1	458.13	578.92	458.13	578.92	
6195851455	SMP	1	447.46	575.54	447.46	575.54	
6195859800	SMP	1	439.06	580.07	439.06	580.07	
