## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\141017-06-L1-SC-eye_data.idf
## Date:	17.10.2014 19:51:11
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	32166                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	141017-06-L1-SC                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
8670539443	SMP	1	0.00	0.00	0.00	0.00	
8670589522	SMP	1	0.00	0.00	0.00	0.00	
8670639529	SMP	1	0.00	0.00	0.00	0.00	
8670689651	SMP	1	0.00	0.00	0.00	0.00	
8670739657	SMP	1	0.00	0.00	0.00	0.00	
8670789618	SMP	1	0.00	0.00	0.00	0.00	
8670839578	SMP	1	0.00	0.00	0.00	0.00	
8670889665	SMP	1	0.00	0.00	0.00	0.00	
8670939658	SMP	1	0.00	0.00	0.00	0.00	
8670989792	SMP	1	0.00	0.00	0.00	0.00	
8671039725	SMP	1	0.00	0.00	0.00	0.00	
8671089738	SMP	1	0.00	0.00	0.00	0.00	
8671139770	SMP	1	0.00	0.00	0.00	0.00	
8671189907	SMP	1	0.00	0.00	0.00	0.00	
8671239898	SMP	1	0.00	0.00	0.00	0.00	
8671289924	SMP	1	0.00	0.00	0.00	0.00	
8671339862	SMP	1	0.00	0.00	0.00	0.00	
8671389890	SMP	1	0.00	0.00	0.00	0.00	
8671439931	SMP	1	0.00	0.00	0.00	0.00	
8671489981	SMP	1	0.00	0.00	0.00	0.00	
8671539975	SMP	1	0.00	0.00	0.00	0.00	
8671589942	SMP	1	0.00	0.00	0.00	0.00	
8671640083	SMP	1	0.00	0.00	0.00	0.00	
8671690090	SMP	1	0.00	0.00	0.00	0.00	
8671740069	SMP	1	0.00	0.00	0.00	0.00	
8671790139	SMP	1	0.00	0.00	0.00	0.00	
8671840019	SMP	1	0.00	0.00	0.00	0.00	
8671890120	SMP	1	0.00	0.00	0.00	0.00	
8671940240	SMP	1	0.00	0.00	0.00	0.00	
8671990265	SMP	1	0.00	0.00	0.00	0.00	
8672040261	SMP	1	0.00	0.00	0.00	0.00	
8672090210	SMP	1	0.00	0.00	0.00	0.00	
8672140431	SMP	1	0.00	0.00	0.00	0.00	
8672190320	SMP	1	0.00	0.00	0.00	0.00	
8672240506	SMP	1	0.00	0.00	0.00	0.00	
8672290372	SMP	1	0.00	0.00	0.00	0.00	
8672744577	MSG	1	# Message: elmo_duck.avi
8672790658	SMP	1	0.00	0.00	0.00	0.00	
8672840744	SMP	1	0.00	0.00	0.00	0.00	
8672890736	SMP	1	0.00	0.00	0.00	0.00	
8672940705	SMP	1	0.00	0.00	0.00	0.00	
8672990808	SMP	1	0.00	0.00	0.00	0.00	
8673040799	SMP	1	0.00	0.00	0.00	0.00	
8673090747	SMP	1	0.00	0.00	0.00	0.00	
8673140738	SMP	1	0.00	0.00	0.00	0.00	
8673190864	SMP	1	0.00	0.00	0.00	0.00	
8673241124	SMP	1	0.00	0.00	0.00	0.00	
8673290875	SMP	1	0.00	0.00	0.00	0.00	
8673340887	SMP	1	0.00	0.00	0.00	0.00	
8673390997	SMP	1	0.00	0.00	0.00	0.00	
8673441113	SMP	1	0.00	0.00	0.00	0.00	
8673490991	SMP	1	0.00	0.00	0.00	0.00	
8673540916	SMP	1	0.00	0.00	0.00	0.00	
8673590986	SMP	1	0.00	0.00	0.00	0.00	
8673640996	SMP	1	0.00	0.00	0.00	0.00	
8673691084	SMP	1	0.00	0.00	0.00	0.00	
8673741077	SMP	1	0.00	0.00	0.00	0.00	
8673791409	SMP	1	0.00	0.00	0.00	0.00	
8673841052	SMP	1	0.00	0.00	0.00	0.00	
8673891108	SMP	1	0.00	0.00	0.00	0.00	
8673941143	SMP	1	0.00	0.00	0.00	0.00	
8673991222	SMP	1	0.00	0.00	0.00	0.00	
8674041201	SMP	1	0.00	0.00	0.00	0.00	
8674091153	SMP	1	0.00	0.00	0.00	0.00	
8674141248	SMP	1	0.00	0.00	0.00	0.00	
8674191271	SMP	1	0.00	0.00	0.00	0.00	
8674241265	SMP	1	0.00	0.00	0.00	0.00	
8674291284	SMP	1	0.00	0.00	0.00	0.00	
8674341317	SMP	1	0.00	0.00	0.00	0.00	
8674391433	SMP	1	0.00	0.00	0.00	0.00	
8674441423	SMP	1	0.00	0.00	0.00	0.00	
8674491353	SMP	1	0.00	0.00	0.00	0.00	
8674541368	SMP	1	0.00	0.00	0.00	0.00	
8674591426	SMP	1	0.00	0.00	0.00	0.00	
8674641421	SMP	1	0.00	0.00	0.00	0.00	
8674691482	SMP	1	0.00	0.00	0.00	0.00	
8674741536	SMP	1	0.00	0.00	0.00	0.00	
8674791673	SMP	1	0.00	0.00	0.00	0.00	
8674841554	SMP	1	0.00	0.00	0.00	0.00	
8674891553	SMP	1	0.00	0.00	0.00	0.00	
8674941730	SMP	1	0.00	0.00	0.00	0.00	
8674991634	SMP	1	0.00	0.00	0.00	0.00	
8675041750	SMP	1	0.00	0.00	0.00	0.00	
8675091691	SMP	1	0.00	0.00	0.00	0.00	
8675141801	SMP	1	0.00	0.00	0.00	0.00	
8675191786	SMP	1	0.00	0.00	0.00	0.00	
8675241815	SMP	1	0.00	0.00	0.00	0.00	
8675291770	SMP	1	0.00	0.00	0.00	0.00	
8675341780	SMP	1	0.00	0.00	0.00	0.00	
8675391856	SMP	1	0.00	0.00	0.00	0.00	
8675441911	SMP	1	0.00	0.00	0.00	0.00	
8675491879	SMP	1	0.00	0.00	0.00	0.00	
8675541902	SMP	1	0.00	0.00	0.00	0.00	
8675591861	SMP	1	0.00	0.00	0.00	0.00	
8675642014	SMP	1	0.00	0.00	0.00	0.00	
8675692019	SMP	1	0.00	0.00	0.00	0.00	
8675741993	SMP	1	0.00	0.00	0.00	0.00	
8675791960	SMP	1	0.00	0.00	0.00	0.00	
8675842006	SMP	1	0.00	0.00	0.00	0.00	
8675892107	SMP	1	0.00	0.00	0.00	0.00	
8675942139	SMP	1	0.00	0.00	0.00	0.00	
8675992120	SMP	1	0.00	0.00	0.00	0.00	
8676042130	SMP	1	0.00	0.00	0.00	0.00	
8676092267	SMP	1	0.00	0.00	0.00	0.00	
8676142231	SMP	1	0.00	0.00	0.00	0.00	
8676192446	SMP	1	0.00	0.00	0.00	0.00	
8676242197	SMP	1	0.00	0.00	0.00	0.00	
8676292245	SMP	1	0.00	0.00	0.00	0.00	
8676342448	SMP	1	0.00	0.00	0.00	0.00	
8676392364	SMP	1	0.00	0.00	0.00	0.00	
8676442377	SMP	1	0.00	0.00	0.00	0.00	
8676492311	SMP	1	0.00	0.00	0.00	0.00	
8676542447	SMP	1	0.00	0.00	0.00	0.00	
8676592597	SMP	1	0.00	0.00	0.00	0.00	
8676642573	SMP	1	0.00	0.00	0.00	0.00	
8676692427	SMP	1	0.00	0.00	0.00	0.00	
8676742511	SMP	1	0.00	0.00	0.00	0.00	
8676792514	SMP	1	0.00	0.00	0.00	0.00	
8676842597	SMP	1	0.00	0.00	0.00	0.00	
8676892585	SMP	1	0.00	0.00	0.00	0.00	
8676942612	SMP	1	0.00	0.00	0.00	0.00	
8676992848	SMP	1	0.00	0.00	0.00	0.00	
8677042603	SMP	1	0.00	0.00	0.00	0.00	
8677092617	SMP	1	0.00	0.00	0.00	0.00	
8677142732	SMP	1	0.00	0.00	0.00	0.00	
8677192743	SMP	1	0.00	0.00	0.00	0.00	
8677242768	SMP	1	0.00	0.00	0.00	0.00	
8677292732	SMP	1	0.00	0.00	0.00	0.00	
8677342789	SMP	1	0.00	0.00	0.00	0.00	
8677393061	SMP	1	0.00	0.00	0.00	0.00	
8677442847	SMP	1	0.00	0.00	0.00	0.00	
8677492838	SMP	1	0.00	0.00	0.00	0.00	
8677542860	SMP	1	0.00	0.00	0.00	0.00	
8677592880	SMP	1	0.00	0.00	0.00	0.00	
8677642961	SMP	1	0.00	0.00	0.00	0.00	
8677692944	SMP	1	0.00	0.00	0.00	0.00	
8677742938	SMP	1	0.00	0.00	0.00	0.00	
8677793060	SMP	1	0.00	0.00	0.00	0.00	
8677843081	SMP	1	0.00	0.00	0.00	0.00	
8677893026	SMP	1	0.00	0.00	0.00	0.00	
8677943079	SMP	1	0.00	0.00	0.00	0.00	
8677993092	SMP	1	0.00	0.00	0.00	0.00	
8678043411	SMP	1	0.00	0.00	0.00	0.00	
8678093062	SMP	1	0.00	0.00	0.00	0.00	
8678143205	SMP	1	0.00	0.00	0.00	0.00	
8678193334	SMP	1	0.00	0.00	0.00	0.00	
8678243147	SMP	1	0.00	0.00	0.00	0.00	
8678293308	SMP	1	0.00	0.00	0.00	0.00	
8678343282	SMP	1	0.00	0.00	0.00	0.00	
8678393322	SMP	1	0.00	0.00	0.00	0.00	
8678443291	SMP	1	0.00	0.00	0.00	0.00	
8678493294	SMP	1	0.00	0.00	0.00	0.00	
8678543797	SMP	1	0.00	0.00	0.00	0.00	
8678593631	SMP	1	0.00	0.00	0.00	0.00	
8678643428	SMP	1	0.00	0.00	0.00	0.00	
8678693458	SMP	1	0.00	0.00	0.00	0.00	
8678743383	SMP	1	0.00	0.00	0.00	0.00	
8678793454	SMP	1	0.00	0.00	0.00	0.00	
8678843527	SMP	1	0.00	0.00	0.00	0.00	
8678893520	SMP	1	0.00	0.00	0.00	0.00	
8678943556	SMP	1	0.00	0.00	0.00	0.00	
8678993704	SMP	1	0.00	0.00	0.00	0.00	
8679043544	SMP	1	0.00	0.00	0.00	0.00	
8679093643	SMP	1	0.00	0.00	0.00	0.00	
8679143685	SMP	1	0.00	0.00	0.00	0.00	
8679193688	SMP	1	0.00	0.00	0.00	0.00	
8679243670	SMP	1	0.00	0.00	0.00	0.00	
8679293659	SMP	1	0.00	0.00	0.00	0.00	
8679343799	SMP	1	0.00	0.00	0.00	0.00	
8679393919	SMP	1	0.00	0.00	0.00	0.00	
8679443875	SMP	1	0.00	0.00	0.00	0.00	
8679493776	SMP	1	0.00	0.00	0.00	0.00	
8679544047	SMP	1	0.00	0.00	0.00	0.00	
8679593887	SMP	1	0.00	0.00	0.00	0.00	
8679643932	SMP	1	0.00	0.00	0.00	0.00	
8679693886	SMP	1	0.00	0.00	0.00	0.00	
8679743901	SMP	1	0.00	0.00	0.00	0.00	
8679794325	SMP	1	0.00	0.00	0.00	0.00	
8679844026	SMP	1	0.00	0.00	0.00	0.00	
8679894016	SMP	1	0.00	0.00	0.00	0.00	
8679944022	SMP	1	0.00	0.00	0.00	0.00	
8679994010	SMP	1	0.00	0.00	0.00	0.00	
8680044109	SMP	1	0.00	0.00	0.00	0.00	
8680094071	SMP	1	0.00	0.00	0.00	0.00	
8680144090	SMP	1	0.00	0.00	0.00	0.00	
8680194249	SMP	1	0.00	0.00	0.00	0.00	
8680244173	SMP	1	0.00	0.00	0.00	0.00	
8680294536	SMP	1	0.00	0.00	0.00	0.00	
8680344264	SMP	1	0.00	0.00	0.00	0.00	
8680394268	SMP	1	0.00	0.00	0.00	0.00	
8680444276	SMP	1	0.00	0.00	0.00	0.00	
8680494275	SMP	1	0.00	0.00	0.00	0.00	
8680544469	SMP	1	0.00	0.00	0.00	0.00	
8680594620	SMP	1	0.00	0.00	0.00	0.00	
8680644332	SMP	1	0.00	0.00	0.00	0.00	
8680694410	SMP	1	0.00	0.00	0.00	0.00	
8680744581	SMP	1	0.00	0.00	0.00	0.00	
8680794381	SMP	1	0.00	0.00	0.00	0.00	
8680844499	SMP	1	0.00	0.00	0.00	0.00	
8680894442	SMP	1	0.00	0.00	0.00	0.00	
8680944650	SMP	1	0.00	0.00	0.00	0.00	
8680994657	SMP	1	0.00	0.00	0.00	0.00	
