## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\150109-11-sc-et-eye_data.idf
## Date:	09.01.2015 21:46:57
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42115                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150109-11-sc-et                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
1331678881	SMP	1	291.66	471.01	291.66	471.01	
1331687206	SMP	1	297.03	468.77	297.03	468.77	
1331695588	SMP	1	292.30	468.64	292.30	468.64	
1331703954	SMP	1	292.27	469.71	292.27	469.71	
1331712244	SMP	1	289.18	470.83	289.18	470.83	
1331720569	SMP	1	286.81	466.42	286.81	466.42	
1331728938	SMP	1	283.93	463.45	283.93	463.45	
1331737304	SMP	1	280.89	444.06	280.89	444.06	
1331745554	SMP	1	279.69	465.48	279.69	465.48	
1331753924	SMP	1	276.14	445.02	276.14	445.02	
1331762313	SMP	1	274.01	440.97	274.01	440.97	
1331770682	SMP	1	276.52	457.93	276.52	457.93	
1331778929	SMP	1	279.23	455.47	279.23	455.47	
1331787290	SMP	1	279.06	458.44	279.06	458.44	
1331795686	SMP	1	281.68	460.77	281.68	460.77	
1331803915	SMP	1	285.61	460.09	285.61	460.09	
1331812304	SMP	1	273.65	462.82	273.65	462.82	
1331820700	SMP	1	272.18	465.13	272.18	465.13	
1331829051	SMP	1	274.87	468.30	274.87	468.30	
1331837339	SMP	1	282.11	473.63	282.11	473.63	
1331845678	SMP	1	287.62	462.72	287.62	462.72	
1331854079	SMP	1	289.35	465.46	289.35	465.46	
1331862459	SMP	1	289.30	455.92	289.30	455.92	
1331870703	SMP	1	286.49	446.20	286.49	446.20	
1331879039	SMP	1	283.75	445.10	283.75	445.10	
1331887451	SMP	1	286.03	451.69	286.03	451.69	
1331895842	SMP	1	283.46	455.31	283.46	455.31	
1331904074	SMP	1	284.13	447.96	284.13	447.96	
1331912461	SMP	1	286.87	454.67	286.87	454.67	
1331920827	SMP	1	289.30	455.40	289.30	455.40	
1331929082	SMP	1	287.48	466.97	287.48	466.97	
1331937456	SMP	1	285.69	461.83	285.69	461.83	
1331945788	SMP	1	281.03	471.43	281.03	471.43	
1331954166	SMP	1	283.45	471.48	283.45	471.48	
1331962434	SMP	1	285.45	466.46	285.45	466.46	
1331970785	SMP	1	294.86	462.46	294.86	462.46	
1331979162	SMP	1	287.25	466.94	287.25	466.94	
1331987522	SMP	1	284.59	464.80	284.59	464.80	
1331995801	SMP	1	287.97	471.15	287.97	471.15	
1332004152	SMP	1	282.36	474.83	282.36	474.83	
1332012526	SMP	1	278.72	477.98	278.72	477.98	
1332020894	SMP	1	276.16	478.65	276.16	478.65	
1332029153	SMP	1	294.62	461.93	294.62	461.93	
1332037532	SMP	1	287.91	455.54	287.91	455.54	
1332045904	SMP	1	277.56	461.73	277.56	461.73	
1332054275	SMP	1	286.08	464.86	286.08	464.86	
1332062530	SMP	1	281.44	468.66	281.44	468.66	
1332070921	SMP	1	279.98	476.22	279.98	476.22	
1332079274	SMP	1	277.07	486.04	277.07	486.04	
1332087522	SMP	1	284.01	475.76	284.01	475.76	
1332095942	SMP	1	295.27	482.73	295.27	482.73	
1332104285	SMP	1	285.74	478.81	285.74	478.81	
1332112656	SMP	1	290.38	469.92	290.38	469.92	
1332120901	SMP	1	288.96	476.02	288.96	476.02	
1332129292	SMP	1	286.42	472.54	286.42	472.54	
1332137658	SMP	1	287.49	474.12	287.49	474.12	
1332146028	SMP	1	285.68	475.01	285.68	475.01	
1332154282	SMP	1	284.51	484.21	284.51	484.21	
1332162670	SMP	1	288.37	481.99	288.37	481.99	
1332171142	SMP	1	289.97	480.86	289.97	480.86	
1332179472	SMP	1	289.42	479.87	289.42	479.87	
