## [iView]
## Converted from:	D:\Recorded Data\simpkidL2\150413-14-L2-eye_data.idf
## Date:	13.04.2015 23:14:05
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39076                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150413-14-sc-L2                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
13989219839	SMP	1	1270.72	556.21	1270.72	556.21	
13989228249	SMP	1	1266.55	557.64	1266.55	557.64	
13989236449	SMP	1	1276.42	563.05	1276.42	563.05	
13989244894	SMP	1	1279.62	560.26	1279.62	560.26	
13989253215	SMP	1	1276.50	559.55	1276.50	559.55	
13989261598	SMP	1	1275.27	557.40	1275.27	557.40	
13989269829	SMP	1	1275.52	559.87	1275.52	559.87	
13989278214	SMP	1	1273.87	558.68	1273.87	558.68	
13989286572	SMP	1	1274.16	556.34	1274.16	556.34	
13989294981	SMP	1	1274.40	555.65	1274.40	555.65	
13989303202	SMP	1	1277.73	551.24	1277.73	551.24	
13989311672	SMP	1	1279.50	552.81	1279.50	552.81	
13989319960	SMP	1	1281.18	551.55	1281.18	551.55	
13989328317	SMP	1	1282.27	546.32	1282.27	546.32	
13989336569	SMP	1	1281.79	548.37	1281.79	548.37	
13989344970	SMP	1	1282.19	551.78	1282.19	551.78	
13989353363	SMP	1	1282.17	551.33	1282.17	551.33	
13989361738	SMP	1	1279.71	552.61	1279.71	552.61	
13989370009	SMP	1	1274.63	542.53	1274.63	542.53	
