## [iView]
## Converted from:	D:\simpleImp\data\150710-sc-01-eye_data.idf
## Date:	10.07.2015 17:33:24
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	41700                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150710-sc-01                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1962973842	SMP	1	0.00	0.00	0.00	0.00	-1	
1962982245	SMP	1	0.00	0.00	0.00	0.00	-1	
1962990500	SMP	1	0.00	0.00	0.00	0.00	-1	
1962998858	SMP	1	0.00	0.00	0.00	0.00	-1	
1963007226	SMP	1	0.00	0.00	0.00	0.00	-1	
1963015508	SMP	1	0.00	0.00	0.00	0.00	-1	
1963023845	SMP	1	0.00	0.00	0.00	0.00	-1	
1963032204	SMP	1	0.00	0.00	0.00	0.00	-1	
1963040572	SMP	1	0.00	0.00	0.00	0.00	-1	
1963048834	SMP	1	0.00	0.00	0.00	0.00	-1	
1963057190	SMP	1	0.00	0.00	0.00	0.00	-1	
1963065609	SMP	1	0.00	0.00	0.00	0.00	-1	
1963073942	SMP	1	0.00	0.00	0.00	0.00	-1	
1963082201	SMP	1	0.00	0.00	0.00	0.00	-1	
1963090565	SMP	1	0.00	0.00	0.00	0.00	-1	
1963098951	SMP	1	0.00	0.00	0.00	0.00	-1	
1963107319	SMP	1	0.00	0.00	0.00	0.00	-1	
1963115567	SMP	1	0.00	0.00	0.00	0.00	-1	
1963123972	SMP	1	0.00	0.00	0.00	0.00	-1	
1963132353	SMP	1	0.00	0.00	0.00	0.00	-1	
1963140628	SMP	1	0.00	0.00	0.00	0.00	-1	
1963148976	SMP	1	0.00	0.00	0.00	0.00	-1	
1963157328	SMP	1	0.00	0.00	0.00	0.00	-1	
1963165750	SMP	1	0.00	0.00	0.00	0.00	-1	
1963173985	SMP	1	0.00	0.00	0.00	0.00	-1	
1963182351	SMP	1	0.00	0.00	0.00	0.00	-1	
1963190724	SMP	1	0.00	0.00	0.00	0.00	-1	
1963199079	SMP	1	0.00	0.00	0.00	0.00	-1	
1963207347	SMP	1	0.00	0.00	0.00	0.00	-1	
1963215749	SMP	1	0.00	0.00	0.00	0.00	-1	
1963224095	SMP	1	0.00	0.00	0.00	0.00	-1	
1963232495	SMP	1	0.00	0.00	0.00	0.00	-1	
1963240721	SMP	1	0.00	0.00	0.00	0.00	-1	
1963249094	SMP	1	0.00	0.00	0.00	0.00	-1	
1963257468	SMP	1	0.00	0.00	0.00	0.00	-1	
1963265773	SMP	1	0.00	0.00	0.00	0.00	-1	
1963274110	SMP	1	0.00	0.00	0.00	0.00	-1	
1963282459	SMP	1	0.00	0.00	0.00	0.00	-1	
1963290843	SMP	1	0.00	0.00	0.00	0.00	-1	
1963299098	SMP	1	0.00	0.00	0.00	0.00	-1	
1963307482	SMP	1	0.00	0.00	0.00	0.00	-1	
1963315895	SMP	1	0.00	0.00	0.00	0.00	-1	
1963324234	SMP	1	0.00	0.00	0.00	0.00	-1	
1963332478	SMP	1	0.00	0.00	0.00	0.00	-1	
1963340849	SMP	1	0.00	0.00	0.00	0.00	-1	
1963349238	SMP	1	0.00	0.00	0.00	0.00	-1	
1963357585	SMP	1	0.00	0.00	0.00	0.00	-1	
1963365856	SMP	1	0.00	0.00	0.00	0.00	-1	
1963374223	SMP	1	0.00	0.00	0.00	0.00	-1	
1963382606	SMP	1	0.00	0.00	0.00	0.00	-1	
1963390944	SMP	1	0.00	0.00	0.00	0.00	-1	
1963399245	SMP	1	0.00	0.00	0.00	0.00	-1	
1963407554	SMP	1	0.00	0.00	0.00	0.00	-1	
1963415970	SMP	1	0.00	0.00	0.00	0.00	-1	
1963424231	SMP	1	0.00	0.00	0.00	0.00	-1	
1963432637	SMP	1	0.00	0.00	0.00	0.00	-1	
1963440936	SMP	1	0.00	0.00	0.00	0.00	-1	
1963449296	SMP	1	0.00	0.00	0.00	0.00	-1	
1963457553	SMP	1	0.00	0.00	0.00	0.00	-1	
