## [iView]
## Converted from:	F:\simpimp data\150716-sc-06-eye_data.idf
## Date:	16.07.2015 21:13:29
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39342                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150716-sc-06                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
11557846801	SMP	1	669.34	748.81	669.34	748.81	
11557855175	SMP	1	678.71	750.05	678.71	750.05	
11557863516	SMP	1	673.58	753.88	673.58	753.88	
11557871890	SMP	1	678.76	747.61	678.76	747.61	
11557880107	SMP	1	674.92	750.13	674.92	750.13	
11557888496	SMP	1	669.77	748.37	669.77	748.37	
11557896863	SMP	1	669.15	748.83	669.15	748.83	
11557905235	SMP	1	676.77	748.54	676.77	748.54	
11557913502	SMP	1	703.39	781.16	703.39	781.16	
11557921890	SMP	1	668.91	744.85	668.91	744.85	
11557930232	SMP	1	672.73	746.51	672.73	746.51	
11557938619	SMP	1	672.74	747.79	672.74	747.79	
11557946865	SMP	1	684.55	746.50	684.55	746.50	
11557963620	SMP	1	664.66	740.10	664.66	740.10	
11557971849	SMP	1	655.92	735.73	655.92	735.73	
11557980234	SMP	1	658.38	738.72	658.38	738.72	
11557988641	SMP	1	663.57	746.85	663.57	746.85	
11557997039	SMP	1	662.59	740.01	662.59	740.01	
11558005282	SMP	1	669.00	741.47	669.00	741.47	
11558013608	SMP	1	656.21	739.64	656.21	739.64	
11558022040	SMP	1	655.52	741.01	655.52	741.01	
11558030395	SMP	1	653.25	740.63	653.25	740.63	
11558038640	SMP	1	656.04	741.28	656.04	741.28	
11558046971	SMP	1	656.20	738.69	656.20	738.69	
11558055360	SMP	1	661.53	742.54	661.53	742.54	
11558063728	SMP	1	665.04	739.38	665.04	739.38	
