## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L2\170724-sc-03-1-eye_data.idf
## Date:	24.07.2015 19:16:30
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	37034                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	170724-sc-03                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
5333530263	SMP	1	546.17	693.99	546.17	693.99	
5333538684	SMP	1	545.66	690.77	545.66	690.77	
5333547067	SMP	1	548.06	693.50	548.06	693.50	
5333555293	SMP	1	545.88	694.00	545.88	694.00	
5333563649	SMP	1	545.52	693.30	545.52	693.30	
5333572030	SMP	1	546.51	695.84	546.51	695.84	
5333580398	SMP	1	544.34	693.14	544.34	693.14	
5333588666	SMP	1	543.79	697.09	543.79	697.09	
5333597026	SMP	1	543.15	694.83	543.15	694.83	
5333605391	SMP	1	540.60	695.67	540.60	695.67	
5333613644	SMP	1	541.39	693.07	541.39	693.07	
5333622017	SMP	1	539.22	691.26	539.22	691.26	
5333630393	SMP	1	541.08	701.10	541.08	701.10	
5333638782	SMP	1	538.26	697.11	538.26	697.11	
5333647050	SMP	1	541.15	697.07	541.15	697.07	
5333655402	SMP	1	540.00	696.73	540.00	696.73	
5333663826	SMP	1	540.83	697.72	540.83	697.72	
5333672167	SMP	1	540.14	697.60	540.14	697.60	
5333680469	SMP	1	540.01	691.52	540.01	691.52	
5333688804	SMP	1	542.01	697.93	542.01	697.93	
5333697175	SMP	1	542.44	700.57	542.44	700.57	
5333705552	SMP	1	537.57	700.97	537.57	700.97	
5333713817	SMP	1	544.99	700.26	544.99	700.26	
5333722173	SMP	1	539.29	696.91	539.29	696.91	
5333730546	SMP	1	544.26	697.73	544.26	697.73	
5333738801	SMP	1	541.40	699.53	541.40	699.53	
5333747178	SMP	1	541.68	697.69	541.68	697.69	
5333755545	SMP	1	537.52	691.90	537.52	691.90	
5333763930	SMP	1	537.64	695.59	537.64	695.59	
5333772184	SMP	1	539.60	700.73	539.60	700.73	
5333780504	SMP	1	534.92	696.75	534.92	696.75	
5333788943	SMP	1	535.28	694.96	535.28	694.96	
5333797243	SMP	1	537.93	694.41	537.93	694.41	
5333805521	SMP	1	536.79	699.24	536.79	699.24	
5333813873	SMP	1	537.25	698.53	537.25	698.53	
5333822270	SMP	1	530.48	688.96	530.48	688.96	
5333830630	SMP	1	404.53	582.95	404.53	582.95	
5333838911	SMP	1	391.52	581.42	391.52	581.42	
5333847255	SMP	1	375.66	585.63	375.66	585.63	
5333855635	SMP	1	372.10	589.37	372.10	589.37	
5333863884	SMP	1	375.36	588.55	375.36	588.55	
