## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L2\170724-sc-11-eye_data.idf
## Date:	24.07.2015 22:34:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	44776                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	170724-sc-11                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
17183309954	SMP	1	0.00	0.00	0.00	0.00	
17183318315	SMP	1	0.00	0.00	0.00	0.00	
17183326705	SMP	1	0.00	0.00	0.00	0.00	
17183334941	SMP	1	0.00	0.00	0.00	0.00	
17183343288	SMP	1	0.00	0.00	0.00	0.00	
17183351647	SMP	1	0.00	0.00	0.00	0.00	
17183359874	SMP	1	0.00	0.00	0.00	0.00	
17183368267	SMP	1	0.00	0.00	0.00	0.00	
17183376677	SMP	1	0.00	0.00	0.00	0.00	
17183385078	SMP	1	0.00	0.00	0.00	0.00	
17183393339	SMP	1	0.00	0.00	0.00	0.00	
17183401716	SMP	1	0.00	0.00	0.00	0.00	
17183410049	SMP	1	0.00	0.00	0.00	0.00	
17183418417	SMP	1	0.00	0.00	0.00	0.00	
17183426684	SMP	1	0.00	0.00	0.00	0.00	
17183435035	SMP	1	0.00	0.00	0.00	0.00	
17183443412	SMP	1	0.00	0.00	0.00	0.00	
17183451787	SMP	1	0.00	0.00	0.00	0.00	
17183460078	SMP	1	0.00	0.00	0.00	0.00	
17183468429	SMP	1	0.00	0.00	0.00	0.00	
17183476809	SMP	1	0.00	0.00	0.00	0.00	
17183485036	SMP	1	0.00	0.00	0.00	0.00	
17183493410	SMP	1	0.00	0.00	0.00	0.00	
17183501810	SMP	1	0.00	0.00	0.00	0.00	
17183510167	SMP	1	0.00	0.00	0.00	0.00	
17183518391	SMP	1	0.00	0.00	0.00	0.00	
17183526803	SMP	1	0.00	0.00	0.00	0.00	
17183535168	SMP	1	0.00	0.00	0.00	0.00	
17183543545	SMP	1	0.00	0.00	0.00	0.00	
17183551802	SMP	1	0.00	0.00	0.00	0.00	
17183560171	SMP	1	0.00	0.00	0.00	0.00	
17183568499	SMP	1	0.00	0.00	0.00	0.00	
17183576889	SMP	1	0.00	0.00	0.00	0.00	
17183585147	SMP	1	0.00	0.00	0.00	0.00	
17183593513	SMP	1	0.00	0.00	0.00	0.00	
17183601881	SMP	1	0.00	0.00	0.00	0.00	
17183610130	SMP	1	0.00	0.00	0.00	0.00	
17183618516	SMP	1	0.00	0.00	0.00	0.00	
17183626882	SMP	1	0.00	0.00	0.00	0.00	
17183635286	SMP	1	0.00	0.00	0.00	0.00	
17183643504	SMP	1	0.00	0.00	0.00	0.00	
17183651888	SMP	1	0.00	0.00	0.00	0.00	
17183660248	SMP	1	0.00	0.00	0.00	0.00	
17183668661	SMP	1	0.00	0.00	0.00	0.00	
17183676884	SMP	1	0.00	0.00	0.00	0.00	
17183685256	SMP	1	0.00	0.00	0.00	0.00	
17183693624	SMP	1	0.00	0.00	0.00	0.00	
17183702049	SMP	1	0.00	0.00	0.00	0.00	
17183710253	SMP	1	0.00	0.00	0.00	0.00	
17183718675	SMP	1	0.00	0.00	0.00	0.00	
17183727007	SMP	1	0.00	0.00	0.00	0.00	
17183735369	SMP	1	0.00	0.00	0.00	0.00	
17183743620	SMP	1	0.00	0.00	0.00	0.00	
17183752008	SMP	1	0.00	0.00	0.00	0.00	
17183760365	SMP	1	0.00	0.00	0.00	0.00	
17183768633	SMP	1	0.00	0.00	0.00	0.00	
17183776996	SMP	1	0.00	0.00	0.00	0.00	
17183785388	SMP	1	0.00	0.00	0.00	0.00	
17183793834	SMP	1	0.00	0.00	0.00	0.00	
17183802077	SMP	1	0.00	0.00	0.00	0.00	
17183810407	SMP	1	0.00	0.00	0.00	0.00	
17183818818	SMP	1	0.00	0.00	0.00	0.00	
17183827167	SMP	1	0.00	0.00	0.00	0.00	
17183835418	SMP	1	0.00	0.00	0.00	0.00	
17183843787	SMP	1	0.00	0.00	0.00	0.00	
17183852181	SMP	1	0.00	0.00	0.00	0.00	
17183860491	SMP	1	0.00	0.00	0.00	0.00	
17183868792	SMP	1	0.00	0.00	0.00	0.00	
17183877150	SMP	1	0.00	0.00	0.00	0.00	
17183885486	SMP	1	0.00	0.00	0.00	0.00	
17183893776	SMP	1	0.00	0.00	0.00	0.00	
17183902164	SMP	1	0.00	0.00	0.00	0.00	
17183910533	SMP	1	0.00	0.00	0.00	0.00	
17183918964	SMP	1	0.00	0.00	0.00	0.00	
17183927159	SMP	1	0.00	0.00	0.00	0.00	
17183935536	SMP	1	0.00	0.00	0.00	0.00	
17183943909	SMP	1	0.00	0.00	0.00	0.00	
17183952282	SMP	1	0.00	0.00	0.00	0.00	
17183960530	SMP	1	0.00	0.00	0.00	0.00	
17183968896	SMP	1	0.00	0.00	0.00	0.00	
17183977290	SMP	1	0.00	0.00	0.00	0.00	
17183985658	SMP	1	0.00	0.00	0.00	0.00	
17183993906	SMP	1	0.00	0.00	0.00	0.00	
17184002286	SMP	1	0.00	0.00	0.00	0.00	
17184010656	SMP	1	0.00	0.00	0.00	0.00	
17184018941	SMP	1	0.00	0.00	0.00	0.00	
17184027292	SMP	1	0.00	0.00	0.00	0.00	
17184035656	SMP	1	0.00	0.00	0.00	0.00	
17184044037	SMP	1	0.00	0.00	0.00	0.00	
17184052289	SMP	1	0.00	0.00	0.00	0.00	
17184060648	SMP	1	0.00	0.00	0.00	0.00	
17184069035	SMP	1	0.00	0.00	0.00	0.00	
17184077420	SMP	1	0.00	0.00	0.00	0.00	
17184085665	SMP	1	0.00	0.00	0.00	0.00	
