## [iView]
## Converted from:	D:\Overflow results\simpadultL2\140226-01-L2-eye_data.idf
## Date:	26.02.2014 23:32:32
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	48772                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140226-01-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1254322030	SMP	1	668.42	195.57	668.42	195.57	-1	
1254338661	SMP	1	675.58	236.21	675.58	236.21	-1	
1254346997	SMP	1	885.27	71.39	885.27	71.39	-1	
1254355376	SMP	1	684.66	224.34	684.66	224.34	-1	
1254363634	SMP	1	883.93	71.74	883.93	71.74	-1	
1254371985	SMP	1	885.41	219.61	885.41	219.61	-1	
1254380334	SMP	1	885.87	257.69	885.87	257.69	-1	
1254388784	SMP	1	888.11	292.65	888.11	292.65	-1	
1254396946	SMP	1	888.67	301.00	888.67	301.00	-1	
1254405322	SMP	1	888.01	297.93	888.01	297.93	-1	
1254413704	SMP	1	889.11	267.32	889.11	267.32	-1	
1254422083	SMP	1	888.74	266.56	888.74	266.56	-1	
1254430338	SMP	1	888.69	286.04	888.69	286.04	-1	
1254438713	SMP	1	888.50	281.08	888.50	281.08	-1	
1254447093	SMP	1	887.41	294.74	887.41	294.74	-1	
1254455460	SMP	1	878.09	290.51	878.09	290.51	-1	
1254463723	SMP	1	884.08	291.65	884.08	291.65	-1	
1254472122	SMP	1	888.91	288.02	888.91	288.02	-1	
1254480448	SMP	1	889.03	279.65	889.03	279.65	-1	
1254488863	SMP	1	890.08	278.32	890.08	278.32	-1	
1254497134	SMP	1	884.07	290.85	884.07	290.85	-1	
1254505467	SMP	1	987.60	293.91	987.60	293.91	-1	
1254513884	SMP	1	888.05	322.84	888.05	322.84	-1	
1254522120	SMP	1	895.11	323.67	895.11	323.67	-1	
1254530487	SMP	1	894.05	315.65	894.05	315.65	-1	
1254538864	SMP	1	893.09	305.19	893.09	305.19	-1	
1254547242	SMP	1	895.38	293.15	895.38	293.15	-1	
1254555448	SMP	1	891.47	263.57	891.47	263.57	-1	
1254563864	SMP	1	892.88	253.09	892.88	253.09	-1	
1254572219	SMP	1	893.45	279.09	893.45	279.09	-1	
1254580614	SMP	1	888.17	272.18	888.17	272.18	-1	
1254588827	SMP	1	888.86	319.15	888.86	319.15	-1	
1254597243	SMP	1	889.92	291.11	889.92	291.11	-1	
1254605617	SMP	1	891.34	290.05	891.34	290.05	-1	
1254614017	SMP	1	886.74	280.08	886.74	280.08	-1	
1254622226	SMP	1	877.22	272.67	877.22	272.67	-1	
1254630566	SMP	1	884.14	269.16	884.14	269.16	-1	
1254647190	SMP	1	880.06	294.12	880.06	294.12	-1	
1254655574	SMP	1	876.98	285.11	876.98	285.11	-1	
1254663944	SMP	1	872.27	296.78	872.27	296.78	-1	
1254672315	SMP	1	873.10	288.59	873.10	288.59	-1	
1254680586	SMP	1	864.62	285.85	864.62	285.85	-1	
1254688952	SMP	1	878.18	302.32	878.18	302.32	-1	
1254697339	SMP	1	877.49	285.66	877.49	285.66	-1	
1254705701	SMP	1	692.72	273.38	692.72	273.38	-1	
1254713948	SMP	1	678.67	80.48	678.67	80.48	-1	
1254722314	SMP	1	679.34	61.58	679.34	61.58	-1	
1254730697	SMP	1	664.06	10.81	664.06	10.81	-1	
1254739094	SMP	1	0.00	6.16	0.00	6.16	-1	
1254747326	SMP	1	0.00	4.24	0.00	4.24	-1	
1254764066	SMP	1	0.00	3.21	0.00	3.21	-1	
1254772456	SMP	1	0.00	2.56	0.00	2.56	-1	
1254780685	SMP	1	0.00	2.11	0.00	2.11	-1	
1254789072	SMP	1	0.00	1.79	0.00	1.79	-1	
1254797442	SMP	1	0.00	1.53	0.00	1.53	-1	
1254805700	SMP	1	0.00	1.33	0.00	1.33	-1	
1254814069	SMP	1	0.00	0.99	0.00	0.99	-1	
