## [iView]
## Converted from:	F:\simpleImp\data\raw\140404\140404-02-L2-eye_data.idf
## Date:	04.04.2014 19:17:27
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42393                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140404-02-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
1729717314	SMP	1	0.00	0.00	0.00	0.00	-1	
1729725687	SMP	1	0.00	0.00	0.00	0.00	-1	
1729734060	SMP	1	0.00	0.00	0.00	0.00	-1	
1729742406	SMP	1	0.00	0.00	0.00	0.00	-1	
1729750659	SMP	1	0.00	0.00	0.00	0.00	-1	
1729759027	SMP	1	0.00	0.00	0.00	0.00	-1	
1729767399	SMP	1	0.00	0.00	0.00	0.00	-1	
1729775660	SMP	1	0.00	0.00	0.00	0.00	-1	
1729784055	SMP	1	0.00	0.00	0.00	0.00	-1	
1729792399	SMP	1	0.00	0.00	0.00	0.00	-1	
1729800774	SMP	1	0.00	0.00	0.00	0.00	-1	
1729809027	SMP	1	0.00	0.00	0.00	0.00	-1	
1729817403	SMP	1	0.00	0.00	0.00	0.00	-1	
1729825812	SMP	1	0.00	0.00	0.00	0.00	-1	
1729834152	SMP	1	0.00	0.00	0.00	0.00	-1	
1729842433	SMP	1	0.00	0.00	0.00	0.00	-1	
1729850793	SMP	1	0.00	0.00	0.00	0.00	-1	
1729859230	SMP	1	0.00	0.00	0.00	0.00	-1	
1729867570	SMP	1	0.00	0.00	0.00	0.00	-1	
1729875813	SMP	1	0.00	0.00	0.00	0.00	-1	
1729884155	SMP	1	0.00	0.00	0.00	0.00	-1	
1729892554	SMP	1	0.00	0.00	0.00	0.00	-1	
1729900783	SMP	1	0.00	0.00	0.00	0.00	-1	
1729909144	SMP	1	0.00	0.00	0.00	0.00	-1	
1729917553	SMP	1	0.00	0.00	0.00	0.00	-1	
1729925923	SMP	1	0.00	0.00	0.00	0.00	-1	
1729934176	SMP	1	0.00	0.00	0.00	0.00	-1	
1729942556	SMP	1	0.00	0.00	0.00	0.00	-1	
1729950929	SMP	1	0.00	0.00	0.00	0.00	-1	
1729959260	SMP	1	0.00	0.00	0.00	0.00	-1	
1729967554	SMP	1	0.00	0.00	0.00	0.00	-1	
1729975929	SMP	1	0.00	0.00	0.00	0.00	-1	
1729984279	SMP	1	0.00	0.00	0.00	0.00	-1	
1729992634	SMP	1	0.00	0.00	0.00	0.00	-1	
1730000888	SMP	1	0.00	0.00	0.00	0.00	-1	
1730009252	SMP	1	0.00	0.00	0.00	0.00	-1	
1730017628	SMP	1	0.00	0.00	0.00	0.00	-1	
1730025887	SMP	1	0.00	0.00	0.00	0.00	-1	
1730034271	SMP	1	0.00	0.00	0.00	0.00	-1	
1730042644	SMP	1	0.00	0.00	0.00	0.00	-1	
1730051018	SMP	1	0.00	0.00	0.00	0.00	-1	
1730059254	SMP	1	0.00	0.00	0.00	0.00	-1	
1730067642	SMP	1	0.00	0.00	0.00	0.00	-1	
1730076015	SMP	1	0.00	0.00	0.00	0.00	-1	
1730084386	SMP	1	0.00	0.00	0.00	0.00	-1	
1730092639	SMP	1	0.00	0.00	0.00	0.00	-1	
1730101048	SMP	1	0.00	0.00	0.00	0.00	-1	
1730109376	SMP	1	0.00	0.00	0.00	0.00	-1	
1730117757	SMP	1	0.00	0.00	0.00	0.00	-1	
1730126005	SMP	1	0.00	0.00	0.00	0.00	-1	
1730134388	SMP	1	0.00	0.00	0.00	0.00	-1	
1730142755	SMP	1	0.00	0.00	0.00	0.00	-1	
1730151135	SMP	1	0.00	0.00	0.00	0.00	-1	
1730159389	SMP	1	0.00	0.00	0.00	0.00	-1	
1730167773	SMP	1	0.00	0.00	0.00	0.00	-1	
1730176142	SMP	1	0.00	0.00	0.00	0.00	-1	
1730184384	SMP	1	0.00	0.00	0.00	0.00	-1	
1730192828	SMP	1	0.00	0.00	0.00	0.00	-1	
1730201242	SMP	1	0.00	0.00	0.00	0.00	-1	
1730209549	SMP	1	0.00	0.00	0.00	0.00	-1	
1730217835	SMP	1	0.00	0.00	0.00	0.00	-1	
1730226193	SMP	1	0.00	0.00	0.00	0.00	-1	
1730234593	SMP	1	0.00	0.00	0.00	0.00	-1	
1730242967	SMP	1	0.00	0.00	0.00	0.00	-1	
1730251182	SMP	1	0.00	0.00	0.00	0.00	-1	
1730259532	SMP	1	0.00	0.00	0.00	0.00	-1	
1730267936	SMP	1	89.33	-110.78	89.33	-110.78	-1	
1730276313	SMP	1	268.76	9.39	268.76	9.39	-1	
1730284507	SMP	1	287.15	187.15	287.15	187.15	-1	
1730292910	SMP	1	301.58	328.62	301.58	328.62	-1	
1730301299	SMP	1	360.45	442.71	360.45	442.71	-1	
1730309558	SMP	1	408.69	581.55	408.69	581.55	-1	
1730317925	SMP	1	558.32	703.82	558.32	703.82	-1	
1730326290	SMP	1	530.80	771.08	530.80	771.08	-1	
1730334676	SMP	1	692.44	824.87	692.44	824.87	-1	
1730342921	SMP	1	783.38	973.19	783.38	973.19	-1	
1730351280	SMP	1	572.58	1095.26	572.58	1095.26	-1	
1730359669	SMP	1	689.05	1234.56	689.05	1234.56	-1	
1730368054	SMP	1	0.00	0.00	0.00	0.00	-1	
1730376263	SMP	1	0.00	0.00	0.00	0.00	-1	
1730384696	SMP	1	0.00	0.00	0.00	0.00	-1	
1730393005	SMP	1	0.00	0.00	0.00	0.00	-1	
1730401402	SMP	1	0.00	0.00	0.00	0.00	-1	
1730409637	SMP	1	0.00	0.00	0.00	0.00	-1	
1730418005	SMP	1	0.00	0.00	0.00	0.00	-1	
1730426419	SMP	1	0.00	0.00	0.00	0.00	-1	
1730434660	SMP	1	0.00	0.00	0.00	0.00	-1	
1730443046	SMP	1	0.00	0.00	0.00	0.00	-1	
1730451422	SMP	1	0.00	0.00	0.00	0.00	-1	
1730459794	SMP	1	0.00	0.00	0.00	0.00	-1	
1730468047	SMP	1	0.00	0.00	0.00	0.00	-1	
1730476429	SMP	1	0.00	0.00	0.00	0.00	-1	
1730484795	SMP	1	0.00	0.00	0.00	0.00	-1	
1730493156	SMP	1	0.00	0.00	0.00	0.00	-1	
1730501421	SMP	1	0.00	0.00	0.00	0.00	-1	
1730509742	SMP	1	0.00	0.00	0.00	0.00	-1	
1730518167	SMP	1	0.00	0.00	0.00	0.00	-1	
1730526540	SMP	1	0.00	0.00	0.00	0.00	-1	
1730534868	SMP	1	0.00	0.00	0.00	0.00	-1	
1730543166	SMP	1	0.00	0.00	0.00	0.00	-1	
1730551607	SMP	1	0.00	0.00	0.00	0.00	-1	
1730559960	SMP	1	0.00	0.00	0.00	0.00	-1	
1730568213	SMP	1	0.00	0.00	0.00	0.00	-1	
1730576576	SMP	1	0.00	0.00	0.00	0.00	-1	
1730584979	SMP	1	0.00	0.00	0.00	0.00	-1	
1730593177	SMP	1	0.00	0.00	0.00	0.00	-1	
1730601597	SMP	1	0.00	0.00	0.00	0.00	-1	
1730609928	SMP	1	0.00	0.00	0.00	0.00	-1	
1730618293	SMP	1	0.00	0.00	0.00	0.00	-1	
1730626550	SMP	1	0.00	0.00	0.00	0.00	-1	
1730634928	SMP	1	0.00	0.00	0.00	0.00	-1	
1730643268	SMP	1	0.00	0.00	0.00	0.00	-1	
1730651671	SMP	1	0.00	0.00	0.00	0.00	-1	
1730659919	SMP	1	0.00	0.00	0.00	0.00	-1	
1730668311	SMP	1	0.00	0.00	0.00	0.00	-1	
1730676683	SMP	1	0.00	0.00	0.00	0.00	-1	
1730685066	SMP	1	0.00	0.00	0.00	0.00	-1	
1730693294	SMP	1	0.00	0.00	0.00	0.00	-1	
1730701625	SMP	1	0.00	0.00	0.00	0.00	-1	
1730710011	SMP	1	0.00	0.00	0.00	0.00	-1	
1730718298	SMP	1	0.00	0.00	0.00	0.00	-1	
1730726682	SMP	1	0.00	0.00	0.00	0.00	-1	
1730735083	SMP	1	0.00	0.00	0.00	0.00	-1	
1730743446	SMP	1	0.00	0.00	0.00	0.00	-1	
1730751707	SMP	1	0.00	0.00	0.00	0.00	-1	
1731161825	MSG	1	# Message: elmo_tapping1.avi
1731168798	SMP	1	662.34	733.77	662.34	733.77	-1	
1731177171	SMP	1	653.01	712.68	653.01	712.68	-1	
1731185574	SMP	1	646.00	683.11	646.00	683.11	-1	
1731193846	SMP	1	645.72	670.16	645.72	670.16	-1	
1731202218	SMP	1	644.14	660.87	644.14	660.87	-1	
1731210558	SMP	1	635.54	660.29	635.54	660.29	-1	
1731218913	SMP	1	638.36	651.40	638.36	651.40	-1	
1731227285	SMP	1	640.19	651.28	640.19	651.28	-1	
1731235563	SMP	1	635.78	650.56	635.78	650.56	-1	
1731243957	SMP	1	633.45	652.35	633.45	652.35	-1	
1731252166	SMP	1	632.65	648.84	632.65	648.84	-1	
1731261372	SMP	1	630.91	648.68	630.91	648.68	-1	
1731268905	SMP	1	631.05	648.06	631.05	648.06	-1	
1731277287	SMP	1	632.95	648.52	632.95	648.52	-1	
1731285549	SMP	1	631.14	649.60	631.14	649.60	-1	
1731293970	SMP	1	629.64	651.10	629.64	651.10	-1	
1731302328	SMP	1	633.89	653.54	633.89	653.54	-1	
1731310706	SMP	1	632.47	656.06	632.47	656.06	-1	
1731318901	SMP	1	628.31	658.40	628.31	658.40	-1	
1731327328	SMP	1	629.86	664.32	629.86	664.32	-1	
1731335735	SMP	1	627.96	660.42	627.96	660.42	-1	
1731344074	SMP	1	629.30	662.98	629.30	662.98	-1	
1731352308	SMP	1	628.42	662.79	628.42	662.79	-1	
1731360998	SMP	1	627.83	660.62	627.83	660.62	-1	
1731369088	SMP	1	627.06	654.87	627.06	654.87	-1	
1731377459	SMP	1	627.95	651.20	627.95	651.20	-1	
1731385704	SMP	1	628.35	648.00	628.35	648.00	-1	
1731394106	SMP	1	627.08	648.59	627.08	648.59	-1	
1731402381	SMP	1	627.41	643.84	627.41	643.84	-1	
1731410674	SMP	1	628.76	646.02	628.76	646.02	-1	
1731419072	SMP	1	632.16	642.73	632.16	642.73	-1	
1731427447	SMP	1	627.27	643.63	627.27	643.63	-1	
1731435822	SMP	1	628.77	640.47	628.77	640.47	-1	
1731444065	SMP	1	629.55	641.82	629.55	641.82	-1	
1731452411	SMP	1	630.18	642.93	630.18	642.93	-1	
1731460824	SMP	1	630.03	647.34	630.03	647.34	-1	
1731469207	SMP	1	601.21	628.41	601.21	628.41	-1	
1731477438	SMP	1	394.16	419.33	394.16	419.33	-1	
1731485819	SMP	1	379.53	501.55	379.53	501.55	-1	
1731494242	SMP	1	284.73	422.57	284.73	422.57	-1	
1731502594	SMP	1	242.23	333.88	242.23	333.88	-1	
1731510802	SMP	1	192.04	329.25	192.04	329.25	-1	
1731519194	SMP	1	215.19	258.60	215.19	258.60	-1	
1731527628	SMP	1	197.88	306.77	197.88	306.77	-1	
1731535829	SMP	1	187.22	293.52	187.22	293.52	-1	
1731544214	SMP	1	184.22	295.62	184.22	295.62	-1	
1731552551	SMP	1	188.84	300.72	188.84	300.72	-1	
1731560971	SMP	1	196.02	286.93	196.02	286.93	-1	
1731569187	SMP	1	189.11	300.62	189.11	300.62	-1	
1731577646	SMP	1	196.91	295.43	196.91	295.43	-1	
1731585967	SMP	1	192.42	290.79	192.42	290.79	-1	
1731594329	SMP	1	185.85	312.63	185.85	312.63	-1	
1731602533	SMP	1	179.35	342.41	179.35	342.41	-1	
1731610939	SMP	1	178.95	331.05	178.95	331.05	-1	
1731619288	SMP	1	175.91	352.17	175.91	352.17	-1	
1731627716	SMP	1	184.74	292.47	184.74	292.47	-1	
1731635949	SMP	1	186.38	330.83	186.38	330.83	-1	
1731644289	SMP	1	180.43	319.82	180.43	319.82	-1	
1731652696	SMP	1	181.34	325.07	181.34	325.07	-1	
1731660975	SMP	1	186.10	346.88	186.10	346.88	-1	
1731669348	SMP	1	181.60	334.66	181.60	334.66	-1	
1731677628	SMP	1	200.06	328.33	200.06	328.33	-1	
1731686060	SMP	1	191.90	329.98	191.90	329.98	-1	
1731694382	SMP	1	194.94	319.25	194.94	319.25	-1	
1731702693	SMP	1	189.57	324.35	189.57	324.35	-1	
1731711069	SMP	1	209.58	322.59	209.58	322.59	-1	
1731719452	SMP	1	245.13	321.90	245.13	321.90	-1	
1731727726	SMP	1	227.29	327.45	227.29	327.45	-1	
1731736067	SMP	1	229.96	325.34	229.96	325.34	-1	
1731744430	SMP	1	227.76	315.21	227.76	315.21	-1	
1731752798	SMP	1	122.70	355.22	122.70	355.22	-1	
1731761093	SMP	1	232.30	302.17	232.30	302.17	-1	
1731769479	SMP	1	220.43	248.67	220.43	248.67	-1	
1731777806	SMP	1	245.69	171.30	245.69	171.30	-1	
1731786177	SMP	1	243.38	157.82	243.38	157.82	-1	
1731794432	SMP	1	59.38	227.81	59.38	227.81	-1	
1731802776	SMP	1	291.30	185.74	291.30	185.74	-1	
1731811207	SMP	1	279.26	279.03	279.26	279.03	-1	
1731819427	SMP	1	270.84	217.49	270.84	217.49	-1	
1731827829	SMP	1	263.02	192.51	263.02	192.51	-1	
1731836193	SMP	1	277.52	225.92	277.52	225.92	-1	
1731844579	SMP	1	283.52	209.63	283.52	209.63	-1	
1731852806	SMP	1	273.75	208.52	273.75	208.52	-1	
1731861228	SMP	1	253.36	214.25	253.36	214.25	-1	
1731869584	SMP	1	242.86	211.00	242.86	211.00	-1	
1731877929	SMP	1	216.50	213.70	216.50	213.70	-1	
1731886178	SMP	1	230.02	205.80	230.02	205.80	-1	
1731894581	SMP	1	223.59	203.34	223.59	203.34	-1	
1731902943	SMP	1	225.54	167.66	225.54	167.66	-1	
1731911288	SMP	1	209.31	196.92	209.31	196.92	-1	
1731919577	SMP	1	216.46	190.16	216.46	190.16	-1	
1731927961	SMP	1	211.66	197.83	211.66	197.83	-1	
1731936333	SMP	1	211.40	198.30	211.40	198.30	-1	
1731944586	SMP	1	209.48	221.65	209.48	221.65	-1	
1731952916	SMP	1	212.07	211.22	212.07	211.22	-1	
1731961330	SMP	1	208.18	221.22	208.18	221.22	-1	
1731969658	SMP	1	207.97	217.30	207.97	217.30	-1	
1731977967	SMP	1	209.04	189.28	209.04	189.28	-1	
1731986322	SMP	1	213.46	177.61	213.46	177.61	-1	
1731994723	SMP	1	211.39	173.97	211.39	173.97	-1	
1732003043	SMP	1	211.99	205.59	211.99	205.59	-1	
1732011283	SMP	1	216.67	202.71	216.67	202.71	-1	
1732019691	SMP	1	214.47	225.88	214.47	225.88	-1	
1732028066	SMP	1	213.48	227.32	213.48	227.32	-1	
1732036410	SMP	1	213.69	221.34	213.69	221.34	-1	
1732044671	SMP	1	207.25	230.14	207.25	230.14	-1	
1732053031	SMP	1	216.67	241.26	216.67	241.26	-1	
1732061461	SMP	1	215.00	235.14	215.00	235.14	-1	
1732069705	SMP	1	220.54	228.46	220.54	228.46	-1	
1732078049	SMP	1	219.92	232.01	219.92	232.01	-1	
1732086426	SMP	1	223.65	239.50	223.65	239.50	-1	
1732094823	SMP	1	221.82	240.71	221.82	240.71	-1	
1732103073	SMP	1	224.92	236.79	224.92	236.79	-1	
1732111418	SMP	1	222.38	231.91	222.38	231.91	-1	
1732119786	SMP	1	220.84	229.52	220.84	229.52	-1	
1732128178	SMP	1	226.76	233.52	226.76	233.52	-1	
1732136437	SMP	1	227.01	230.07	227.01	230.07	-1	
1732144838	SMP	1	226.79	232.05	226.79	232.05	-1	
1732153157	SMP	1	226.45	229.79	226.45	229.79	-1	
1732161598	SMP	1	222.62	228.40	222.62	228.40	-1	
1732169824	SMP	1	220.36	231.71	220.36	231.71	-1	
1732178208	SMP	1	219.62	228.16	219.62	228.16	-1	
1732186529	SMP	1	222.57	232.55	222.57	232.55	-1	
1732194827	SMP	1	222.60	231.94	222.60	231.94	-1	
