## [iView]
## Converted from:	F:\simpleImp\data\140418-08-L1-eye_data.idf
## Date:	18.04.2014 19:26:27
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	40146                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140418-08-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
8057266453	SMP	1	0.00	0.00	0.00	0.00	-1	
8057316631	SMP	1	0.00	0.00	0.00	0.00	-1	
8057366602	SMP	1	0.00	0.00	0.00	0.00	-1	
8057416529	SMP	1	0.00	0.00	0.00	0.00	-1	
8057466564	SMP	1	0.00	0.00	0.00	0.00	-1	
8057516628	SMP	1	0.00	0.00	0.00	0.00	-1	
8057566584	SMP	1	0.00	0.00	0.00	0.00	-1	
8057616708	SMP	1	0.00	0.00	0.00	0.00	-1	
8057666773	SMP	1	0.00	0.00	0.00	0.00	-1	
8057716666	SMP	1	0.00	0.00	0.00	0.00	-1	
8057766662	SMP	1	0.00	0.00	0.00	0.00	-1	
8057816736	SMP	1	0.00	0.00	0.00	0.00	-1	
8057866928	SMP	1	0.00	0.00	0.00	0.00	-1	
8057916853	SMP	1	0.00	0.00	0.00	0.00	-1	
8057966912	SMP	1	0.00	0.00	0.00	0.00	-1	
8058016879	SMP	1	0.00	0.00	0.00	0.00	-1	
8058066888	SMP	1	0.00	0.00	0.00	0.00	-1	
8058117048	SMP	1	0.00	0.00	0.00	0.00	-1	
8058167057	SMP	1	0.00	0.00	0.00	0.00	-1	
8058216979	SMP	1	0.00	0.00	0.00	0.00	-1	
8058267008	SMP	1	0.00	0.00	0.00	0.00	-1	
8058317095	SMP	1	0.00	0.00	0.00	0.00	-1	
8058775159	MSG	1	# Message: elmo_duck.avi
8058817449	SMP	1	0.00	0.00	0.00	0.00	-1	
8058890200	SMP	1	0.00	0.00	0.00	0.00	-1	
8058898365	SMP	1	0.00	0.00	0.00	0.00	-1	
8058906604	SMP	1	0.00	0.00	0.00	0.00	-1	
8058914954	SMP	1	0.00	0.00	0.00	0.00	-1	
8058923331	SMP	1	0.00	0.00	0.00	0.00	-1	
8058931672	SMP	1	0.00	0.00	0.00	0.00	-1	
8058940024	SMP	1	0.00	0.00	0.00	0.00	-1	
8058948327	SMP	1	0.00	0.00	0.00	0.00	-1	
8058956686	SMP	1	0.00	0.00	0.00	0.00	-1	
8058965065	SMP	1	0.00	0.00	0.00	0.00	-1	
8058973383	SMP	1	0.00	0.00	0.00	0.00	-1	
8058981730	SMP	1	0.00	0.00	0.00	0.00	-1	
8058990067	SMP	1	0.00	0.00	0.00	0.00	-1	
8058998459	SMP	1	0.00	0.00	0.00	0.00	-1	
8059006816	SMP	1	0.00	0.00	0.00	0.00	-1	
8059015113	SMP	1	0.00	0.00	0.00	0.00	-1	
8059023449	SMP	1	0.00	0.00	0.00	0.00	-1	
8059031726	SMP	1	0.00	0.00	0.00	0.00	-1	
8059040628	SMP	1	0.00	0.00	0.00	0.00	-1	
8059048484	SMP	1	0.00	0.00	0.00	0.00	-1	
8059056859	SMP	1	0.00	0.00	0.00	0.00	-1	
8059065089	SMP	1	0.00	0.00	0.00	0.00	-1	
8059073502	SMP	1	0.00	0.00	0.00	0.00	-1	
8059081876	SMP	1	0.00	0.00	0.00	0.00	-1	
8059090208	SMP	1	0.00	0.00	0.00	0.00	-1	
8059098459	SMP	1	0.00	0.00	0.00	0.00	-1	
8059106872	SMP	1	0.00	0.00	0.00	0.00	-1	
8059115214	SMP	1	0.00	0.00	0.00	0.00	-1	
8059123582	SMP	1	0.00	0.00	0.00	0.00	-1	
8059131781	SMP	1	0.00	0.00	0.00	0.00	-1	
8059140208	SMP	1	0.00	0.00	0.00	0.00	-1	
8059148592	SMP	1	0.00	0.00	0.00	0.00	-1	
8059156916	SMP	1	0.00	0.00	0.00	0.00	-1	
8059165159	SMP	1	0.00	0.00	0.00	0.00	-1	
8059173582	SMP	1	0.00	0.00	0.00	0.00	-1	
8059181944	SMP	1	0.00	0.00	0.00	0.00	-1	
8059190179	SMP	1	0.00	0.00	0.00	0.00	-1	
8059198811	SMP	1	0.00	0.00	0.00	0.00	-1	
8059207527	SMP	1	0.00	0.00	0.00	0.00	-1	
8059215373	SMP	1	0.00	0.00	0.00	0.00	-1	
8059223584	SMP	1	0.00	0.00	0.00	0.00	-1	
8059231944	SMP	1	0.00	0.00	0.00	0.00	-1	
8059240337	SMP	1	0.00	0.00	0.00	0.00	-1	
8059248910	SMP	1	0.00	0.00	0.00	0.00	-1	
8059256928	SMP	1	0.00	0.00	0.00	0.00	-1	
8059265314	SMP	1	0.00	0.00	0.00	0.00	-1	
8059273699	SMP	1	0.00	0.00	0.00	0.00	-1	
8059282104	SMP	1	0.00	0.00	0.00	0.00	-1	
8059290303	SMP	1	0.00	0.00	0.00	0.00	-1	
8059298802	SMP	1	0.00	0.00	0.00	0.00	-1	
8059307087	SMP	1	0.00	0.00	0.00	0.00	-1	
8059315349	SMP	1	0.00	0.00	0.00	0.00	-1	
8059323710	SMP	1	0.00	0.00	0.00	0.00	-1	
8059332069	SMP	1	0.00	0.00	0.00	0.00	-1	
8059340726	SMP	1	0.00	0.00	0.00	0.00	-1	
8059348721	SMP	1	0.00	0.00	0.00	0.00	-1	
8059357064	SMP	1	0.00	0.00	0.00	0.00	-1	
8059365428	SMP	1	0.00	0.00	0.00	0.00	-1	
8059373852	SMP	1	0.00	0.00	0.00	0.00	-1	
8059382103	SMP	1	0.00	0.00	0.00	0.00	-1	
8059390420	SMP	1	0.00	0.00	0.00	0.00	-1	
8059398914	SMP	1	0.00	0.00	0.00	0.00	-1	
8059407860	SMP	1	0.00	0.00	0.00	0.00	-1	
8059415459	SMP	1	0.00	0.00	0.00	0.00	-1	
8059423946	SMP	1	0.00	0.00	0.00	0.00	-1	
8059432218	SMP	1	0.00	0.00	0.00	0.00	-1	
8059441002	SMP	1	0.00	0.00	0.00	0.00	-1	
8059448889	SMP	1	0.00	0.00	0.00	0.00	-1	
8059457214	SMP	1	0.00	0.00	0.00	0.00	-1	
8059465637	SMP	1	0.00	0.00	0.00	0.00	-1	
8059473820	SMP	1	0.00	0.00	0.00	0.00	-1	
8059482228	SMP	1	0.00	0.00	0.00	0.00	-1	
8059490551	SMP	1	0.00	0.00	0.00	0.00	-1	
8059498927	SMP	1	0.00	0.00	0.00	0.00	-1	
8059507223	SMP	1	0.00	0.00	0.00	0.00	-1	
8059515597	SMP	1	0.00	0.00	0.00	0.00	-1	
8059523923	SMP	1	0.00	0.00	0.00	0.00	-1	
8059532348	SMP	1	0.00	0.00	0.00	0.00	-1	
8059540593	SMP	1	0.00	0.00	0.00	0.00	-1	
8059548950	SMP	1	0.00	0.00	0.00	0.00	-1	
8059557304	SMP	1	0.00	0.00	0.00	0.00	-1	
8059565683	SMP	1	0.00	0.00	0.00	0.00	-1	
8059573959	SMP	1	0.00	0.00	0.00	0.00	-1	
8059582342	SMP	1	0.00	0.00	0.00	0.00	-1	
8059590671	SMP	1	0.00	0.00	0.00	0.00	-1	
8059598946	SMP	1	0.00	0.00	0.00	0.00	-1	
8059607887	SMP	1	0.00	0.00	0.00	0.00	-1	
8059615763	SMP	1	0.00	0.00	0.00	0.00	-1	
8059624063	SMP	1	0.00	0.00	0.00	0.00	-1	
8059632327	SMP	1	0.00	0.00	0.00	0.00	-1	
8059640702	SMP	1	0.00	0.00	0.00	0.00	-1	
8059649075	SMP	1	0.00	0.00	0.00	0.00	-1	
8059657466	SMP	1	0.00	0.00	0.00	0.00	-1	
8059665701	SMP	1	0.00	0.00	0.00	0.00	-1	
8059674382	SMP	1	0.00	0.00	0.00	0.00	-1	
8059682471	SMP	1	0.00	0.00	0.00	0.00	-1	
8059690669	SMP	1	0.00	0.00	0.00	0.00	-1	
8059699061	SMP	1	0.00	0.00	0.00	0.00	-1	
8059707452	SMP	1	0.00	0.00	0.00	0.00	-1	
8059715892	SMP	1	0.00	0.00	0.00	0.00	-1	
8059724077	SMP	1	0.00	0.00	0.00	0.00	-1	
8059732414	SMP	1	0.00	0.00	0.00	0.00	-1	
8059740835	SMP	1	0.00	0.00	0.00	0.00	-1	
8059749223	SMP	1	0.00	0.00	0.00	0.00	-1	
8059757448	SMP	1	0.00	0.00	0.00	0.00	-1	
8059765808	SMP	1	0.00	0.00	0.00	0.00	-1	
8059774155	SMP	1	0.00	0.00	0.00	0.00	-1	
8059782659	SMP	1	0.00	0.00	0.00	0.00	-1	
8059790799	SMP	1	0.00	0.00	0.00	0.00	-1	
8059799203	SMP	1	0.00	0.00	0.00	0.00	-1	
8059807673	SMP	1	0.00	0.00	0.00	0.00	-1	
8059815962	SMP	1	0.00	0.00	0.00	0.00	-1	
8059824194	SMP	1	0.00	0.00	0.00	0.00	-1	
8059832585	SMP	1	0.00	0.00	0.00	0.00	-1	
8059840916	SMP	1	0.00	0.00	0.00	0.00	-1	
8059849346	SMP	1	0.00	0.00	0.00	0.00	-1	
8059857569	SMP	1	0.00	0.00	0.00	0.00	-1	
8059865966	SMP	1	0.00	0.00	0.00	0.00	-1	
8059874337	SMP	1	0.00	0.00	0.00	0.00	-1	
8059882600	SMP	1	0.00	0.00	0.00	0.00	-1	
8059890879	SMP	1	0.00	0.00	0.00	0.00	-1	
8059899267	SMP	1	0.00	0.00	0.00	0.00	-1	
8059907689	SMP	1	0.00	0.00	0.00	0.00	-1	
8059915974	SMP	1	0.00	0.00	0.00	0.00	-1	
8059924316	SMP	1	0.00	0.00	0.00	0.00	-1	
8059932693	SMP	1	0.00	0.00	0.00	0.00	-1	
8059941094	SMP	1	0.00	0.00	0.00	0.00	-1	
8059949323	SMP	1	0.00	0.00	0.00	0.00	-1	
8059957730	SMP	1	0.00	0.00	0.00	0.00	-1	
8059966150	SMP	1	0.00	0.00	0.00	0.00	-1	
8059974457	SMP	1	0.00	0.00	0.00	0.00	-1	
8059982831	SMP	1	0.00	0.00	0.00	0.00	-1	
8059991079	SMP	1	0.00	0.00	0.00	0.00	-1	
8059999453	SMP	1	0.00	0.00	0.00	0.00	-1	
8060007805	SMP	1	0.00	0.00	0.00	0.00	-1	
8060016086	SMP	1	0.00	0.00	0.00	0.00	-1	
8060024418	SMP	1	0.00	0.00	0.00	0.00	-1	
8060032842	SMP	1	0.00	0.00	0.00	0.00	-1	
8060041074	SMP	1	0.00	0.00	0.00	0.00	-1	
8060049466	SMP	1	0.00	0.00	0.00	0.00	-1	
8060057849	SMP	1	0.00	0.00	0.00	0.00	-1	
8060066194	SMP	1	0.00	0.00	0.00	0.00	-1	
8060074449	SMP	1	0.00	0.00	0.00	0.00	-1	
8060082840	SMP	1	0.00	0.00	0.00	0.00	-1	
8060091203	SMP	1	0.00	0.00	0.00	0.00	-1	
8060099579	SMP	1	0.00	0.00	0.00	0.00	-1	
8060107852	SMP	1	0.00	0.00	0.00	0.00	-1	
8060116189	SMP	1	0.00	0.00	0.00	0.00	-1	
8060124567	SMP	1	0.00	0.00	0.00	0.00	-1	
8060132796	SMP	1	0.00	0.00	0.00	0.00	-1	
8060141199	SMP	1	0.00	0.00	0.00	0.00	-1	
8060149558	SMP	1	0.00	0.00	0.00	0.00	-1	
8060157915	SMP	1	0.00	0.00	0.00	0.00	-1	
8060166172	SMP	1	0.00	0.00	0.00	0.00	-1	
8060175471	SMP	1	0.00	0.00	0.00	0.00	-1	
8060182947	SMP	1	0.00	0.00	0.00	0.00	-1	
8060191313	SMP	1	0.00	0.00	0.00	0.00	-1	
8060199577	SMP	1	0.00	0.00	0.00	0.00	-1	
8060208253	SMP	1	0.00	0.00	0.00	0.00	-1	
8060216355	SMP	1	0.00	0.00	0.00	0.00	-1	
8060224715	SMP	1	0.00	0.00	0.00	0.00	-1	
8060232955	SMP	1	0.00	0.00	0.00	0.00	-1	
8060241321	SMP	1	0.00	0.00	0.00	0.00	-1	
8060249720	SMP	1	0.00	0.00	0.00	0.00	-1	
8060257933	SMP	1	0.00	0.00	0.00	0.00	-1	
