## [iView]
## Converted from:	H:\simpleImp\data\140502-13-L1-eye_data.idf
## Date:	02.05.2014 20:24:01
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	38448                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140502-13-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
10627143587	SMP	1	586.87	1215.40	586.87	1215.40	-1	
10627151961	SMP	1	593.08	1227.86	593.08	1227.86	-1	
10627160342	SMP	1	591.75	1173.62	591.75	1173.62	-1	
10627168703	SMP	1	586.76	1211.27	586.76	1211.27	-1	
10627176988	SMP	1	588.61	1224.74	588.61	1224.74	-1	
10627185294	SMP	1	583.87	1241.27	583.87	1241.27	-1	
10627193675	SMP	1	499.93	1254.40	499.93	1254.40	-1	
10627202064	SMP	1	488.90	1269.14	488.90	1269.14	-1	
10627210351	SMP	1	566.56	1273.90	566.56	1273.90	-1	
10627218700	SMP	1	535.78	1269.60	535.78	1269.60	-1	
10627227036	SMP	1	552.35	1287.49	552.35	1287.49	-1	
10627235289	SMP	1	530.58	1291.01	530.58	1291.01	-1	
10627243671	SMP	1	506.02	1289.90	506.02	1289.90	-1	
10627252028	SMP	1	501.04	1290.20	501.04	1290.20	-1	
10627260421	SMP	1	495.54	1297.27	495.54	1297.27	-1	
10627268663	SMP	1	476.17	1295.64	476.17	1295.64	-1	
10627277051	SMP	1	488.11	1279.44	488.11	1279.44	-1	
10627285434	SMP	1	494.47	1282.31	494.47	1282.31	-1	
10627293824	SMP	1	489.21	1293.70	489.21	1293.70	-1	
10627302117	SMP	1	490.45	1292.81	490.45	1292.81	-1	
10627310459	SMP	1	490.39	1297.78	490.39	1297.78	-1	
10627318819	SMP	1	487.53	1295.08	487.53	1295.08	-1	
10627327212	SMP	1	486.28	1295.31	486.28	1295.31	-1	
10627335452	SMP	1	488.93	1065.52	488.93	1065.52	-1	
10627343835	SMP	1	492.15	1292.12	492.15	1292.12	-1	
10627352206	SMP	1	0.00	0.00	0.00	0.00	-1	
10627360579	SMP	1	0.00	0.00	0.00	0.00	-1	
10627368831	SMP	1	494.50	1230.66	494.50	1230.66	-1	
10627377205	SMP	1	496.52	1294.85	496.52	1294.85	-1	
10627385530	SMP	1	499.30	1230.49	499.30	1230.49	-1	
10627393829	SMP	1	0.00	0.00	0.00	0.00	-1	
10627402182	SMP	1	501.93	1222.11	501.93	1222.11	-1	
10627410580	SMP	1	504.85	1296.66	504.85	1296.66	-1	
10627418969	SMP	1	504.91	1221.95	504.91	1221.95	-1	
10627427183	SMP	1	502.00	1225.50	502.00	1225.50	-1	
10627435529	SMP	1	538.96	1213.55	538.96	1213.55	-1	
10627443908	SMP	1	495.22	1085.71	495.22	1085.71	-1	
10627452280	SMP	1	512.34	957.22	512.34	957.22	-1	
10627460529	SMP	1	545.93	821.01	545.93	821.01	-1	
10627468910	SMP	1	566.22	709.10	566.22	709.10	-1	
10627477298	SMP	1	633.09	623.54	633.09	623.54	-1	
10627485657	SMP	1	630.17	598.04	630.17	598.04	-1	
10627493905	SMP	1	622.45	567.89	622.45	567.89	-1	
10627502278	SMP	1	629.35	563.31	629.35	563.31	-1	
10627510656	SMP	1	630.47	563.81	630.47	563.81	-1	
10627518900	SMP	1	635.65	564.84	635.65	564.84	-1	
10627527278	SMP	1	634.93	559.51	634.93	559.51	-1	
10627535652	SMP	1	635.61	559.48	635.61	559.48	-1	
10627544027	SMP	1	636.31	571.34	636.31	571.34	-1	
10627552268	SMP	1	636.71	567.33	636.71	567.33	-1	
10627560649	SMP	1	638.94	560.34	638.94	560.34	-1	
10627569022	SMP	1	639.57	559.99	639.57	559.99	-1	
10627577397	SMP	1	639.64	557.07	639.64	557.07	-1	
10627585650	SMP	1	640.07	559.37	640.07	559.37	-1	
10627594032	SMP	1	642.35	565.86	642.35	565.86	-1	
10627602394	SMP	1	633.88	563.59	633.88	563.59	-1	
10627610779	SMP	1	628.80	563.46	628.80	563.46	-1	
10627619046	SMP	1	637.51	564.22	637.51	564.22	-1	
10627627407	SMP	1	638.41	562.51	638.41	562.51	-1	
10627635918	SMP	1	634.53	554.37	634.53	554.37	-1	
10627644123	SMP	1	637.30	556.43	637.30	556.43	-1	
10627652457	SMP	1	637.60	557.96	637.60	557.96	-1	
10627660956	SMP	1	640.17	558.85	640.17	558.85	-1	
10627669241	SMP	1	642.48	561.63	642.48	561.63	-1	
10627677453	SMP	1	643.95	562.89	643.95	562.89	-1	
10627685842	SMP	1	642.51	565.25	642.51	565.25	-1	
10627694190	SMP	1	643.99	564.93	643.99	564.93	-1	
10627702549	SMP	1	642.84	561.67	642.84	561.67	-1	
10627710830	SMP	1	597.67	566.31	597.67	566.31	-1	
10627719202	SMP	1	467.71	574.26	467.71	574.26	-1	
10627727573	SMP	1	460.02	579.03	460.02	579.03	-1	
10627735953	SMP	1	441.77	576.65	441.77	576.65	-1	
10627744200	SMP	1	437.39	572.07	437.39	572.07	-1	
10627752571	SMP	1	433.31	571.77	433.31	571.77	-1	
10627760943	SMP	1	436.07	574.33	436.07	574.33	-1	
10627769294	SMP	1	430.01	581.41	430.01	581.41	-1	
10627777524	SMP	1	427.66	576.50	427.66	576.50	-1	
10627785904	SMP	1	428.74	586.40	428.74	586.40	-1	
10627794336	SMP	1	431.40	590.88	431.40	590.88	-1	
10627802552	SMP	1	429.25	586.07	429.25	586.07	-1	
10627810946	SMP	1	426.87	585.37	426.87	585.37	-1	
10627819319	SMP	1	427.23	585.88	427.23	585.88	-1	
10627827698	SMP	1	428.48	583.91	428.48	583.91	-1	
10627835943	SMP	1	429.25	587.53	429.25	587.53	-1	
10627844346	SMP	1	429.44	587.04	429.44	587.04	-1	
10627852693	SMP	1	429.52	589.00	429.52	589.00	-1	
10627861039	SMP	1	430.91	586.03	430.91	586.03	-1	
10627869316	SMP	1	430.61	583.50	430.61	583.50	-1	
10627877673	SMP	1	432.03	580.43	432.03	580.43	-1	
10627886068	SMP	1	431.49	579.96	431.49	579.96	-1	
10627894440	SMP	1	430.88	575.26	430.88	575.26	-1	
10627902692	SMP	1	430.03	572.29	430.03	572.29	-1	
10627911069	SMP	1	427.54	569.95	427.54	569.95	-1	
10627919441	SMP	1	423.14	565.33	423.14	565.33	-1	
10627927710	SMP	1	425.83	563.69	425.83	563.69	-1	
10627936066	SMP	1	423.67	564.19	423.67	564.19	-1	
10627944446	SMP	1	421.34	561.19	421.34	561.19	-1	
10627952775	SMP	1	417.51	560.23	417.51	560.23	-1	
10627961122	SMP	1	417.24	559.87	417.24	559.87	-1	
10627969466	SMP	1	414.21	559.43	414.21	559.43	-1	
10627977844	SMP	1	413.30	562.36	413.30	562.36	-1	
10627986227	SMP	1	410.35	564.59	410.35	564.59	-1	
10627994459	SMP	1	409.99	568.28	409.99	568.28	-1	
10628002835	SMP	1	412.66	571.55	412.66	571.55	-1	
10628011251	SMP	1	414.19	572.03	414.19	572.03	-1	
