## [iView]
## Converted from:	D:\Recorded Data\simpkidL1\140509-01-L1-1-eye_data.idf
## Date:	09.05.2014 17:58:00
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	40237                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140509-01-L1                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
2194474211	SMP	1	805.59	-20.94	805.59	-20.94	
2194482448	SMP	1	810.53	-26.33	810.53	-26.33	
2194490785	SMP	1	817.87	-29.77	817.87	-29.77	
2194499265	SMP	1	802.29	-30.77	802.29	-30.77	
2194507530	SMP	1	807.62	-22.34	807.62	-22.34	
2194515776	SMP	1	808.96	-51.41	808.96	-51.41	
2194524150	SMP	1	808.47	-37.43	808.47	-37.43	
2194532521	SMP	1	804.41	-41.96	804.41	-41.96	
2194540899	SMP	1	807.21	-17.89	807.21	-17.89	
2194549154	SMP	1	816.12	141.40	816.12	141.40	
2194557515	SMP	1	822.75	241.27	822.75	241.27	
2194565893	SMP	1	814.38	207.11	814.38	207.11	
2194574162	SMP	1	833.21	201.35	833.21	201.35	
2194582531	SMP	1	843.83	225.52	843.83	225.52	
2194590905	SMP	1	856.37	289.08	856.37	289.08	
2194599262	SMP	1	858.11	252.32	858.11	252.32	
2194607563	SMP	1	872.40	226.00	872.40	226.00	
2194615957	SMP	1	857.68	238.41	857.68	238.41	
2194624303	SMP	1	840.93	232.35	840.93	232.35	
2194632650	SMP	1	929.04	240.04	929.04	240.04	
2194640939	SMP	1	866.60	244.50	866.60	244.50	
2194649306	SMP	1	856.18	250.85	856.18	250.85	
2194657635	SMP	1	862.64	236.38	862.64	236.38	
2194666013	SMP	1	917.61	259.94	917.61	259.94	
2194674313	SMP	1	871.79	225.71	871.79	225.71	
2194682680	SMP	1	857.25	235.01	857.25	235.01	
