## [iView]
## Converted from:	D:\Recorded Data\simpkidL2\140716-07-L2-eye_data.idf
## Date:	16.07.2014 20:55:44
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42771                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140716-07-L2                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
8325790052	SMP	1	0.00	0.00	0.00	0.00	
8325956467	SMP	1	0.00	0.00	0.00	0.00	
8326006209	SMP	1	0.00	0.00	0.00	0.00	
8326056190	SMP	1	0.00	0.00	0.00	0.00	
8326106262	SMP	1	0.00	0.00	0.00	0.00	
8326156273	SMP	1	0.00	0.00	0.00	0.00	
8326206321	SMP	1	0.00	0.00	0.00	0.00	
8326256216	SMP	1	0.00	0.00	0.00	0.00	
8326306453	SMP	1	0.00	0.00	0.00	0.00	
8326356396	SMP	1	0.00	0.00	0.00	0.00	
8326406422	SMP	1	0.00	0.00	0.00	0.00	
8326456354	SMP	1	0.00	0.00	0.00	0.00	
8326506459	SMP	1	0.00	0.00	0.00	0.00	
8326556430	SMP	1	0.00	0.00	0.00	0.00	
8326606559	SMP	1	0.00	0.00	0.00	0.00	
8326656529	SMP	1	0.00	0.00	0.00	0.00	
8326706542	SMP	1	0.00	0.00	0.00	0.00	
8326756557	SMP	1	0.00	0.00	0.00	0.00	
8326806660	SMP	1	0.00	0.00	0.00	0.00	
8326879479	SMP	1	0.00	0.00	0.00	0.00	
8326887655	SMP	1	0.00	0.00	0.00	0.00	
8326895907	SMP	1	0.00	0.00	0.00	0.00	
8326904220	SMP	1	0.00	0.00	0.00	0.00	
8326912651	SMP	1	0.00	0.00	0.00	0.00	
8326921026	SMP	1	0.00	0.00	0.00	0.00	
8326929276	SMP	1	0.00	0.00	0.00	0.00	
8326937608	SMP	1	0.00	0.00	0.00	0.00	
8326946028	SMP	1	0.00	0.00	0.00	0.00	
8326954273	SMP	1	0.00	0.00	0.00	0.00	
8326962657	SMP	1	0.00	0.00	0.00	0.00	
8326971029	SMP	1	0.00	0.00	0.00	0.00	
8326979373	SMP	1	0.00	0.00	0.00	0.00	
8326987713	SMP	1	0.00	0.00	0.00	0.00	
8326996069	SMP	1	0.00	0.00	0.00	0.00	
8327004454	SMP	1	0.00	0.00	0.00	0.00	
8327376630	MSG	1	# Message: elmo_tapping1.avi
8327379483	SMP	1	0.00	0.00	0.00	0.00	
8327452020	SMP	1	0.00	0.00	0.00	0.00	
8327460160	SMP	1	0.00	0.00	0.00	0.00	
8327468437	SMP	1	0.00	0.00	0.00	0.00	
8327476801	SMP	1	0.00	0.00	0.00	0.00	
8327485151	SMP	1	0.00	0.00	0.00	0.00	
8327493554	SMP	1	0.00	0.00	0.00	0.00	
8327501793	SMP	1	0.00	0.00	0.00	0.00	
8327510194	SMP	1	0.00	0.00	0.00	0.00	
8327518533	SMP	1	0.00	0.00	0.00	0.00	
8327526749	SMP	1	0.00	0.00	0.00	0.00	
8327535145	SMP	1	0.00	0.00	0.00	0.00	
8327543554	SMP	1	0.00	0.00	0.00	0.00	
8327551962	SMP	1	0.00	0.00	0.00	0.00	
8327560186	SMP	1	0.00	0.00	0.00	0.00	
