## [iView]
## Converted from:	F:\untitled folder\140811-07-L1-SC-eye_data.idf
## Date:	11.08.2014 19:25:25
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42185                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140811-07-L1-SC                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
6635185549	SMP	1	1471.47	564.62	1471.47	564.62	
6635193928	SMP	1	1462.17	570.55	1462.17	570.55	
6635202298	SMP	1	1471.95	568.13	1471.95	568.13	
6635210722	SMP	1	1484.98	570.87	1484.98	570.87	
6635218884	SMP	1	1484.75	573.20	1484.75	573.20	
6635227259	SMP	1	1498.72	574.01	1498.72	574.01	
6635235627	SMP	1	1481.74	571.00	1481.74	571.00	
6635244032	SMP	1	1425.61	575.31	1425.61	575.31	
6635252267	SMP	1	1485.60	571.79	1485.60	571.79	
6635260628	SMP	1	1487.45	569.67	1487.45	569.67	
6635269007	SMP	1	1497.95	570.60	1497.95	570.60	
6635277381	SMP	1	1511.71	572.25	1511.71	572.25	
6635285629	SMP	1	1494.73	571.30	1494.73	571.30	
6635294003	SMP	1	1519.44	571.05	1519.44	571.05	
6635302382	SMP	1	1518.99	569.58	1518.99	569.58	
6635310766	SMP	1	1516.30	568.51	1516.30	568.51	
6635319046	SMP	1	1528.19	561.30	1528.19	561.30	
6635327393	SMP	1	1543.46	566.32	1543.46	566.32	
6635335800	SMP	1	1536.43	565.47	1536.43	565.47	
6635344057	SMP	1	1531.14	561.41	1531.14	561.41	
6635352406	SMP	1	1517.61	559.98	1517.61	559.98	
6635360783	SMP	1	1523.24	558.53	1523.24	558.53	
6635369172	SMP	1	1514.76	554.88	1514.76	554.88	
6635377420	SMP	1	1518.51	559.29	1518.51	559.29	
6635385795	SMP	1	1530.55	550.16	1530.55	550.16	
6635394179	SMP	1	1523.05	434.46	1523.05	434.46	
6635402550	SMP	1	1501.08	417.75	1501.08	417.75	
6635410789	SMP	1	1521.54	391.09	1521.54	391.09	
6635419170	SMP	1	1520.89	389.33	1520.89	389.33	
6635427541	SMP	1	1553.94	364.10	1553.94	364.10	
6635435886	SMP	1	1520.41	363.42	1520.41	363.42	
6635444168	SMP	1	1530.08	375.06	1530.08	375.06	
6635452526	SMP	1	1555.07	368.94	1555.07	368.94	
6635460873	SMP	1	1393.28	363.07	1393.28	363.07	
6635469116	SMP	1	1553.24	357.98	1553.24	357.98	
6635477518	SMP	1	1522.38	357.49	1522.38	357.49	
6635485870	SMP	1	1443.13	370.73	1443.13	370.73	
6635494246	SMP	1	1549.55	359.40	1549.55	359.40	
6635502495	SMP	1	1541.21	358.61	1541.21	358.61	
6635510864	SMP	1	1527.33	356.17	1527.33	356.17	
6635519240	SMP	1	1549.72	353.87	1549.72	353.87	
6635527614	SMP	1	1497.67	360.85	1497.67	360.85	
6635535861	SMP	1	1507.13	368.25	1507.13	368.25	
6635544290	SMP	1	1499.56	366.44	1499.56	366.44	
6635552634	SMP	1	1557.24	369.27	1557.24	369.27	
6635561002	SMP	1	1556.09	361.95	1556.09	361.95	
6635569248	SMP	1	1549.87	372.06	1549.87	372.06	
6635577625	SMP	1	1419.94	421.69	1419.94	421.69	
6635585997	SMP	1	1544.95	367.25	1544.95	367.25	
6635594369	SMP	1	1396.60	402.60	1396.60	402.60	
6635602623	SMP	1	1559.92	381.54	1559.92	381.54	
6635610983	SMP	1	1563.41	373.24	1563.41	373.24	
6635619386	SMP	1	1398.17	381.22	1398.17	381.22	
6635627621	SMP	1	1524.02	374.30	1524.02	374.30	
6635635994	SMP	1	1543.25	373.96	1543.25	373.96	
6635644392	SMP	1	1538.99	373.83	1538.99	373.83	
6635652758	SMP	1	1547.36	373.99	1547.36	373.99	
