## [iView]
## Converted from:	F:\untitled folder\140811-080L1-SC-eye_data.idf
## Date:	11.08.2014 19:32:54
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	40403                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	140811-080L1-SC                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7083345480	SMP	1	636.33	558.77	636.33	558.77	
7083353809	SMP	1	635.42	560.68	635.42	560.68	
7083362201	SMP	1	633.15	558.11	633.15	558.11	
7083370485	SMP	1	634.14	554.92	634.14	554.92	
7083378797	SMP	1	636.72	550.37	636.72	550.37	
7083387183	SMP	1	635.77	551.26	635.77	551.26	
7083412163	SMP	1	638.41	554.04	638.41	554.04	
7083420579	SMP	1	638.77	548.17	638.77	548.17	
7083428794	SMP	1	638.90	555.32	638.90	555.32	
7083437209	SMP	1	640.21	552.60	640.21	552.60	
7083445543	SMP	1	638.32	548.84	638.32	548.84	
7083453939	SMP	1	641.20	554.56	641.20	554.56	
7083462179	SMP	1	640.32	555.51	640.32	555.51	
7083470560	SMP	1	640.34	555.53	640.34	555.53	
7083478918	SMP	1	640.80	559.29	640.80	559.29	
7083487361	SMP	1	640.63	557.40	640.63	557.40	
7083495595	SMP	1	684.24	554.91	684.24	554.91	
7083503939	SMP	1	826.79	542.10	826.79	542.10	
7083512337	SMP	1	980.76	557.51	980.76	557.51	
7083520713	SMP	1	831.04	557.76	831.04	557.76	
7083545697	SMP	1	1398.46	841.61	1398.46	841.61	
7083553963	SMP	1	1294.39	734.52	1294.39	734.52	
7083562343	SMP	1	1208.06	745.43	1208.06	745.43	
7083570709	SMP	1	1171.63	697.05	1171.63	697.05	
7083579085	SMP	1	1099.65	663.76	1099.65	663.76	
7083587339	SMP	1	1051.38	562.68	1051.38	562.68	
7083595710	SMP	1	960.97	552.86	960.97	552.86	
7083604102	SMP	1	1025.82	551.46	1025.82	551.46	
7083612434	SMP	1	999.76	548.35	999.76	548.35	
7083620667	SMP	1	983.95	492.52	983.95	492.52	
7083629034	SMP	1	1027.05	484.45	1027.05	484.45	
7083645795	SMP	1	1025.52	548.51	1025.52	548.51	
7083654046	SMP	1	1027.58	529.72	1027.58	529.72	
7083662471	SMP	1	1030.35	530.47	1030.35	530.47	
7083670793	SMP	1	1028.50	524.12	1028.50	524.12	
7083679166	SMP	1	1028.45	529.99	1028.45	529.99	
7083687411	SMP	1	1024.13	543.34	1024.13	543.34	
7083695803	SMP	1	1026.12	537.07	1026.12	537.07	
7083704160	SMP	1	1026.26	542.15	1026.26	542.15	
