## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\141010-08-SC-L1-eye_data.idf
## Date:	10.10.2014 20:11:45
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39023                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	141010-08-SC-L1                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
9744569741	SMP	1	765.62	133.74	765.62	133.74	
9744578015	SMP	1	775.81	134.74	775.81	134.74	
9744586373	SMP	1	764.67	137.89	764.67	137.89	
9744594755	SMP	1	759.79	134.51	759.79	134.51	
9744603098	SMP	1	769.17	137.65	769.17	137.65	
9744611385	SMP	1	771.22	134.40	771.22	134.40	
9744619723	SMP	1	771.09	137.87	771.09	137.87	
9744628093	SMP	1	770.40	135.82	770.40	135.82	
9744636331	SMP	1	774.23	140.42	774.23	140.42	
9744644717	SMP	1	777.19	132.46	777.19	132.46	
9744653083	SMP	1	779.85	144.30	779.85	144.30	
9744661484	SMP	1	773.90	141.86	773.90	141.86	
9744669715	SMP	1	769.56	129.86	769.56	129.86	
9744678092	SMP	1	783.86	159.41	783.86	159.41	
9744686468	SMP	1	778.24	152.75	778.24	152.75	
9744694830	SMP	1	772.48	142.94	772.48	142.94	
9744703086	SMP	1	781.65	156.02	781.65	156.02	
9744711507	SMP	1	775.92	157.66	775.92	157.66	
9744719888	SMP	1	776.70	160.34	776.70	160.34	
9744728267	SMP	1	778.42	160.02	778.42	160.02	
9744736472	SMP	1	776.54	151.62	776.54	151.62	
9744744886	SMP	1	774.66	155.75	774.66	155.75	
