## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\141017-10-L1-SC-eye_data.idf
## Date:	17.10.2014 21:18:10
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42453                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	141017-10-L1-SC                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
13889379649	SMP	1	0.00	0.00	0.00	0.00	
13889429599	SMP	1	0.00	0.00	0.00	0.00	
13889479650	SMP	1	0.00	0.00	0.00	0.00	
13889529657	SMP	1	0.00	0.00	0.00	0.00	
13889579797	SMP	1	0.00	0.00	0.00	0.00	
13889629830	SMP	1	0.00	0.00	0.00	0.00	
13889679714	SMP	1	0.00	0.00	0.00	0.00	
13889729910	SMP	1	0.00	0.00	0.00	0.00	
13889802748	SMP	1	0.00	0.00	0.00	0.00	
13889810876	SMP	1	0.00	0.00	0.00	0.00	
13889819093	SMP	1	0.00	0.00	0.00	0.00	
13889827466	SMP	1	0.00	0.00	0.00	0.00	
13889835855	SMP	1	0.00	0.00	0.00	0.00	
13889844096	SMP	1	0.00	0.00	0.00	0.00	
13889852586	SMP	1	0.00	0.00	0.00	0.00	
13889860929	SMP	1	0.00	0.00	0.00	0.00	
13889869287	SMP	1	0.00	0.00	0.00	0.00	
13889877554	SMP	1	0.00	0.00	0.00	0.00	
13889885970	SMP	1	0.00	0.00	0.00	0.00	
13889894319	SMP	1	0.00	0.00	0.00	0.00	
13889902648	SMP	1	0.00	0.00	0.00	0.00	
13889910908	SMP	1	0.00	0.00	0.00	0.00	
13889919264	SMP	1	0.00	0.00	0.00	0.00	
13889927602	SMP	1	0.00	0.00	0.00	0.00	
13889936023	SMP	1	0.00	0.00	0.00	0.00	
13889944263	SMP	1	0.00	0.00	0.00	0.00	
13889952602	SMP	1	0.00	0.00	0.00	0.00	
13889960990	SMP	1	0.00	0.00	0.00	0.00	
13889969221	SMP	1	0.00	0.00	0.00	0.00	
13889977626	SMP	1	0.00	0.00	0.00	0.00	
13889986005	SMP	1	0.00	0.00	0.00	0.00	
13889994386	SMP	1	0.00	0.00	0.00	0.00	
13890002643	SMP	1	0.00	0.00	0.00	0.00	
13890010982	SMP	1	0.00	0.00	0.00	0.00	
13890019350	SMP	1	0.00	0.00	0.00	0.00	
13890027749	SMP	1	0.00	0.00	0.00	0.00	
13890035986	SMP	1	0.00	0.00	0.00	0.00	
13890044347	SMP	1	0.00	0.00	0.00	0.00	
13890052743	SMP	1	0.00	0.00	0.00	0.00	
13890061144	SMP	1	0.00	0.00	0.00	0.00	
13890069350	SMP	1	0.00	0.00	0.00	0.00	
13890077782	SMP	1	0.00	0.00	0.00	0.00	
13890086136	SMP	1	0.00	0.00	0.00	0.00	
13890094459	SMP	1	0.00	0.00	0.00	0.00	
13890102759	SMP	1	0.00	0.00	0.00	0.00	
13890111136	SMP	1	0.00	0.00	0.00	0.00	
13890119509	SMP	1	0.00	0.00	0.00	0.00	
13890127763	SMP	1	0.00	0.00	0.00	0.00	
13890136134	SMP	1	0.00	0.00	0.00	0.00	
13890302438	SMP	1	0.00	0.00	0.00	0.00	
13890352399	SMP	1	0.00	0.00	0.00	0.00	
13890402464	SMP	1	0.00	0.00	0.00	0.00	
13890863212	MSG	1	# Message: elmo_duck.avi
13890866893	SMP	1	0.00	0.00	0.00	0.00	
13890875264	SMP	1	0.00	0.00	0.00	0.00	
13890883653	SMP	1	0.00	0.00	0.00	0.00	
13890891991	SMP	1	0.00	0.00	0.00	0.00	
13890900261	SMP	1	0.00	0.00	0.00	0.00	
13890908675	SMP	1	0.00	0.00	0.00	0.00	
13890916965	SMP	1	0.00	0.00	0.00	0.00	
13890925243	SMP	1	0.00	0.00	0.00	0.00	
13890933641	SMP	1	0.00	0.00	0.00	0.00	
13890942047	SMP	1	0.00	0.00	0.00	0.00	
13890950374	SMP	1	0.00	0.00	0.00	0.00	
13890958638	SMP	1	0.00	0.00	0.00	0.00	
13890966980	SMP	1	0.00	0.00	0.00	0.00	
13890975412	SMP	1	0.00	0.00	0.00	0.00	
13890983766	SMP	1	0.00	0.00	0.00	0.00	
13890992056	SMP	1	0.00	0.00	0.00	0.00	
13891000372	SMP	1	0.00	0.00	0.00	0.00	
13891008792	SMP	1	0.00	0.00	0.00	0.00	
13891017149	SMP	1	0.00	0.00	0.00	0.00	
13891025448	SMP	1	0.00	0.00	0.00	0.00	
13891033714	SMP	1	0.00	0.00	0.00	0.00	
13891042180	SMP	1	0.00	0.00	0.00	0.00	
13891050396	SMP	1	0.00	0.00	0.00	0.00	
13891058803	SMP	1	0.00	0.00	0.00	0.00	
13891067126	SMP	1	0.00	0.00	0.00	0.00	
13891075553	SMP	1	0.00	0.00	0.00	0.00	
13891083759	SMP	1	0.00	0.00	0.00	0.00	
13891092125	SMP	1	0.00	0.00	0.00	0.00	
13891100557	SMP	1	0.00	0.00	0.00	0.00	
13891108904	SMP	1	0.00	0.00	0.00	0.00	
13891117176	SMP	1	0.00	0.00	0.00	0.00	
13891125549	SMP	1	0.00	0.00	0.00	0.00	
13891133893	SMP	1	0.00	0.00	0.00	0.00	
13891142286	SMP	1	0.00	0.00	0.00	0.00	
13891150499	SMP	1	0.00	0.00	0.00	0.00	
13891158873	SMP	1	0.00	0.00	0.00	0.00	
13891325169	SMP	1	0.00	0.00	0.00	0.00	
13891375157	SMP	1	0.00	0.00	0.00	0.00	
13891425360	SMP	1	0.00	0.00	0.00	0.00	
13891475198	SMP	1	0.00	0.00	0.00	0.00	
13891548072	SMP	1	0.00	0.00	0.00	0.00	
13891556140	SMP	1	0.00	0.00	0.00	0.00	
13891564455	SMP	1	0.00	0.00	0.00	0.00	
13891572788	SMP	1	0.00	0.00	0.00	0.00	
13891581168	SMP	1	0.00	0.00	0.00	0.00	
13891589484	SMP	1	0.00	0.00	0.00	0.00	
13891597823	SMP	1	0.00	0.00	0.00	0.00	
13891606194	SMP	1	0.00	0.00	0.00	0.00	
13891614538	SMP	1	0.00	0.00	0.00	0.00	
13891622856	SMP	1	0.00	0.00	0.00	0.00	
13891631243	SMP	1	0.00	0.00	0.00	0.00	
13891639521	SMP	1	0.00	0.00	0.00	0.00	
13891647986	SMP	1	0.00	0.00	0.00	0.00	
13891656235	SMP	1	0.00	0.00	0.00	0.00	
13891664614	SMP	1	0.00	0.00	0.00	0.00	
13891672959	SMP	1	0.00	0.00	0.00	0.00	
13891681279	SMP	1	0.00	0.00	0.00	0.00	
13891689655	SMP	1	0.00	0.00	0.00	0.00	
13891697959	SMP	1	0.00	0.00	0.00	0.00	
13891706317	SMP	1	0.00	0.00	0.00	0.00	
13891714668	SMP	1	0.00	0.00	0.00	0.00	
13891722990	SMP	1	0.00	0.00	0.00	0.00	
13891731288	SMP	1	0.00	0.00	0.00	0.00	
13891739648	SMP	1	0.00	0.00	0.00	0.00	
13891748028	SMP	1	0.00	0.00	0.00	0.00	
13891756390	SMP	1	0.00	0.00	0.00	0.00	
13891764636	SMP	1	0.00	0.00	0.00	0.00	
13891773061	SMP	1	0.00	0.00	0.00	0.00	
13891781383	SMP	1	0.00	0.00	0.00	0.00	
13891789771	SMP	1	0.00	0.00	0.00	0.00	
13891797975	SMP	1	0.00	0.00	0.00	0.00	
13891806443	SMP	1	0.00	0.00	0.00	0.00	
13891814783	SMP	1	0.00	0.00	0.00	0.00	
13891823078	SMP	1	0.00	0.00	0.00	0.00	
13891831349	SMP	1	0.00	0.00	0.00	0.00	
13891839795	SMP	1	0.00	0.00	0.00	0.00	
13891848123	SMP	1	0.00	0.00	0.00	0.00	
13891856400	SMP	1	0.00	0.00	0.00	0.00	
13891864738	SMP	1	0.00	0.00	0.00	0.00	
13891873132	SMP	1	0.00	0.00	0.00	0.00	
13891881529	SMP	1	0.00	0.00	0.00	0.00	
13892048144	SMP	1	0.00	0.00	0.00	0.00	
13892097607	SMP	1	0.00	0.00	0.00	0.00	
13892147587	SMP	1	0.00	0.00	0.00	0.00	
13892197571	SMP	1	0.00	0.00	0.00	0.00	
13892247710	SMP	1	0.00	0.00	0.00	0.00	
13892320644	SMP	1	0.00	0.00	0.00	0.00	
13892328758	SMP	1	0.00	0.00	0.00	0.00	
13892337840	SMP	1	0.00	0.00	0.00	0.00	
13892345351	SMP	1	0.00	0.00	0.00	0.00	
13892353774	SMP	1	0.00	0.00	0.00	0.00	
13892362062	SMP	1	0.00	0.00	0.00	0.00	
13892370513	SMP	1	0.00	0.00	0.00	0.00	
13892378769	SMP	1	0.00	0.00	0.00	0.00	
13892387122	SMP	1	0.00	0.00	0.00	0.00	
13892395438	SMP	1	0.00	0.00	0.00	0.00	
13892403728	SMP	1	0.00	0.00	0.00	0.00	
13892412115	SMP	1	0.00	0.00	0.00	0.00	
13892420461	SMP	1	0.00	0.00	0.00	0.00	
13892428865	SMP	1	0.00	0.00	0.00	0.00	
13892437081	SMP	1	0.00	0.00	0.00	0.00	
13892445517	SMP	1	0.00	0.00	0.00	0.00	
13892453870	SMP	1	0.00	0.00	0.00	0.00	
13892462264	SMP	1	0.00	0.00	0.00	0.00	
13892470500	SMP	1	0.00	0.00	0.00	0.00	
13892478999	SMP	1	0.00	0.00	0.00	0.00	
13892487253	SMP	1	0.00	0.00	0.00	0.00	
13892495585	SMP	1	0.00	0.00	0.00	0.00	
13892503835	SMP	1	0.00	0.00	0.00	0.00	
13892512273	SMP	1	0.00	0.00	0.00	0.00	
13892520587	SMP	1	0.00	0.00	0.00	0.00	
13892528945	SMP	1	0.00	0.00	0.00	0.00	
13892537271	SMP	1	0.00	0.00	0.00	0.00	
13892545611	SMP	1	0.00	0.00	0.00	0.00	
13892554040	SMP	1	0.00	0.00	0.00	0.00	
13892562263	SMP	1	0.00	0.00	0.00	0.00	
13892570611	SMP	1	0.00	0.00	0.00	0.00	
13892579020	SMP	1	0.00	0.00	0.00	0.00	
13892587334	SMP	1	0.00	0.00	0.00	0.00	
13892595548	SMP	1	0.00	0.00	0.00	0.00	
13892604030	SMP	1	0.00	0.00	0.00	0.00	
13892612395	SMP	1	0.00	0.00	0.00	0.00	
13892620731	SMP	1	0.00	0.00	0.00	0.00	
13892628916	SMP	1	0.00	0.00	0.00	0.00	
13892637334	SMP	1	0.00	0.00	0.00	0.00	
13892645820	SMP	1	0.00	0.00	0.00	0.00	
13892654069	SMP	1	0.00	0.00	0.00	0.00	
13892820426	SMP	1	0.00	0.00	0.00	0.00	
13892870273	SMP	1	0.00	0.00	0.00	0.00	
13892920210	SMP	1	0.00	0.00	0.00	0.00	
13892970283	SMP	1	0.00	0.00	0.00	0.00	
13893020221	SMP	1	0.00	0.00	0.00	0.00	
13893070325	SMP	1	0.00	0.00	0.00	0.00	
13893120364	SMP	1	0.00	0.00	0.00	0.00	
13893170347	SMP	1	0.00	0.00	0.00	0.00	
13893220256	SMP	1	0.00	0.00	0.00	0.00	
13893271311	SMP	1	0.00	0.00	0.00	0.00	
13893320436	SMP	1	0.00	0.00	0.00	0.00	
13893370426	SMP	1	0.00	0.00	0.00	0.00	
13893443449	SMP	1	0.00	0.00	0.00	0.00	
13893451491	SMP	1	0.00	0.00	0.00	0.00	
13893459821	SMP	1	0.00	0.00	0.00	0.00	
13893468160	SMP	1	0.00	0.00	0.00	0.00	
13893477023	SMP	1	0.00	0.00	0.00	0.00	
13893484863	SMP	1	0.00	0.00	0.00	0.00	
13893493243	SMP	1	0.00	0.00	0.00	0.00	
13893501438	SMP	1	0.00	0.00	0.00	0.00	
13893510374	SMP	1	0.00	0.00	0.00	0.00	
13893518191	SMP	1	0.00	0.00	0.00	0.00	
13893526620	SMP	1	0.00	0.00	0.00	0.00	
13893534874	SMP	1	0.00	0.00	0.00	0.00	
13893543457	SMP	1	0.00	0.00	0.00	0.00	
13893551614	SMP	1	0.00	0.00	0.00	0.00	
13893559932	SMP	1	0.00	0.00	0.00	0.00	
13893568243	SMP	1	0.00	0.00	0.00	0.00	
13893576668	SMP	1	0.00	0.00	0.00	0.00	
13893584980	SMP	1	0.00	0.00	0.00	0.00	
13893593314	SMP	1	0.00	0.00	0.00	0.00	
13893601584	SMP	1	0.00	0.00	0.00	0.00	
13893609973	SMP	1	0.00	0.00	0.00	0.00	
13893618352	SMP	1	0.00	0.00	0.00	0.00	
13893626653	SMP	1	0.00	0.00	0.00	0.00	
13893634988	SMP	1	0.00	0.00	0.00	0.00	
13893643369	SMP	1	0.00	0.00	0.00	0.00	
13893651738	SMP	1	0.00	0.00	0.00	0.00	
13893659948	SMP	1	0.00	0.00	0.00	0.00	
13893668305	SMP	1	0.00	0.00	0.00	0.00	
13893677281	SMP	1	0.00	0.00	0.00	0.00	
13893685109	SMP	1	0.00	0.00	0.00	0.00	
13893693308	SMP	1	0.00	0.00	0.00	0.00	
13893701739	SMP	1	0.00	0.00	0.00	0.00	
13893710093	SMP	1	0.00	0.00	0.00	0.00	
13893718464	SMP	1	0.00	0.00	0.00	0.00	
13893726686	SMP	1	0.00	0.00	0.00	0.00	
13893735111	SMP	1	0.00	0.00	0.00	0.00	
13893743465	SMP	1	0.00	0.00	0.00	0.00	
13893751822	SMP	1	0.00	0.00	0.00	0.00	
13893760105	SMP	1	0.00	0.00	0.00	0.00	
13893768456	SMP	1	0.00	0.00	0.00	0.00	
13893776866	SMP	1	0.00	0.00	0.00	0.00	
13893943232	SMP	1	0.00	0.00	0.00	0.00	
13893993027	SMP	1	0.00	0.00	0.00	0.00	
13894043043	SMP	1	0.00	0.00	0.00	0.00	
13894093142	SMP	1	0.00	0.00	0.00	0.00	
