## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\150109-16-sc-et-eye_data.idf
## Date:	09.01.2015 23:34:45
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	43026                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150109-16-sc-et                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7799740438	SMP	1	0.00	0.00	0.00	0.00	
7799790595	SMP	1	0.00	0.00	0.00	0.00	
7799840645	SMP	1	0.00	0.00	0.00	0.00	
7799890544	SMP	1	0.00	0.00	0.00	0.00	
7799940618	SMP	1	0.00	0.00	0.00	0.00	
7800013470	SMP	1	1104.19	786.74	1104.19	786.74	
7800021674	SMP	1	1144.79	781.21	1144.79	781.21	
7800029882	SMP	1	1147.14	779.79	1147.14	779.79	
7800038264	SMP	1	1156.70	776.83	1156.70	776.83	
7800046636	SMP	1	1159.64	776.70	1159.64	776.70	
7800055007	SMP	1	1157.58	776.90	1157.58	776.90	
7800063253	SMP	1	1161.39	779.85	1161.39	779.85	
7800071648	SMP	1	1163.70	783.39	1163.70	783.39	
7800080012	SMP	1	1159.07	781.33	1159.07	781.33	
7800088264	SMP	1	1160.32	781.41	1160.32	781.41	
7800096629	SMP	1	1162.45	786.05	1162.45	786.05	
7800105010	SMP	1	1162.95	790.02	1162.95	790.02	
7800113377	SMP	1	1160.33	783.03	1160.33	783.03	
7800121630	SMP	1	1172.62	794.96	1172.62	794.96	
7800130001	SMP	1	1163.68	807.47	1163.68	807.47	
7800138395	SMP	1	1166.34	797.58	1166.34	797.58	
7800146782	SMP	1	1169.76	801.67	1169.76	801.67	
7800155010	SMP	1	1177.43	798.06	1177.43	798.06	
7800163378	SMP	1	1163.81	804.25	1163.81	804.25	
7800171768	SMP	1	1168.37	803.36	1168.37	803.36	
7800180136	SMP	1	1175.04	806.83	1175.04	806.83	
7800188379	SMP	1	1164.77	800.53	1164.77	800.53	
7800196755	SMP	1	1172.70	814.21	1172.70	814.21	
7800205131	SMP	1	1165.73	800.60	1165.73	800.60	
7800213368	SMP	1	1170.47	795.32	1170.47	795.32	
7800221770	SMP	1	1168.58	802.31	1168.58	802.31	
7800230228	SMP	1	1173.18	797.26	1173.18	797.26	
7800238560	SMP	1	1177.37	797.81	1177.37	797.81	
7800246812	SMP	1	1173.59	801.54	1173.59	801.54	
7800255180	SMP	1	1172.06	804.56	1172.06	804.56	
7800263557	SMP	1	1176.24	793.16	1176.24	793.16	
7800271959	SMP	1	1170.84	809.72	1170.84	809.72	
7800280189	SMP	1	1174.60	797.47	1174.60	797.47	
7800288553	SMP	1	1173.29	791.39	1173.29	791.39	
7800296923	SMP	1	1177.00	798.51	1177.00	798.51	
7800305300	SMP	1	1174.43	796.34	1174.43	796.34	
7800313515	SMP	1	1174.37	787.30	1174.37	787.30	
7800321882	SMP	1	1173.43	791.50	1173.43	791.50	
7800330303	SMP	1	1169.97	785.50	1169.97	785.50	
7800338547	SMP	1	1170.43	790.32	1170.43	790.32	
7800346923	SMP	1	1169.52	814.00	1169.52	814.00	
7800355303	SMP	1	1222.30	821.56	1222.30	821.56	
7800363674	SMP	1	1168.32	794.38	1168.32	794.38	
7800371885	SMP	1	1174.00	790.57	1174.00	790.57	
7800380300	SMP	1	1374.03	785.41	1374.03	785.41	
7800388676	SMP	1	1614.63	691.76	1614.63	691.76	
7800397016	SMP	1	1721.51	547.11	1721.51	547.11	
7800405291	SMP	1	0.00	0.00	0.00	0.00	
7800413621	SMP	1	0.00	0.00	0.00	0.00	
7800422018	SMP	1	0.00	0.00	0.00	0.00	
7800430396	SMP	1	0.00	0.00	0.00	0.00	
7800438680	SMP	1	0.00	0.00	0.00	0.00	
7800446997	SMP	1	0.00	0.00	0.00	0.00	
7800455418	SMP	1	0.00	0.00	0.00	0.00	
7800463793	SMP	1	0.00	0.00	0.00	0.00	
7800472046	SMP	1	0.00	0.00	0.00	0.00	
7800480418	SMP	1	0.00	0.00	0.00	0.00	
7800488780	SMP	1	0.00	0.00	0.00	0.00	
7800497043	SMP	1	0.00	0.00	0.00	0.00	
7800505392	SMP	1	0.00	0.00	0.00	0.00	
7800513797	SMP	1	0.00	0.00	0.00	0.00	
7800522165	SMP	1	0.00	0.00	0.00	0.00	
7800530413	SMP	1	0.00	0.00	0.00	0.00	
7800538789	SMP	1	0.00	0.00	0.00	0.00	
7800547165	SMP	1	0.00	0.00	0.00	0.00	
7800555538	SMP	1	0.00	0.00	0.00	0.00	
7800563790	SMP	1	0.00	0.00	0.00	0.00	
7800572163	SMP	1	0.00	0.00	0.00	0.00	
7800580501	SMP	1	0.00	0.00	0.00	0.00	
