## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L1\150413-08-sc-L2-eye_data.idf
## Date:	13.04.2015 21:32:42
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	42743                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150413-08-sc-L2                                                                                                                                                                                                                                                 
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7907291795	SMP	1	0.00	0.00	0.00	0.00	
7907300160	SMP	1	0.00	0.00	0.00	0.00	
7907308424	SMP	1	0.00	0.00	0.00	0.00	
7907316773	SMP	1	0.00	0.00	0.00	0.00	
7907325182	SMP	1	0.00	0.00	0.00	0.00	
7907333471	SMP	1	0.00	0.00	0.00	0.00	
7907341740	SMP	1	0.00	0.00	0.00	0.00	
7907350110	SMP	1	0.00	0.00	0.00	0.00	
7907358487	SMP	1	0.00	0.00	0.00	0.00	
7907366863	SMP	1	0.00	0.00	0.00	0.00	
7907375102	SMP	1	0.00	0.00	0.00	0.00	
7907383476	SMP	1	0.00	0.00	0.00	0.00	
7907391849	SMP	1	0.00	0.00	0.00	0.00	
7907400214	SMP	1	0.00	0.00	0.00	0.00	
7907408481	SMP	1	0.00	0.00	0.00	0.00	
7907416855	SMP	1	0.00	0.00	0.00	0.00	
7907425273	SMP	1	0.00	0.00	0.00	0.00	
7907433519	SMP	1	0.00	0.00	0.00	0.00	
7907441866	SMP	1	0.00	0.00	0.00	0.00	
7907450286	SMP	1	0.00	0.00	0.00	0.00	
7907458617	SMP	1	0.00	0.00	0.00	0.00	
7907466873	SMP	1	0.00	0.00	0.00	0.00	
7907475281	SMP	1	847.72	1174.83	847.72	1174.83	
7907483634	SMP	1	734.12	1122.77	734.12	1122.77	
7907492026	SMP	1	612.16	1070.31	612.16	1070.31	
7907500262	SMP	1	604.66	1079.25	604.66	1079.25	
7907508644	SMP	1	698.32	1052.76	698.32	1052.76	
7907517023	SMP	1	709.31	1039.15	709.31	1039.15	
7907525395	SMP	1	707.04	1034.26	707.04	1034.26	
7907533627	SMP	1	699.98	1031.84	699.98	1031.84	
7907542019	SMP	1	687.96	1038.74	687.96	1038.74	
7907550349	SMP	1	693.43	1052.79	693.43	1052.79	
7907558642	SMP	1	693.02	1048.48	693.02	1048.48	
7907567019	SMP	1	700.53	1057.99	700.53	1057.99	
7907575366	SMP	1	686.74	1051.54	686.74	1051.54	
7907583724	SMP	1	688.24	1047.88	688.24	1047.88	
7907591969	SMP	1	684.07	1047.45	684.07	1047.45	
7907600336	SMP	1	686.94	1024.55	686.94	1024.55	
7907608714	SMP	1	687.50	1009.35	687.50	1009.35	
7907617102	SMP	1	685.24	1053.96	685.24	1053.96	
7907625351	SMP	1	684.66	1053.67	684.66	1053.67	
7907633720	SMP	1	689.09	1058.78	689.09	1058.78	
