## [iView]
## Converted from:	D:\simpleImp\data\150709-sc-14-eye_data.idf
## Date:	09.07.2015 21:48:14
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	31613                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150709-sc-14                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
16414496010	SMP	1	496.73	999.83	496.73	999.83	-1	
16414504396	SMP	1	486.60	1016.07	486.60	1016.07	-1	
16414512818	SMP	1	479.68	1033.16	479.68	1033.16	-1	
16414521115	SMP	1	467.77	1035.04	467.77	1035.04	-1	
16414529367	SMP	1	479.10	1042.84	479.10	1042.84	-1	
16414537758	SMP	1	475.55	1041.87	475.55	1041.87	-1	
16414546126	SMP	1	487.19	1002.87	487.19	1002.87	-1	
16414554505	SMP	1	483.29	1041.49	483.29	1041.49	-1	
16414562753	SMP	1	483.65	1047.60	483.65	1047.60	-1	
16414571150	SMP	1	488.19	1048.59	488.19	1048.59	-1	
16414579490	SMP	1	492.36	1050.63	492.36	1050.63	-1	
16414587907	SMP	1	487.95	1046.23	487.95	1046.23	-1	
16414596128	SMP	1	488.91	1047.45	488.91	1047.45	-1	
16414604493	SMP	1	487.53	1049.33	487.53	1049.33	-1	
16414612880	SMP	1	485.11	1054.34	485.11	1054.34	-1	
16414621153	SMP	1	477.74	1049.17	477.74	1049.17	-1	
16414629525	SMP	1	485.83	1045.89	485.83	1045.89	-1	
16414637923	SMP	1	484.79	1044.55	484.79	1044.55	-1	
16414646278	SMP	1	481.95	1043.30	481.95	1043.30	-1	
16414654531	SMP	1	490.96	1044.35	490.96	1044.35	-1	
16414662883	SMP	1	479.68	1040.96	479.68	1040.96	-1	
16414671245	SMP	1	475.57	1046.83	475.57	1046.83	-1	
16414679648	SMP	1	471.58	1050.86	471.58	1050.86	-1	
16414687877	SMP	1	474.49	1042.18	474.49	1042.18	-1	
16414696274	SMP	1	470.07	1044.81	470.07	1044.81	-1	
16414704654	SMP	1	471.24	1039.65	471.24	1039.65	-1	
16414713028	SMP	1	487.60	1065.45	487.60	1065.45	-1	
16414721271	SMP	1	474.13	1064.11	474.13	1064.11	-1	
16414729645	SMP	1	479.64	1041.55	479.64	1041.55	-1	
16414737992	SMP	1	473.85	1042.05	473.85	1042.05	-1	
