## [iView]
## Converted from:	F:\simpimp data\150716-sc-04-eye_data.idf
## Date:	16.07.2015 20:08:49
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	38961                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	150716-sc-04                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
7678336949	SMP	1	0.00	0.00	0.00	0.00	
7678345360	SMP	1	0.00	0.00	0.00	0.00	
7678353688	SMP	1	0.00	0.00	0.00	0.00	
7678361909	SMP	1	0.00	0.00	0.00	0.00	
7678370289	SMP	1	0.00	0.00	0.00	0.00	
7678378655	SMP	1	0.00	0.00	0.00	0.00	
7678387037	SMP	1	0.00	0.00	0.00	0.00	
7678395286	SMP	1	0.00	0.00	0.00	0.00	
7678403640	SMP	1	0.00	0.00	0.00	0.00	
7678412029	SMP	1	0.00	0.00	0.00	0.00	
7678420285	SMP	1	0.00	0.00	0.00	0.00	
7678428669	SMP	1	0.00	0.00	0.00	0.00	
7678437030	SMP	1	0.00	0.00	0.00	0.00	
7678445413	SMP	1	0.00	0.00	0.00	0.00	
7678453650	SMP	1	0.00	0.00	0.00	0.00	
7678462067	SMP	1	0.00	0.00	0.00	0.00	
7678470417	SMP	1	0.00	0.00	0.00	0.00	
7678478770	SMP	1	0.00	0.00	0.00	0.00	
7678487022	SMP	1	0.00	0.00	0.00	0.00	
7678495450	SMP	1	0.00	0.00	0.00	0.00	
7678503810	SMP	1	0.00	0.00	0.00	0.00	
7678512187	SMP	1	0.00	0.00	0.00	0.00	
7678520420	SMP	1	0.00	0.00	0.00	0.00	
7678528811	SMP	1	0.00	0.00	0.00	0.00	
7678537133	SMP	1	0.00	0.00	0.00	0.00	
7678545565	SMP	1	0.00	0.00	0.00	0.00	
7678553810	SMP	1	0.00	0.00	0.00	0.00	
7678562187	SMP	1	0.00	0.00	0.00	0.00	
7678570565	SMP	1	0.00	0.00	0.00	0.00	
7678736902	SMP	1	0.00	0.00	0.00	0.00	
7678786654	SMP	1	0.00	0.00	0.00	0.00	
7678837013	SMP	1	0.00	0.00	0.00	0.00	
7678886695	SMP	1	0.00	0.00	0.00	0.00	
7678936795	SMP	1	0.00	0.00	0.00	0.00	
7679009643	SMP	1	0.00	0.00	0.00	0.00	
7679017809	SMP	1	0.00	0.00	0.00	0.00	
7679026182	SMP	1	0.00	0.00	0.00	0.00	
7679034428	SMP	1	0.00	0.00	0.00	0.00	
