## [iView]
## Converted from:	D:\Recorded Data\simpkid_SC-L2\170724-sc-03-eye_data.idf
## Date:	24.07.2015 19:06:44
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	41941                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	170724-sc-03                                                                                                                                                                                                                                                    
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1600	1200
## Calibration Point 0:	Position(320;240)
## Calibration Point 1:	Position(1280;960)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Aux1
4747129035	SMP	1	414.90	708.34	414.90	708.34	
4747137436	SMP	1	413.99	708.64	413.99	708.64	
4747145806	SMP	1	410.95	706.82	410.95	706.82	
4747154167	SMP	1	354.92	752.06	354.92	752.06	
4747162465	SMP	1	213.72	779.63	213.72	779.63	
4747170779	SMP	1	152.20	771.34	152.20	771.34	
4747179162	SMP	1	150.28	807.75	150.28	807.75	
4747187377	SMP	1	144.05	775.28	144.05	775.28	
4747195778	SMP	1	128.24	760.07	128.24	760.07	
4747204137	SMP	1	165.16	780.94	165.16	780.94	
4747212513	SMP	1	130.64	765.37	130.64	765.37	
4747220780	SMP	1	133.83	763.75	133.83	763.75	
4747229129	SMP	1	140.81	755.43	140.81	755.43	
4747237526	SMP	1	142.86	771.46	142.86	771.46	
4747245887	SMP	1	131.39	756.28	131.39	756.28	
4747254153	SMP	1	130.43	761.54	130.43	761.54	
4747262514	SMP	1	134.52	751.21	134.52	751.21	
4747270889	SMP	1	125.51	756.33	125.51	756.33	
4747279307	SMP	1	124.07	746.70	124.07	746.70	
4747287570	SMP	1	125.92	757.57	125.92	757.57	
4747295913	SMP	1	126.89	750.13	126.89	750.13	
4747304309	SMP	1	124.16	747.06	124.16	747.06	
4747312670	SMP	1	122.70	740.66	122.70	740.66	
4747320915	SMP	1	122.91	744.66	122.91	744.66	
4747329263	SMP	1	119.38	746.11	119.38	746.11	
4747337668	SMP	1	125.02	748.99	125.02	748.99	
4747345911	SMP	1	113.86	735.14	113.86	735.14	
4747354282	SMP	1	114.14	742.73	114.14	742.73	
4747362685	SMP	1	122.38	741.78	122.38	741.78	
4747371042	SMP	1	129.42	744.24	129.42	744.24	
4747379302	SMP	1	115.64	739.68	115.64	739.68	
4747387677	SMP	1	117.36	742.26	117.36	742.26	
4747396052	SMP	1	123.04	739.19	123.04	739.19	
4747404414	SMP	1	116.92	740.37	116.92	740.37	
4747412645	SMP	1	116.45	746.07	116.45	746.07	
4747421026	SMP	1	112.83	730.06	112.83	730.06	
4747429393	SMP	1	111.13	735.85	111.13	735.85	
4747437747	SMP	1	112.77	739.45	112.77	739.45	
4747446007	SMP	1	110.76	733.88	110.76	733.88	
4747454382	SMP	1	107.71	737.73	107.71	737.73	
4747462758	SMP	1	110.56	720.25	110.56	720.25	
4747470997	SMP	1	106.54	736.86	106.54	736.86	
4747479385	SMP	1	103.49	716.01	103.49	716.01	
4747487746	SMP	1	108.86	739.89	108.86	739.89	
4747496136	SMP	1	102.16	712.02	102.16	712.02	
4747504395	SMP	1	107.22	725.05	107.22	725.05	
4747512775	SMP	1	105.01	721.79	105.01	721.79	
4747521121	SMP	1	95.85	729.16	95.85	729.16	
4747529511	SMP	1	114.67	795.81	114.67	795.81	
4747537748	SMP	1	154.90	831.55	154.90	831.55	
4747546141	SMP	1	184.09	860.34	184.09	860.34	
4747554504	SMP	1	173.12	872.74	173.12	872.74	
4747562886	SMP	1	186.74	886.91	186.74	886.91	
4747571119	SMP	1	178.80	895.79	178.80	895.79	
4747579506	SMP	1	189.18	899.70	189.18	899.70	
4747587872	SMP	1	188.28	900.93	188.28	900.93	
4747596136	SMP	1	193.63	899.17	193.63	899.17	
4747604499	SMP	1	177.55	883.56	177.55	883.56	
4747612886	SMP	1	179.54	905.79	179.54	905.79	
4747621250	SMP	1	175.46	892.54	175.46	892.54	
4747629573	SMP	1	177.87	909.89	177.87	909.89	
4747637910	SMP	1	176.70	912.87	176.70	912.87	
4747646320	SMP	1	167.85	904.44	167.85	904.44	
4747654698	SMP	1	176.58	908.01	176.58	908.01	
4747662956	SMP	1	170.54	916.86	170.54	916.86	
4747671295	SMP	1	173.86	909.32	173.86	909.32	
4747679682	SMP	1	173.43	902.91	173.43	902.91	
4747688039	SMP	1	173.53	923.36	173.53	923.36	
4747696310	SMP	1	162.15	912.86	162.15	912.86	
4747704667	SMP	1	163.08	918.39	163.08	918.39	
4747713017	SMP	1	164.54	914.25	164.54	914.25	
4747721414	SMP	1	169.33	920.87	169.33	920.87	
4747729629	SMP	1	169.38	909.50	169.38	909.50	
4747738058	SMP	1	168.19	916.89	168.19	916.89	
4747746418	SMP	1	165.12	910.88	165.12	910.88	
4747754663	SMP	1	163.56	919.19	163.56	919.19	
4747762997	SMP	1	163.60	910.56	163.60	910.56	
4747771410	SMP	1	161.01	781.00	161.01	781.00	
4747779796	SMP	1	161.68	676.83	161.68	676.83	
4747788045	SMP	1	161.03	636.87	161.03	636.87	
4747796443	SMP	1	154.63	639.53	154.63	639.53	
4747804786	SMP	1	120.31	637.36	120.31	637.36	
4747813166	SMP	1	129.68	626.54	129.68	626.54	
4747821391	SMP	1	155.66	625.58	155.66	625.58	
4747829792	SMP	1	131.77	627.57	131.77	627.57	
4747838162	SMP	1	149.02	630.53	149.02	630.53	
4747846537	SMP	1	126.69	629.56	126.69	629.56	
4747854740	SMP	1	138.08	625.23	138.08	625.23	
4747863168	SMP	1	132.91	626.12	132.91	626.12	
4747871538	SMP	1	132.74	626.14	132.74	626.14	
4747879787	SMP	1	126.02	622.57	126.02	622.57	
4747888160	SMP	1	127.16	623.75	127.16	623.75	
4747896563	SMP	1	133.13	622.83	133.13	622.83	
4747904909	SMP	1	129.64	618.19	129.64	618.19	
4747913166	SMP	1	128.54	622.62	128.54	622.62	
4747921497	SMP	1	129.45	627.57	129.45	627.57	
4747929905	SMP	1	124.61	627.48	124.61	627.48	
4747938268	SMP	1	125.42	625.32	125.42	625.32	
4747946533	SMP	1	124.89	630.09	124.89	630.09	
4747954910	SMP	1	124.15	627.22	124.15	627.22	
4747963247	SMP	1	123.64	627.06	123.64	627.06	
4747971662	SMP	1	122.74	628.13	122.74	628.13	
4747979933	SMP	1	122.61	630.34	122.61	630.34	
4747988299	SMP	1	122.85	630.06	122.85	630.06	
4747996734	SMP	1	123.57	633.14	123.57	633.14	
4748004929	SMP	1	120.97	633.64	120.97	633.64	
4748013317	SMP	1	124.36	634.05	124.36	634.05	
4748021679	SMP	1	123.65	620.71	123.65	620.71	
4748030103	SMP	1	124.79	633.63	124.79	633.63	
4748038304	SMP	1	118.27	627.26	118.27	627.26	
4748046647	SMP	1	123.69	634.90	123.69	634.90	
4748055039	SMP	1	129.76	622.93	129.76	622.93	
4748063409	SMP	1	125.57	632.49	125.57	632.49	
4748071659	SMP	1	116.11	625.40	116.11	625.40	
4748080046	SMP	1	128.00	635.96	128.00	635.96	
4748088409	SMP	1	130.22	628.37	130.22	628.37	
4748096809	SMP	1	122.55	622.01	122.55	622.01	
4748105031	SMP	1	-137.73	626.14	-137.73	626.14	
4748113404	SMP	1	1.21	0.00	1.21	0.00	
4748121778	SMP	1	0.59	0.00	0.59	0.00	
4748130009	SMP	1	0.21	0.00	0.21	0.00	
4748138392	SMP	1	0.15	0.00	0.15	0.00	
4748146794	SMP	1	0.12	0.00	0.12	0.00	
4748155224	SMP	1	0.09	0.00	0.09	0.00	
4748163415	SMP	1	0.01	0.00	0.01	0.00	
4748171810	SMP	1	0.01	0.00	0.01	0.00	
4748180185	SMP	1	0.01	0.00	0.01	0.00	
4748188577	SMP	1	804.88	954.01	804.88	954.01	
4748565713	MSG	1	# Message: elmo_tapping1.avi
4748572215	SMP	1	722.19	733.26	722.19	733.26	
4748580555	SMP	1	720.11	728.66	720.11	728.66	
4748588957	SMP	1	720.27	731.65	720.27	731.65	
4748597291	SMP	1	723.09	723.40	723.09	723.40	
4748605526	SMP	1	722.54	708.38	722.54	708.38	
4748613916	SMP	1	724.37	731.19	724.37	731.19	
4748622452	SMP	1	723.79	723.68	723.79	723.68	
4748630708	SMP	1	720.70	723.55	720.70	723.55	
4748638924	SMP	1	723.18	718.41	723.18	718.41	
4748647294	SMP	1	719.84	712.71	719.84	712.71	
4748656025	SMP	1	720.24	713.45	720.24	713.45	
4748664073	SMP	1	717.42	712.61	717.42	712.61	
4748672301	SMP	1	718.80	710.01	718.80	710.01	
4748680686	SMP	1	724.32	705.51	724.32	705.51	
4748689488	SMP	1	721.87	706.63	721.87	706.63	
4748697290	SMP	1	725.04	705.35	725.04	705.35	
4748705690	SMP	1	728.57	702.07	728.57	702.07	
4748713989	SMP	1	718.80	696.20	718.80	696.20	
4748722459	SMP	1	726.82	693.99	726.82	693.99	
4748730648	SMP	1	727.54	698.61	727.54	698.61	
4748739039	SMP	1	725.06	669.53	725.06	669.53	
4748747410	SMP	1	724.77	535.87	724.77	535.87	
4748755811	SMP	1	728.18	500.61	728.18	500.61	
4748764040	SMP	1	728.53	490.24	728.53	490.24	
4748772443	SMP	1	725.15	485.34	725.15	485.34	
4748780817	SMP	1	725.71	478.08	725.71	478.08	
4748789180	SMP	1	727.56	481.82	727.56	481.82	
4748797413	SMP	1	728.86	477.44	728.86	477.44	
4748805804	SMP	1	730.51	472.91	730.51	472.91	
4748814180	SMP	1	729.59	485.05	729.59	485.05	
4748822436	SMP	1	727.49	480.68	727.49	480.68	
4748830825	SMP	1	728.59	484.57	728.59	484.57	
4748839157	SMP	1	731.29	481.29	731.29	481.29	
4748847495	SMP	1	728.73	485.85	728.73	485.85	
4748855779	SMP	1	728.75	486.04	728.75	486.04	
4748864184	SMP	1	732.32	489.48	732.32	489.48	
4748872545	SMP	1	727.66	491.62	727.66	491.62	
4748880931	SMP	1	721.37	492.70	721.37	492.70	
4748889190	SMP	1	727.49	487.55	727.49	487.55	
4748897582	SMP	1	721.06	490.01	721.06	490.01	
4748905891	SMP	1	637.51	491.60	637.51	491.60	
4748914381	SMP	1	513.84	450.35	513.84	450.35	
4748923155	SMP	1	376.56	328.74	376.56	328.74	
4748930952	SMP	1	289.26	327.92	289.26	327.92	
4748939298	SMP	1	284.50	278.20	284.50	278.20	
4748947688	SMP	1	281.73	267.26	281.73	267.26	
4748955913	SMP	1	281.61	269.43	281.61	269.43	
4748964293	SMP	1	285.91	259.38	285.91	259.38	
4748972683	SMP	1	283.71	261.80	283.71	261.80	
4748980904	SMP	1	289.17	253.91	289.17	253.91	
4748989341	SMP	1	292.49	286.96	292.49	286.96	
4748997665	SMP	1	290.91	268.72	290.91	268.72	
4749006047	SMP	1	288.82	255.73	288.82	255.73	
4749014341	SMP	1	289.26	276.36	289.26	276.36	
4749022703	SMP	1	292.89	269.39	292.89	269.39	
4749031111	SMP	1	293.53	265.87	293.53	265.87	
4749039432	SMP	1	296.25	261.19	296.25	261.19	
4749047662	SMP	1	294.25	268.39	294.25	268.39	
4749056379	SMP	1	287.86	260.05	287.86	260.05	
