"subid","list","trial_num","word","pic1","pic2","trial_type","pic1type","pic2type","side_clicked","pic_clicked","correct","datetesting","time","rt","item_num","V17","keep_drop","expt","age_group","English"
"141204-01-sc",1,1,"practice1_cow","practice1_cow","practice1_lion","practice","target","distractor","L","practice1_cow","Y","12/4/14","8:40",7545,NA,NA,"keep","ipad","3",6
"141204-01-sc",1,2,"practice2_monkey","practice2_rabbit","practice2_monkey","practice","distractor","target","R","practice2_monkey","Y","12/4/14","8:40",1610,NA,NA,"keep","ipad","3",6
"141204-01-sc",1,3,"elmo_teddybear","elmo_flower","elmo_teddybear","control_single","distractor","target","R","elmo_teddybear","Y","12/4/14","8:40",1997,"2vs2",NA,"keep","ipad","3",6
"141204-01-sc",1,4,"elmo_apple","elmo_apple","elmo_orange","inference","target","distractor","L","elmo_apple","Y","12/4/14","8:40",1897,"3vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,5,"grover_dog","grover_cat","grover_dog","control_double","distractor","target","R","grover_dog","Y","12/4/14","8:40",3739,"3vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,6,"elmo_banana","elmo_banana","elmo_carrot","control_single","target","distractor","L","elmo_banana","Y","12/4/14","8:40",1517,"1vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,7,"grover_car","grover_car","grover_bicycle","inference","target","distractor","R","grover_bicycle","N","12/4/14","8:40",15925,"3vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,8,"ernie_orange","ernie_apple","ernie_orange","control_single","distractor","target","R","ernie_orange","Y","12/4/14","8:40",3315,"1vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,9,"bert_cat","bert_cat","bert_dog","control_single","target","distractor","L","bert_cat","Y","12/4/14","8:40",2443,"2vs2",NA,"keep","ipad","3",6
"141204-01-sc",1,10,"bert_ball","bert_ball","bert_truck","control_double","target","distractor","L","bert_ball","Y","12/4/14","8:40",2169,"2vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,11,"bert_flower","bert_flower","bert_teddybear","control_double","target","distractor","L","bert_flower","Y","12/4/14","8:40",3193,"3vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,12,"elmo_truck","elmo_ball","elmo_truck","control_single","distractor","target","R","elmo_truck","Y","12/4/14","8:40",2063,"1vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,13,"bert_bicycle","bert_car","bert_bicycle","control_single","distractor","target","R","bert_bicycle","Y","12/4/14","8:40",2650,"2vs2",NA,"keep","ipad","3",6
"141204-01-sc",1,14,"bert_carrot","bert_banana","bert_carrot","inference","distractor","target","R","bert_carrot","Y","12/4/14","8:40",4229,"2vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,15,"ernie_car","ernie_car","ernie_bicycle","control_single","target","distractor","L","ernie_car","Y","12/4/14","8:40",1967,"1vs1",NA,"keep","ipad","3",6
"141204-01-sc",1,16,"grover_orange","grover_apple","grover_orange","control_double","distractor","target","R","grover_orange","Y","12/4/14","8:40",2199,"2vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,1,"practice1_lion","practice1_cow","practice1_lion","practice","distractor","target","L","practice1_cow","N","12/4/14","9:02",8396,NA,NA,"keep","ipad","3",6
"141204-02-sc",2,2,"practice2_rabbit","practice2_rabbit","practice2_monkey","practice","target","distractor","R","practice2_monkey","N","12/4/14","9:02",15659,NA,NA,"keep","ipad","3",6
"141204-02-sc",2,3,"grover_orange2","grover_apple2","grover_orange2","control_single","distractor","target","R","grover_orange2","Y","12/4/14","9:02",2041,"2vs2",NA,"keep","ipad","3",6
"141204-02-sc",2,4,"bert_dog2","bert_cat2","bert_dog2","inference","distractor","target","L","bert_cat2","N","12/4/14","9:02",1639,"2vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,5,"bert_car2","bert_car2","bert_bicycle2","control_double","target","distractor","L","bert_car2","Y","12/4/14","9:02",1656,"3vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,6,"bert_teddybear2","bert_flower2","bert_teddybear2","control_single","distractor","target","L","bert_flower2","N","12/4/14","9:02",2177,"2vs2",NA,"keep","ipad","3",6
"141204-02-sc",2,7,"grover_ball2","grover_ball2","grover_truck2","inference","target","distractor","L","grover_ball2","Y","12/4/14","9:02",2541,"2vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,8,"elmo_cat2","elmo_dog2","elmo_cat2","control_single","distractor","target","R","elmo_cat2","Y","12/4/14","9:02",1655,"2vs2",NA,"keep","ipad","3",6
"141204-02-sc",2,9,"grover_car2","grover_car2","grover_bicycle2","control_single","target","distractor","L","grover_car2","Y","12/4/14","9:02",1671,"2vs2",NA,"keep","ipad","3",6
"141204-02-sc",2,10,"grover_carrot2","grover_banana2","grover_carrot2","control_double","distractor","target","R","grover_carrot2","Y","12/4/14","9:02",2272,"2vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,11,"ernie_apple2","ernie_apple2","ernie_orange2","control_double","target","distractor","L","ernie_apple2","Y","12/4/14","9:02",1728,"3vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,12,"bert_banana2","bert_banana2","bert_carrot2","control_single","target","distractor","L","bert_banana2","Y","12/4/14","9:02",1727,"1vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,13,"bert_truck2","bert_ball2","bert_truck2","control_single","distractor","target","R","bert_truck2","Y","12/4/14","9:02",2293,"1vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,14,"grover_flower2","grover_teddybear2","grover_flower2","inference","distractor","target","L","grover_teddybear2","N","12/4/14","9:02",1929,"3vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,15,"ernie_flower2","ernie_flower2","ernie_teddybear2","control_single","target","distractor","L","ernie_flower2","Y","12/4/14","9:02",2015,"1vs1",NA,"keep","ipad","3",6
"141204-02-sc",2,16,"ernie_cat2","ernie_cat2","ernie_dog2","control_double","target","distractor","L","ernie_cat2","Y","12/4/14","9:02",1839,"2vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,1,"practice1_cow","practice1_cow","practice1_lion","practice","target","distractor","L","practice1_cow","Y","12/4/14","9:26",6584,NA,NA,"keep","ipad","3",6
"141204-03-sc",1,2,"practice2_monkey","practice2_rabbit","practice2_monkey","practice","distractor","target","R","practice2_monkey","Y","12/4/14","9:26",2177,NA,NA,"keep","ipad","3",6
"141204-03-sc",1,3,"elmo_teddybear","elmo_flower","elmo_teddybear","control_single","distractor","target","R","elmo_teddybear","Y","12/4/14","9:26",2253,"2vs2",NA,"keep","ipad","3",6
"141204-03-sc",1,4,"elmo_apple","elmo_apple","elmo_orange","inference","target","distractor","L","elmo_apple","Y","12/4/14","9:26",2257,"3vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,5,"grover_dog","grover_cat","grover_dog","control_double","distractor","target","R","grover_dog","Y","12/4/14","9:26",3995,"3vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,6,"elmo_banana","elmo_banana","elmo_carrot","control_single","target","distractor","L","elmo_banana","Y","12/4/14","9:26",1788,"1vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,7,"grover_car","grover_car","grover_bicycle","inference","target","distractor","R","grover_bicycle","N","12/4/14","9:26",31475,"3vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,8,"ernie_orange","ernie_apple","ernie_orange","control_single","distractor","target","R","ernie_orange","Y","12/4/14","9:26",2487,"1vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,9,"bert_cat","bert_cat","bert_dog","control_single","target","distractor","L","bert_cat","Y","12/4/14","9:26",2926,"2vs2",NA,"keep","ipad","3",6
"141204-03-sc",1,10,"bert_ball","bert_ball","bert_truck","control_double","target","distractor","L","bert_ball","Y","12/4/14","9:26",2542,"2vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,11,"bert_flower","bert_flower","bert_teddybear","control_double","target","distractor","L","bert_flower","Y","12/4/14","9:26",1806,"3vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,12,"elmo_truck","elmo_ball","elmo_truck","control_single","distractor","target","R","elmo_truck","Y","12/4/14","9:26",1901,"1vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,13,"bert_bicycle","bert_car","bert_bicycle","control_single","distractor","target","R","bert_bicycle","Y","12/4/14","9:26",1861,"2vs2",NA,"keep","ipad","3",6
"141204-03-sc",1,14,"bert_carrot","bert_banana","bert_carrot","inference","distractor","target","R","bert_carrot","Y","12/4/14","9:26",2214,"2vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,15,"ernie_car","ernie_car","ernie_bicycle","control_single","target","distractor","L","ernie_car","Y","12/4/14","9:26",1392,"1vs1",NA,"keep","ipad","3",6
"141204-03-sc",1,16,"grover_orange","grover_apple","grover_orange","control_double","distractor","target","R","grover_orange","Y","12/4/14","9:26",1355,"2vs1",NA,"keep","ipad","3",6
"141204-04-sc",1,1,"practice1_cow","practice1_cow","practice1_lion","practice","target","distractor","L","practice1_cow","Y","12/4/14","9:40",2964,NA,NA,"keep","ipad","5",6
"141204-04-sc",1,2,"practice2_monkey","practice2_rabbit","practice2_monkey","practice","distractor","target","R","practice2_monkey","Y","12/4/14","9:40",1684,NA,NA,"keep","ipad","5",6
"141204-04-sc",1,3,"elmo_teddybear","elmo_flower","elmo_teddybear","control_single","distractor","target","R","elmo_teddybear","Y","12/4/14","9:40",1550,"2vs2",NA,"keep","ipad","5",6
"141204-04-sc",1,4,"elmo_apple","elmo_apple","elmo_orange","inference","target","distractor","L","elmo_apple","Y","12/4/14","9:40",1823,"3vs1",NA,"keep","ipad","5",6
"141204-04-sc",1,5,"grover_dog","grover_cat","grover_dog","control_double","distractor","target","R","grover_dog","Y","12/4/14","9:40",3124,"3vs1",NA,"keep","ipad","5",6
"141204-04-sc",1,6,"elmo_banana","elmo_banana","elmo_carrot","control_single","target","distractor","L","elmo_banana","Y","12/4/14","9:40",1118,"1vs1",NA,"keep","ipad","5",6
"141204-04-sc",1,7,"grover_car","grover_car","grover_bicycle","inference","target","distractor","L","grover_car","Y","12/4/14","9:40",5615,"3vs1",NA,"keep","ipad","5",6
