subid,age_group,site,age,sex,english
141120-01-sc,4,bing,4.824657534,M,6
141204-01-sc,3,bing,3.953424658,M,6
141204-02-sc,3,bing,3.630136986,F,6
141204-03-sc,3,bing,3.843835616,F,6
141204-04-sc,5,bing,5.057534247,F,6
141204-05-sc,3,bing,3.830136986,M,6
141204-06-sc,3,bing,3.646575342,F,6
141209-01-sc,3,bing,3.353424658,M,6
141209-02-sc,4,bing,4.821917808,M,6
141209-03-sc,3,bing,3.389041096,F,6
141209-04-sc,5,bing,5.208219178,F,6
141209-05-sc,4,bing,4.687671233,F,6
141209-06-sc,3,bing,3.210958904,F,6
141209-07-sc,NA,bing,NA,M,6
150109-01-sc,2,cdm,2.082191781,M,5
150109-02-sc,2,cdm,2.873972603,F,6
150109-03-sc,2,cdm,2.216438356,M,6
150109-04,2,cdm,2.42739726,F,6
150109-05,2,cdm,2.156164384,F,6
150109-06,2,cdm,2.120547945,F,6
150109-07,3,cdm,3.101369863,F,6
150109-08,4,cdm,4.35890411,M,6
150116-01-sc,5,cdm,5.394520548,M,5
150116-02-sc,3,cdm,3.361643836,M,6
150116-03-sc,4,cdm,4.506849315,M,6
150116-04-sc,3,cdm,3.438356164,M,6
150116-05-sc,6,cdm,6.019178082,F,6
150116-07-sc,3,cdm,3.761643836,F,6
150116-08-sc,5,cdm,5.120547945,F,6
150116-09-sc,4,cdm,4.323287671,F,6
150116-10-sc,4,cdm,4.02739726,F,6
150116-11-sc,4,cdm,4.208219178,M,6
150116-12-sc,4,cdm,4.928767123,M,3
150116-13-sc,4,cdm,4.761643836,F,4
150116-14-sc,3,cdm,3.534246575,F,3
150116-15-sc,3,cdm,3.435616438,F,6
150116-16-sc,3,cdm,3.931506849,F,6
150116-17-sc,3,cdm,3.778082192,M,6
150116-18-sc,2,cdm,2.764383562,F,6
150116-19-sc,3,cdm,3.032876712,F,5
150116-20-sc,4,cdm,4.046575342,M,6
150116-21-sc,4,cdm,4.720547945,M,6
150116-22-sc,2,cdm,2.468493151,F,6
150115-01-sc,3,bing,3.926027397,F,6
150115-02-sc,3,bing,3.380821918,F,6
150115-03-sc,4,bing,4.8,F,6
150115-04-sc,4,bing,4.668493151,M,6
150115-05-sc,5,bing,5.265753425,F,6
150115-06-sc,3,bing,3.715068493,M,6
150115-07-sc,5,bing,5.128767123,F,6
150108-01-sc,4,bing,4.545205479,F,5
150420-02-sc,3,bing,3.884931507,M,4
150420-03-sc,5,bing,5.345205479,F,6
150420-04-sc,5,bing,5.364383562,M,6
150420-05-sc,4,bing,4.139726027,M,4
150420-06-sc,4,bing,4.660273973,M,6
150424-01-sc,5,bing,5.183561644,F,6
150424-02-sc,5,bing,5.052054795,F,6
150424-03-sc,4,bing,4.676712329,M,6
150513-01-sc,2,bing,2.75890411,F,6
150513-02-sc,3,bing,3.293150685,F,6
150518-01-sc,2,bing,2.789041096,M,6
150520-01-sc,3,bing,3.271232877,F,6
150520-02-sc,3,bing,3.350684932,M,6
150520-03-sc,3,bing,3.438356164,M,6
150527-01-sc,2,bing,2.890410959,F,6
150527-02-sc,3,bing,3.38630137,F,6
150527-03-sc,3,bing,3.41369863,F,6
150527-04-sc,3,bing,3.336986301,F,6
150120-01-sc,4,bing,4.591780822,F,6
150120-02-sc,3,bing,3.939726027,M,6
150120-03-sc,4,bing,4.01369863,M,6
150120-04-sc,4,bing,4.671232877,M,6
150120-05-sc,3,bing,3.852054795,M,6
150120-06-sc,4,bing,4.671232877,M,6
150122-01-sc,4,bing,4.104109589,M,6
150122-02-sc,4,bing,4.282191781,M,6
150122-03-sc,3,bing,3.920547945,M,6
150122-04-sc,4,bing,4.271232877,M,6
150122-05-sc,4,bing,4.167123288,F,6
150129-01-sc,4,bing,4.838356164,F,6
150129-02-sc,4,bing,4.021917808,M,6
160309_01,6,cdm,6.060273973,M,6
160309_02,3,cdm,3.263013699,M,3
160309_03,5,cdm,5.967123288,F,3
160310_01,5,cdm,5.221917808,M,6
160310_02,3,cdm,3.21369863,M,5
160310_03,5,cdm,5.380821918,F,2
160310_04,5,cdm,5.301369863,F,6
160313_02,2,cdm,2.917808219,M,5
160313_01,2,cdm,2.947945205,F,6
160313_03,5,cdm,5.454794521,M,5
160313_04,5,cdm,5.057534247,F,6
160315_01,5,cdm,5.84109589,M,4
160315_02,5,cdm,5.279452055,M,6
160316_01,2,cdm,2.808219178,F,6
160316_02,5,cdm,5.098630137,M,6
160316_03,5,cdm,5.249315068,M,5
160316_04,2,cdm,2.756164384,M,5
160318_01,5,cdm,5.769863014,M,5
160320_01,5,cdm,5.2,M,4
160320_02,5,cdm,5.126027397,M,4
160320_03,5,cdm,5.657534247,F,5
160320_04,1,cdm,1.991780822,F,4
160322_01,2,cdm,2.876712329,F,6
160323_01,2,cdm,2.424657534,F,6
160323_02,2,cdm,2.339726027,F,4
160323_03,2,cdm,2.991780822,F,3
160323_04,2,cdm,2.243835616,M,4
160325_01,2,cdm,2.712328767,F,5
160325_02,2,cdm,2.263013699,F,6
160327_01,2,cdm,2.021917808,F,5
160328_01,2,cdm,2.734246575,M,6
160330_01,2,cdm,2.336986301,M,2
160330_02,2,cdm,2.002739726,M,6
160331_01,2,cdm,2.052054795,M,4
160331_02,2,cdm,2.191780822,F,5
160402_01,2,cdm,2.380821918,M,5
160402_02,2,cdm,2.504109589,M,6
160402_03,2,cdm,2.64109589,F,6
160406_01,2,cdm,2.898630137,F,5
160406_02,2,cdm,2.698630137,F,6
160406_03,2,cdm,2.150684932,F,6
