subid,age_group,trial_type,item_num,correct,rt
141204-01-sc,3,practice,NA,1,7545
141204-01-sc,3,practice,NA,1,1610
141204-01-sc,3,control_single,2vs2,1,1997
141204-01-sc,3,inference,3vs1,1,1897
141204-01-sc,3,control_double,3vs1,1,3739
141204-01-sc,3,control_single,1vs1,1,1517
141204-01-sc,3,control_single,1vs1,1,3315
141204-01-sc,3,control_single,2vs2,1,2443
141204-01-sc,3,control_double,2vs1,1,2169
141204-01-sc,3,control_double,3vs1,1,3193
141204-01-sc,3,control_single,1vs1,1,2063
141204-01-sc,3,control_single,2vs2,1,2650
141204-01-sc,3,inference,2vs1,1,4229
141204-01-sc,3,control_single,1vs1,1,1967
141204-01-sc,3,control_double,2vs1,1,2199
141204-02-sc,3,practice,NA,0,8396
141204-02-sc,3,control_single,2vs2,1,2041
141204-02-sc,3,inference,2vs1,0,1639
141204-02-sc,3,control_double,3vs1,1,1656
141204-02-sc,3,control_single,2vs2,0,2177
141204-02-sc,3,inference,2vs1,1,2541
141204-02-sc,3,control_single,2vs2,1,1655
141204-02-sc,3,control_single,2vs2,1,1671
141204-02-sc,3,control_double,2vs1,1,2272
141204-02-sc,3,control_double,3vs1,1,1728
141204-02-sc,3,control_single,1vs1,1,1727
141204-02-sc,3,control_single,1vs1,1,2293
141204-02-sc,3,inference,3vs1,0,1929
141204-02-sc,3,control_single,1vs1,1,2015
141204-02-sc,3,control_double,2vs1,1,1839
141204-03-sc,3,practice,NA,1,6584
141204-03-sc,3,practice,NA,1,2177
141204-03-sc,3,control_single,2vs2,1,2253
141204-03-sc,3,inference,3vs1,1,2257
141204-03-sc,3,control_double,3vs1,1,3995
141204-03-sc,3,control_single,1vs1,1,1788
141204-03-sc,3,control_single,1vs1,1,2487
141204-03-sc,3,control_single,2vs2,1,2926
141204-03-sc,3,control_double,2vs1,1,2542
141204-03-sc,3,control_double,3vs1,1,1806
141204-03-sc,3,control_single,1vs1,1,1901
141204-03-sc,3,control_single,2vs2,1,1861
141204-03-sc,3,inference,2vs1,1,2214
141204-03-sc,3,control_single,1vs1,1,1392
141204-03-sc,3,control_double,2vs1,1,1355
141204-04-sc,5,practice,NA,1,2964
141204-04-sc,5,practice,NA,1,1684
141204-04-sc,5,control_single,2vs2,1,1550
141204-04-sc,5,inference,3vs1,1,1823
141204-04-sc,5,control_double,3vs1,1,3124
141204-04-sc,5,control_single,1vs1,1,1118
141204-04-sc,5,inference,3vs1,1,5615
141204-04-sc,5,control_single,1vs1,1,1688
141204-04-sc,5,control_single,2vs2,1,1713
141204-04-sc,5,control_double,2vs1,1,1388
141204-04-sc,5,control_double,3vs1,1,1225
141204-04-sc,5,control_single,1vs1,1,1073
