"subid","expt","trial_type","age_group","trial_num","rt"
"1","2-vs-1","control-double","3",3,0.39166
"1","2-vs-1","control-single","3",1,0.083
"1","2-vs-1","control-single","3",4,0.34733
"1","2-vs-1","control-single","3",6,0.108
"1","2-vs-1","control-single","3",11,0.40566
"1","2-vs-1","inference","3",5,0.69533
"1","2-vs-1","inference","3",12,1.16466
"10","2-vs-1","control-double","adult",18,0.43533
"10","2-vs-1","control-double","adult",24,0.481
"10","2-vs-1","control-single","adult",16,0.198
"10","2-vs-1","control-single","adult",20,0.57633
"10","2-vs-1","control-single","adult",22,0.298
"10","2-vs-1","inference","adult",23,0.43366
"100","2-vs-1","control-single","5",4,0.48066
"100","2-vs-1","control-single","5",7,0.42633
"100","2-vs-1","control-single","5",16,0.28966
"100","2-vs-1","inference","5",5,0.07866
"100","2-vs-1","inference","5",12,0.50633
"100","2-vs-1","inference","5",15,0.40733
"101","2-vs-1","control-single","5",4,0.34633
"101","2-vs-1","control-single","5",7,0.35366
"101","2-vs-1","control-single","5",13,0.44633
"101","2-vs-1","control-single","5",16,0.07333
"101","2-vs-1","inference","5",12,0.35966
"101","2-vs-1","inference","5",15,1.21433
"102","2-vs-1","control-single","5",4,0.34733
"102","2-vs-1","inference","5",5,0.537
"103","2-vs-1","control-single","5",4,0.75466
"103","2-vs-1","control-single","5",16,2.58166
"103","2-vs-1","inference","5",15,0.781
"104","2-vs-1","control-single","5",1,0.29133
"104","2-vs-1","control-single","5",6,0.14133
"104","2-vs-1","control-single","5",7,0.10133
"104","2-vs-1","control-single","5",11,0.839
"104","2-vs-1","control-single","5",13,0.44266
"104","2-vs-1","control-single","5",16,0.68133
"104","2-vs-1","inference","5",2,0.73166
"104","2-vs-1","inference","5",12,0.38133
"104","2-vs-1","inference","5",15,0.25733
"105","2-vs-1","control-single","5",1,0.40933
"105","2-vs-1","control-single","5",4,0.27133
"105","2-vs-1","control-single","5",7,0.512
"105","2-vs-1","control-single","5",10,0.04633
"105","2-vs-1","control-single","5",11,0.25966
