"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt","expt"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",3,"2vs2",2,1997,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","inference",4,"3vs1",2,1897,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_double",5,"3vs1",2,3739,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",6,"1vs1",2,1517,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",8,"1vs1",2,3315,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",9,"2vs2",2,2443,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_double",10,"2vs1",2,2169,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_double",11,"3vs1",2,3193,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",12,"1vs1",2,2063,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",13,"2vs2",2,2650,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","inference",14,"2vs1",2,4229,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_single",15,"1vs1",2,1967,"ipad"
"141204-01-sc",3,3.95,"M",6,"bing","control_double",16,"2vs1",2,2199,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",3,"2vs2",2,2041,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","inference",4,"2vs1",1,1639,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_double",5,"3vs1",2,1656,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",6,"2vs2",1,2177,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","inference",7,"2vs1",2,2541,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",8,"2vs2",2,1655,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",9,"2vs2",2,1671,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_double",10,"2vs1",2,2272,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_double",11,"3vs1",2,1728,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",12,"1vs1",2,1727,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",13,"1vs1",2,2293,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","inference",14,"3vs1",1,1929,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_single",15,"1vs1",2,2015,"ipad"
"141204-02-sc",3,3.63,"F",6,"bing","control_double",16,"2vs1",2,1839,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",3,"2vs2",2,2253,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","inference",4,"3vs1",2,2257,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_double",5,"3vs1",2,3995,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",6,"1vs1",2,1788,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",8,"1vs1",2,2487,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",9,"2vs2",2,2926,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_double",10,"2vs1",2,2542,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_double",11,"3vs1",2,1806,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",12,"1vs1",2,1901,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",13,"2vs2",2,1861,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","inference",14,"2vs1",2,2214,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_single",15,"1vs1",2,1392,"ipad"
"141204-03-sc",3,3.84,"F",6,"bing","control_double",16,"2vs1",2,1355,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",3,"2vs2",2,1550,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","inference",4,"3vs1",2,1823,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_double",5,"3vs1",2,3124,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",6,"1vs1",2,1118,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","inference",7,"3vs1",2,5615,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",8,"1vs1",2,1688,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",9,"2vs2",2,1713,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_double",10,"2vs1",2,1388,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_double",11,"3vs1",2,1225,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",12,"1vs1",2,1073,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",13,"2vs2",2,1486,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","inference",14,"2vs1",2,743,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_single",15,"1vs1",2,4623,"ipad"
"141204-04-sc",5,5.06,"F",6,"bing","control_double",16,"2vs1",2,911,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",3,"2vs2",2,2600,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","inference",4,"2vs1",2,4792,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_double",5,"3vs1",2,1622,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",6,"2vs2",2,1556,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","inference",7,"2vs1",2,1954,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",8,"2vs2",2,2265,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",9,"2vs2",2,1046,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_double",10,"2vs1",2,1931,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_double",11,"3vs1",2,2060,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",12,"1vs1",2,2062,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",13,"1vs1",2,1795,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","inference",14,"3vs1",2,2021,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_single",15,"1vs1",2,2090,"ipad"
"141204-05-sc",3,3.83,"M",6,"bing","control_double",16,"2vs1",2,1793,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",3,"2vs2",2,2140,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","inference",4,"2vs1",2,2575,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_double",5,"3vs1",2,5626,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",6,"2vs2",2,1886,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","inference",7,"2vs1",2,2644,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",8,"2vs2",2,2080,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",9,"2vs2",2,3306,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_double",10,"2vs1",2,2096,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_double",11,"3vs1",2,4955,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",12,"1vs1",2,1585,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",13,"1vs1",2,2372,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","inference",14,"3vs1",2,2193,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_single",15,"1vs1",2,2316,"ipad"
"141204-06-sc",3,3.65,"F",6,"bing","control_double",16,"2vs1",2,3369,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",3,"2vs2",2,1560,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","inference",4,"3vs1",2,1801,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_double",5,"3vs1",2,2989,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",6,"1vs1",2,1755,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","inference",7,"3vs1",2,5152,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",8,"1vs1",2,2071,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",9,"2vs2",2,1876,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_double",10,"2vs1",2,3940,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_double",11,"3vs1",2,1994,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",12,"1vs1",2,1405,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",13,"2vs2",2,1432,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","inference",14,"2vs1",2,1531,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",15,"1vs1",2,2079,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_double",16,"2vs1",2,1904,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","inference",17,"2vs1",2,1747,"ipad"
"141209-01-sc",3,3.35,"M",6,"bing","control_single",18,"2vs2",2,2121,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_single",3,"2vs2",2,2085,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","inference",4,"2vs1",2,2613,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_double",5,"3vs1",2,1639,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_single",6,"2vs2",2,1830,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","inference",7,"2vs1",2,2694,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_single",8,"2vs2",2,2660,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_single",9,"2vs2",2,1786,"ipad"
"141209-02-sc",4,4.82,"M",6,"bing","control_double",10,"2vs1",2,1584,"ipad"
